"epochs","discriminator","batch","frequency","copies","std_diff","ci_overlap"
"600","1","500","True","5",0.405072336803575,0.834250301186183
"600","5","500","True","10",0.466984502806043,0.881270483671726
"600","5","1000","False","10",0.489906848277426,0.876672870477685
"900","10","500","True","5",0.574108674585206,0.840007334842185
"900","10","500","True","1",0.634421362560437,0.838172412851005
"600","5","1000","True","10",0.646369300685042,0.825435349252746
"900","10","500","False","10",0.650061493405039,0.833996311323341
"300","5","500","False","5",0.650226787048055,0.81337816062696
"900","10","500","False","5",0.651457198010059,0.846396539991548
"600","10","500","False","10",0.651525875079794,0.836036458235882
"300","1","500","True","10",0.656874429912961,0.838865465050244
"900","10","1000","False","10",0.661635337012179,0.839345103162241
"900","10","1000","True","5",0.672749712734448,0.842577339109444
"300","5","500","False","10",0.683801945130152,0.827940809915438
"600","1","1000","True","10",0.693823487180228,0.831961578236906
"300","5","1000","False","5",0.703307305201453,0.827199591241669
"900","10","500","True","10",0.704575817582546,0.82913087870908
"900","1","500","False","1",0.709826344172161,0.817797261124737
"300","1","500","False","5",0.72291988566251,0.83706305296057
"300","10","500","False","10",0.725220222736401,0.814420668029992
"300","10","500","True","5",0.726147569673604,0.816640908834719
"300","5","500","True","5",0.7326719416691,0.816809401870111
"600","5","500","False","5",0.732801726680411,0.809817816159
"300","10","500","True","10",0.7380496129922,0.817765411261224
"600","10","500","True","5",0.738214695422919,0.827650996791635
"600","5","1000","True","5",0.753277624338539,0.806380023295816
"600","1","500","False","5",0.764604737934653,0.816893850956206
"600","1","1000","False","10",0.768664551510966,0.810681530318297
"900","10","1000","True","10",0.772890372677841,0.812658625135456
"600","1","500","True","10",0.777689532837617,0.816864357894406
"300","5","1000","True","10",0.778399709280102,0.808149294877881
"900","5","500","True","10",0.779712416265288,0.810271977220296
"600","5","500","False","10",0.788397145716528,0.786974356554529
"900","5","1000","False","10",0.79166890177494,0.790695909787759
"300","1","500","False","10",0.795391377147714,0.809072420850054
"600","5","1000","True","1",0.795631280791161,0.797021589129283
"600","5","500","True","5",0.802189696935356,0.819169657412321
"300","5","1000","False","10",0.809104344395895,0.800288264311614
"300","1","1000","True","5",0.809480301836446,0.797043147739803
"600","5","1000","False","5",0.810136989704122,0.780928472336294
"900","1","500","True","10",0.825691816029124,0.789219264491531
"900","10","1000","False","5",0.830669573982763,0.789560502541365
"300","10","1000","False","10",0.861907186108318,0.783484073403262
"300","10","1000","True","10",0.885301466314111,0.778892517660665
"600","1","1000","True","5",0.890210059056658,0.798374234149058
"300","10","500","False","5",0.892792033599937,0.772936067345035
"300","1","1000","False","5",0.92938241416499,0.758066186993727
"300","1","500","True","5",0.962067687022244,0.782053277920259
"300","10","1000","True","5",0.973407897796897,0.751842763190258
"600","10","1000","True","5",0.97950896211755,0.757673992901811
"600","10","500","False","1",0.988694483890372,0.747842435117377
"600","10","500","False","5",0.995250257959422,0.752249477759052
"900","5","1000","True","10",1.0084831343162,0.759634912619162
"300","5","500","True","10",1.0104531523124,0.752103543647277
"900","5","500","False","5",1.03461879206782,0.720691178489731
"300","10","500","False","1",1.04641064932033,0.732969566100103
"300","10","1000","False","5",1.07832466813295,0.743058160446878
"300","1","1000","True","10",1.08369726727722,0.709866063777365
"900","1","500","False","5",1.10884186752352,0.727739627344049
"900","1","500","True","1",1.11015064890028,0.716560594536803
"900","10","1000","False","1",1.13161138063536,0.711146863329308
"900","1","500","False","10",1.1511008409548,0.740836539589515
"300","1","1000","False","10",1.15670398157718,0.734163527818205
"300","10","1000","False","1",1.15682179477583,0.704538929177248
"600","10","500","True","10",1.17063918841639,0.717069361607216
"900","5","1000","True","5",1.17161379503238,0.71454702813168
"900","1","1000","True","10",1.17631151795064,0.739294403893582
"600","1","1000","False","5",1.17945853815133,0.725437230531724
"300","10","1000","True","1",1.2354635716064,0.692896492231322
"300","5","1000","True","5",1.24557204698521,0.725507757601894
"300","5","1000","False","1",1.26342676721563,0.677418280262509
"900","5","1000","False","5",1.26369042695031,0.688680139847803
"300","5","500","True","1",1.26788168603435,0.676185729600065
"600","1","500","False","10",1.27172874159009,0.709469941230932
"600","5","1000","False","1",1.31942822876607,0.663454958171866
"300","10","500","True","1",1.33652228490748,0.65981347433127
"900","1","1000","True","5",1.33906647569825,0.659656630953869
"600","10","1000","False","1",1.34346098840585,0.706273138060069
"600","10","1000","False","10",1.34599562097672,0.664507099873588
"600","1","500","True","1",1.3845690717208,0.658134464083179
"600","10","1000","True","10",1.38497815759388,0.659229904188984
"600","1","1000","False","1",1.38571667767253,0.64606721786243
"900","5","500","False","10",1.40348510594912,0.669951905320293
"900","5","500","False","1",1.43621793257616,0.633264416168918
"600","10","1000","False","5",1.4526369392353,0.643594721756071
"600","1","1000","True","1",1.53136714903739,0.609277462858213
"900","10","500","False","1",1.54614989606453,0.605170820596984
"600","10","1000","True","1",1.5686005071919,0.599655497672085
"900","1","500","True","5",1.61754248673767,0.659156679263677
"900","5","1000","True","1",1.62622907271842,0.585045133934665
"900","1","1000","False","10",1.67939299097838,0.626355879148929
"900","5","500","True","5",1.6999136374016,0.636509838809314
"900","10","1000","True","1",1.7042679482797,0.564348991699408
"900","1","1000","False","1",1.7447070987758,0.554639352247467
"600","10","500","True","1",1.7590708534542,0.550384836252687
"300","1","500","True","1",1.87884154427968,0.519872062213362
"900","1","1000","False","5",1.89299440032576,0.585041125719417
