"names","Estimate","Std. Error","dep_var","data","epochs","discriminator","copies","frequency","batch"
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",300,1,5,"True",500
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",300,1,5,"True",500
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",300,1,5,"True",500
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",300,1,5,"True",500
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",300,1,5,"False",500
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",300,1,5,"False",500
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",300,1,5,"False",500
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",300,1,5,"False",500
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",300,1,5,"True",1000
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",300,1,5,"True",1000
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",300,1,5,"True",1000
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",300,1,5,"True",1000
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",300,1,5,"False",1000
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",300,1,5,"False",1000
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",300,1,5,"False",1000
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",300,1,5,"False",1000
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",300,5,5,"True",500
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",300,5,5,"True",500
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",300,5,5,"True",500
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",300,5,5,"True",500
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",300,5,5,"False",500
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",300,5,5,"False",500
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",300,5,5,"False",500
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",300,5,5,"False",500
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",300,5,5,"True",1000
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",300,5,5,"True",1000
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",300,5,5,"True",1000
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",300,5,5,"True",1000
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",300,5,5,"False",1000
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",300,5,5,"False",1000
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",300,5,5,"False",1000
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",300,5,5,"False",1000
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",300,10,5,"True",500
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",300,10,5,"True",500
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",300,10,5,"True",500
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",300,10,5,"True",500
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",300,10,5,"False",500
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",300,10,5,"False",500
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",300,10,5,"False",500
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",300,10,5,"False",500
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",300,10,5,"True",1000
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",300,10,5,"True",1000
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",300,10,5,"True",1000
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",300,10,5,"True",1000
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",300,10,5,"False",1000
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",300,10,5,"False",1000
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",300,10,5,"False",1000
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",300,10,5,"False",1000
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",600,1,5,"True",500
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",600,1,5,"True",500
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",600,1,5,"True",500
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",600,1,5,"True",500
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",600,1,5,"False",500
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",600,1,5,"False",500
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",600,1,5,"False",500
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",600,1,5,"False",500
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",600,1,5,"True",1000
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",600,1,5,"True",1000
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",600,1,5,"True",1000
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",600,1,5,"True",1000
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",600,1,5,"False",1000
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",600,1,5,"False",1000
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",600,1,5,"False",1000
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",600,1,5,"False",1000
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",600,5,5,"True",500
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",600,5,5,"True",500
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",600,5,5,"True",500
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",600,5,5,"True",500
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",600,5,5,"False",500
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",600,5,5,"False",500
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",600,5,5,"False",500
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",600,5,5,"False",500
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",600,5,5,"True",1000
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",600,5,5,"True",1000
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",600,5,5,"True",1000
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",600,5,5,"True",1000
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",600,5,5,"False",1000
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",600,5,5,"False",1000
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",600,5,5,"False",1000
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",600,5,5,"False",1000
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",600,10,5,"True",500
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",600,10,5,"True",500
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",600,10,5,"True",500
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",600,10,5,"True",500
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",600,10,5,"False",500
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",600,10,5,"False",500
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",600,10,5,"False",500
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",600,10,5,"False",500
