"epochs","discriminator","batch","frequency","copies","roc_univar"
"600","1","1000","False","1",0.811792684825082
"600","1","1000","True","1",0.817225909595487
"600","1","500","True","1",0.821058811801855
"600","1","500","False","1",0.828575906041598
"900","1","1000","True","1",0.852563054249809
"900","1","1000","False","1",0.872279483111727
"300","1","500","False","1",0.87855625545481
"600","5","1000","True","1",0.893903214978031
"300","5","1000","True","1",0.898757270669653
"600","5","1000","False","1",0.900158151933504
"300","5","500","True","1",0.90069621473773
"900","1","1000","True","5",0.905026421767313
"900","1","500","False","1",0.905304524018988
"300","5","1000","False","1",0.90671033014516
"300","10","500","False","1",0.90934974279536
"300","5","500","False","1",0.909740110648763
"900","10","500","True","1",0.910682088292089
"600","1","1000","True","5",0.911692842675915
"300","1","500","True","5",0.917372519631663
"900","10","1000","True","1",0.919497523941611
"600","5","500","False","1",0.921231733077886
"600","10","1000","True","1",0.922298613774515
"600","1","500","False","5",0.923165993525435
"600","10","1000","False","1",0.92551555535329
"300","1","500","True","1",0.925594690402005
"900","5","500","True","1",0.926325118199261
"900","1","500","True","1",0.927287275972313
"300","10","1000","True","1",0.928618895918994
"600","10","500","False","1",0.930415529005001
"900","10","1000","False","1",0.931920173726848
"600","5","500","True","1",0.934380403056956
"600","1","1000","False","5",0.934833526976762
"300","1","1000","True","1",0.934906681257478
"900","5","500","False","1",0.935339137278427
"900","1","1000","False","5",0.93787433303614
"900","1","500","True","10",0.937981049331598
"300","10","500","True","1",0.939020436003242
"600","10","500","True","1",0.939045147504344
"300","10","1000","False","1",0.940771687707955
"900","10","500","False","1",0.942075285682633
"900","5","1000","True","1",0.94408719304482
"900","1","500","False","5",0.944215103248496
"900","5","1000","False","1",0.944246099371636
"600","5","1000","True","5",0.945398539784887
"900","1","500","True","5",0.947085815971157
"300","1","1000","True","5",0.947250031840504
"300","5","500","False","5",0.949030290651761
"600","5","500","True","5",0.951540658060329
"600","1","500","True","10",0.952069725578405
"900","10","1000","True","5",0.953109109485613
"300","1","1000","False","1",0.953598137426751
"300","5","1000","True","5",0.954054622635871
"900","1","1000","True","10",0.954197379627866
"300","1","1000","False","5",0.955439671373508
"900","5","1000","False","5",0.955456539423523
"600","1","1000","False","10",0.956063626995466
"900","10","1000","False","5",0.956136308986781
"900","5","500","False","5",0.956465158167701
"300","5","500","False","10",0.957948267682413
"900","5","1000","True","5",0.958278459707038
"600","10","500","True","5",0.959118807422772
"900","1","500","False","10",0.959169262247454
"900","5","500","True","5",0.959613435097028
"300","1","500","False","10",0.961071300534966
"600","5","1000","False","10",0.962270330568492
"300","10","1000","False","5",0.962908721506501
"600","5","500","True","10",0.963416487459424
"300","5","1000","False","5",0.965145928742659
"900","5","500","False","10",0.965200759494964
"300","5","500","True","10",0.965544253443799
"600","1","1000","True","10",0.966129116469413
"300","10","500","True","10",0.9674044590403
"600","10","1000","True","5",0.967419364670038
"300","1","500","True","10",0.9674846628198
"900","5","1000","True","10",0.967628560265595
"600","1","500","True","5",0.967774985292518
"600","10","500","False","5",0.967889992988849
"600","1","500","False","10",0.96932768836367
"600","5","1000","True","10",0.970166193802381
"300","10","1000","True","5",0.970386251787872
"900","10","500","True","5",0.97061041213508
"600","10","1000","False","10",0.971736957800825
"300","1","1000","False","10",0.971809144967996
"600","5","500","False","5",0.971981269928092
"600","10","500","True","10",0.972554601461926
"600","10","1000","False","5",0.973338660519774
"300","10","500","False","5",0.973905130957935
"900","10","500","False","5",0.974366914349579
"600","5","1000","False","5",0.974570676546435
"900","10","500","True","10",0.974664502902896
"300","10","1000","True","10",0.976589198821654
"900","1","1000","False","10",0.97663295801726
"900","10","1000","False","10",0.977321110501569
"300","10","500","True","5",0.977440674047141
"600","10","500","False","10",0.977442746492549
"300","10","1000","False","10",0.979324128836303
"600","10","1000","True","10",0.980424428845647
"900","5","500","True","10",0.980605570561203
"300","5","500","True","5",0.980618481741094
"900","10","500","False","10",0.98157583907078
"600","5","500","False","10",0.981665514134976
"300","10","500","False","10",0.983373703020254
"900","5","1000","False","10",0.983581998546936
"300","5","1000","True","10",0.985272604066568
"300","5","1000","False","10",0.986280101903589
"300","1","500","False","5",0.986585676372527
"300","1","1000","True","10",0.98741319132878
"900","10","1000","True","10",0.989292617056557
