"names","Estimate","Std. Error","dep_var","data","parents","privacy","copies"
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",0,0,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",0,0,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",0,0,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",0,0,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",0,0.1,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",0,0.1,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",0,0.1,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",0,0.1,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",0,1,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",0,1,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",0,1,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",0,1,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",0,5,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",0,5,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",0,5,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",0,5,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",0,10,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",0,10,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",0,10,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",0,10,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",0,20,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",0,20,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",0,20,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",0,20,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",0,30,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",0,30,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",0,30,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",0,30,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",1,0,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",1,0,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",1,0,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",1,0,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",1,0.1,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",1,0.1,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",1,0.1,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",1,0.1,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",1,1,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",1,1,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",1,1,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",1,1,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",1,5,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",1,5,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",1,5,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",1,5,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",1,10,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",1,10,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",1,10,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",1,10,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",1,20,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",1,20,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",1,20,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",1,20,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",1,30,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",1,30,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",1,30,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",1,30,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",2,0,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",2,0,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",2,0,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",2,0,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",2,0.1,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",2,0.1,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",2,0.1,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",2,0.1,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",2,1,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",2,1,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",2,1,5
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",2,1,5
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",2,5,5
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",2,5,5
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",2,5,5
