var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10
a,g,m,h,n,j,l,j,b,i
l,o,h,m,d,o,e,m,e,k
o,h,d,d,b,o,a,a,a,i
d,g,e,h,f,c,m,m,m,h
e,c,e,o,b,m,h,k,l,f
b,f,b,g,j,k,e,n,g,e
o,h,o,d,b,k,f,h,o,h
j,o,c,m,a,i,j,n,l,o
i,h,i,j,i,h,m,l,l,c
b,f,a,l,j,h,d,f,m,l
d,l,d,h,k,e,n,m,m,o
a,j,m,a,i,m,b,n,c,g
g,d,b,m,c,l,n,f,l,g
o,f,a,g,m,e,o,c,j,c
h,d,a,n,c,f,k,o,b,b
a,g,f,l,n,h,c,b,f,l
a,o,c,j,o,n,i,n,f,b
g,c,m,b,j,j,l,b,l,f
o,e,j,m,k,a,o,f,j,n
a,k,i,m,b,h,n,e,c,i
l,h,a,g,f,l,n,g,i,h
i,a,b,e,k,n,m,b,c,a
d,f,c,g,c,g,g,o,b,k
d,k,k,f,n,k,a,m,o,b
g,m,e,h,d,h,b,g,d,k
d,l,d,k,h,a,f,c,c,j
i,o,j,d,j,g,i,k,b,l
a,n,c,c,e,j,h,j,k,j
h,f,f,h,f,c,g,o,k,d
m,g,c,k,n,o,c,e,o,m
a,e,l,d,c,c,e,a,j,j
k,m,l,g,a,g,m,o,j,l
l,g,b,c,o,i,o,h,i,j
a,f,i,b,a,g,m,e,f,j
k,k,b,l,f,d,b,k,j,a
i,i,c,a,o,a,i,i,o,b
g,b,a,h,d,g,j,c,b,a
b,i,h,c,m,c,f,j,f,h
l,m,b,i,k,j,j,l,e,l
e,a,h,o,g,o,e,j,d,n
e,m,g,j,c,a,j,d,m,d
e,j,m,n,o,g,l,e,n,o
a,j,c,j,m,j,b,n,h,g
i,g,h,j,l,o,i,d,k,b
n,j,j,i,k,g,c,o,k,g
e,l,j,m,l,n,d,h,b,b
o,j,a,g,o,b,h,k,f,e
d,h,j,f,d,l,k,j,l,h
f,i,h,h,g,e,b,i,n,i
m,n,l,j,i,e,h,j,h,m
l,l,j,a,j,g,f,e,i,h
k,l,g,e,c,i,c,h,o,n
n,f,g,m,b,f,c,k,i,h
d,h,l,i,o,e,n,c,e,m
a,k,k,l,f,h,l,d,n,e
o,o,e,f,c,g,b,a,c,i
m,e,j,e,d,g,g,o,c,n
i,k,f,j,o,i,l,j,d,o
k,o,g,c,o,i,c,e,a,j
b,d,e,j,a,a,k,c,g,i
m,o,c,n,j,m,e,i,h,b
n,b,d,j,m,m,a,f,j,c
c,m,d,e,a,g,c,d,n,i
b,k,c,o,n,j,e,j,a,c
o,n,j,l,m,g,b,k,h,h
d,c,b,e,f,f,a,f,j,i
o,h,i,k,c,o,d,c,c,k
d,d,k,c,e,f,n,a,k,l
f,j,k,i,d,c,d,j,j,l
n,k,n,c,c,n,n,k,i,l
c,c,j,h,h,d,j,i,e,i
i,a,m,g,l,m,c,k,c,j
a,d,k,o,b,k,g,h,g,j
c,o,g,i,o,g,j,i,j,d
k,g,f,c,f,g,n,o,o,n
a,f,b,d,j,o,k,h,j,c
n,h,m,i,m,h,n,f,g,n
b,n,j,i,l,h,d,n,n,f
m,c,l,g,f,k,f,d,k,g
h,h,b,k,l,l,f,a,l,e
k,k,a,f,b,m,d,d,k,n
m,a,b,c,g,g,k,m,h,c
h,a,j,h,f,f,m,k,d,h
e,c,a,g,n,d,j,l,d,g
f,d,m,n,k,b,o,c,m,n
m,e,j,n,e,l,d,g,k,n
k,k,a,o,f,h,h,i,f,f
b,j,d,a,d,f,o,l,b,f
c,j,g,l,n,h,l,g,n,n
o,i,f,i,k,l,o,a,d,a
g,c,n,k,g,e,k,j,g,d
m,h,m,i,g,i,h,h,b,o
j,l,b,a,j,o,d,g,d,m
e,c,c,e,o,n,i,o,g,c
c,e,a,m,h,e,d,m,l,b
k,d,i,a,m,j,k,l,l,d
m,b,j,k,h,f,f,h,k,a
g,j,a,e,g,n,a,m,o,i
g,j,n,m,j,o,n,h,e,m
d,m,k,i,l,f,l,b,n,a
f,i,f,j,e,d,f,e,d,c
k,o,i,g,o,e,e,f,m,j
g,b,k,d,b,f,m,c,i,m
c,h,i,n,c,g,f,d,f,b
i,i,d,h,a,e,d,c,l,d
f,g,f,k,a,f,g,l,h,f
d,f,i,b,g,g,i,a,o,h
n,m,g,d,i,h,c,a,h,f
m,d,l,m,j,d,i,k,b,i
b,g,h,o,g,a,m,o,j,g
i,h,e,j,i,n,l,f,c,b
l,o,l,a,h,h,i,e,a,l
b,d,i,b,g,l,j,h,i,i
n,g,l,c,n,c,o,d,b,d
c,c,n,e,m,m,e,i,b,n
b,h,c,d,a,k,k,a,j,j
i,l,b,k,k,n,o,a,a,l
l,d,k,k,e,g,c,e,k,n
c,h,m,m,n,n,f,a,k,k
m,g,c,a,e,f,d,a,m,b
i,m,c,k,j,a,o,h,c,h
f,c,l,i,f,h,h,l,l,d
g,c,i,f,k,d,e,c,j,b
m,h,m,o,n,e,l,g,j,a
m,o,g,n,m,c,a,i,a,o
m,j,m,e,a,b,b,h,a,m
f,n,c,c,a,o,j,a,o,o
h,i,d,n,o,h,h,n,m,b
k,l,n,d,k,a,i,m,i,m
d,n,b,g,d,g,m,d,i,l
c,c,b,d,i,d,f,k,i,g
j,i,g,k,h,h,c,b,a,b
l,n,d,h,c,i,h,c,n,e
d,b,l,o,j,g,j,c,e,k
c,c,i,i,l,g,m,f,e,g
b,d,o,f,g,j,e,n,c,f
e,m,o,k,h,c,a,i,f,o
o,f,i,f,g,a,g,k,b,j
f,j,k,e,m,c,m,a,i,d
o,i,d,c,n,g,m,b,l,e
m,k,h,n,l,b,g,l,g,f
g,d,b,d,k,i,o,l,k,g
g,a,i,c,f,b,f,f,k,c
l,n,e,h,e,i,j,m,d,k
d,o,b,f,h,d,j,m,i,j
d,a,b,d,a,d,o,b,a,j
g,k,o,c,l,i,m,d,k,a
m,b,e,a,g,a,c,c,d,e
h,c,a,j,f,n,i,o,b,n
c,c,i,j,g,b,k,h,g,b
o,k,o,e,m,j,c,n,m,m
l,m,e,f,g,f,m,l,j,l
o,d,l,g,o,d,n,d,e,j
d,b,j,b,h,b,m,c,b,c
l,a,a,k,h,h,h,f,k,l
c,j,m,j,e,k,a,d,d,b
n,b,f,o,a,b,f,o,j,j
g,i,k,c,k,i,k,c,j,f
f,f,l,l,k,a,e,i,e,c
o,d,e,o,o,j,f,d,m,i
h,m,j,c,c,a,e,a,k,a
d,i,e,b,i,j,j,b,m,f
a,n,n,g,l,j,k,n,g,a
c,i,e,m,a,k,b,m,g,e
a,b,h,k,j,h,m,a,n,a
n,n,k,f,m,a,c,h,d,a
k,d,k,b,k,c,m,f,a,i
m,f,d,o,n,a,l,a,d,m
b,e,i,j,d,h,j,b,g,f
n,o,m,c,a,f,i,a,n,o
a,e,b,g,n,i,h,c,l,f
g,o,b,e,g,i,n,m,h,d
a,d,n,d,m,f,g,g,m,e
l,g,i,k,i,h,j,f,l,j
k,c,a,j,k,h,g,j,n,e
g,d,h,b,h,a,o,b,d,d
e,l,b,o,n,b,b,m,j,d
i,h,g,k,e,c,i,l,m,k
j,a,k,n,k,i,n,g,e,j
j,a,o,h,n,b,d,b,k,j
o,j,e,c,d,c,d,c,o,c
i,g,d,f,e,d,j,l,m,e
d,e,o,c,n,o,c,l,l,j
k,d,k,b,d,n,c,l,k,b
d,h,g,l,o,b,f,d,f,d
j,e,f,l,l,b,j,m,i,h
h,e,h,d,d,b,h,m,o,n
e,g,l,h,i,a,d,h,b,j
d,e,e,m,b,b,h,i,a,k
g,b,a,m,m,h,j,b,m,a
b,e,k,b,d,j,o,l,k,e
a,i,n,a,b,f,e,m,n,n
o,i,l,o,i,o,a,i,g,f
h,f,m,a,l,c,d,o,n,k
n,k,m,i,m,g,g,n,f,n
o,e,b,f,g,o,i,j,e,k
f,e,b,k,o,c,i,h,c,j
k,b,d,l,l,i,g,f,g,o
l,a,a,k,k,m,h,f,d,j
j,a,h,n,m,e,k,g,m,j
i,c,d,k,m,e,j,j,b,n
k,b,i,l,i,a,f,i,m,f
b,o,o,c,c,i,m,b,f,a
c,l,n,k,a,e,h,a,h,f
o,b,g,g,d,k,i,g,l,a
n,o,m,l,a,f,n,n,f,m
k,e,f,h,i,l,l,j,i,e
j,f,g,o,a,a,o,e,f,j
j,j,g,j,j,l,h,h,d,m
a,o,j,j,a,a,f,g,e,d
j,j,m,i,k,b,c,o,j,m
e,m,j,c,h,i,m,o,n,b
f,e,n,h,n,g,l,n,c,e
i,g,o,g,e,a,l,h,l,i
k,k,c,a,o,b,g,b,k,j
j,n,j,o,l,n,m,m,e,e
g,f,j,c,h,f,c,a,d,n
k,o,b,c,c,e,n,i,b,l
l,g,g,n,i,m,m,h,c,c
m,i,c,n,o,m,j,f,o,g
n,a,i,m,b,f,l,g,o,n
i,a,e,o,n,a,h,o,l,n
m,b,n,a,g,j,b,e,f,f
g,h,k,i,n,m,a,o,e,k
f,d,g,h,f,b,f,f,h,j
g,n,h,c,g,i,h,d,b,d
j,c,d,m,j,o,f,c,c,e
n,b,g,e,a,b,n,g,d,h
k,d,a,g,n,m,k,a,i,n
n,e,f,g,o,m,f,g,j,c
f,e,c,g,a,f,l,c,c,d
o,o,h,b,d,f,l,i,l,n
l,i,g,l,a,f,o,k,h,m
h,h,k,j,l,i,h,j,j,k
h,d,n,m,k,i,k,n,f,c
c,m,f,o,k,j,n,l,a,a
m,i,d,i,j,o,n,m,o,f
a,g,h,o,h,j,f,b,d,e
n,o,g,e,o,b,l,c,m,e
f,j,a,g,f,g,a,k,i,f
j,c,l,e,c,b,l,g,h,m
j,k,j,a,g,m,f,o,n,d
c,m,j,b,k,j,h,g,o,l
d,i,e,b,i,k,b,l,b,h
m,h,g,m,d,l,i,k,f,c
i,o,o,h,l,j,k,c,f,i
f,a,b,e,d,o,d,f,n,j
l,o,l,d,g,c,o,f,k,o
n,m,b,j,e,e,h,b,l,j
i,m,e,a,d,k,k,f,o,c
h,i,c,e,e,e,d,j,l,h
l,o,c,j,h,a,l,h,a,l
i,b,l,n,i,f,c,o,b,j
d,m,n,e,o,a,m,a,a,i
i,a,d,b,j,a,k,i,e,h
b,k,m,j,c,j,n,a,n,e
o,f,e,l,m,j,j,c,d,m
a,o,n,j,j,g,c,g,f,d
o,c,m,o,o,a,c,e,c,c
b,f,m,m,b,i,o,e,o,g
c,a,n,h,h,g,o,f,j,c
o,o,j,f,b,n,b,j,i,a
b,e,f,d,c,f,n,d,j,i
b,f,f,m,e,i,g,h,e,g
e,d,i,b,j,n,n,l,d,g
n,n,e,e,h,d,k,g,j,l
l,c,n,l,a,g,c,i,e,b
a,b,i,b,m,i,c,j,g,f
m,b,g,m,l,c,j,n,k,c
b,l,e,h,l,e,b,k,c,h
f,e,c,f,n,j,o,f,h,f
b,j,n,j,h,k,j,f,k,l
m,o,o,k,d,e,b,g,b,m
n,d,a,n,i,g,m,k,a,l
d,k,b,g,n,l,b,k,j,d
i,m,a,i,j,m,c,j,g,j
h,c,m,k,n,e,c,c,d,d
b,j,o,g,e,a,m,b,m,j
n,n,n,m,k,l,n,l,k,d
e,k,d,m,k,o,f,j,h,g
e,b,f,n,k,j,o,m,g,n
l,d,d,n,d,b,g,c,k,g
k,d,i,m,n,m,b,g,h,b
f,j,l,l,m,f,g,a,j,k
l,f,n,n,b,g,k,a,i,f
d,h,g,i,e,a,g,d,l,n
l,b,b,d,l,n,a,k,o,h
d,g,f,g,l,h,a,n,n,b
c,j,m,c,m,l,f,e,a,b
l,k,f,f,c,a,h,k,m,c
g,f,k,o,b,b,e,f,h,h
d,c,h,c,g,m,k,f,e,f
a,g,o,e,l,d,j,h,a,a
n,e,f,k,d,o,m,h,b,i
b,d,h,f,c,g,i,o,k,a
c,e,h,n,m,i,e,e,a,n
n,d,k,i,n,g,e,b,l,c
o,d,a,i,j,f,g,i,k,g
c,g,e,g,c,h,l,b,e,m
o,g,n,f,f,g,l,i,i,d
d,k,n,i,f,g,i,h,e,a
l,d,c,c,o,h,c,f,f,o
e,b,b,b,o,m,i,f,n,h
l,m,l,n,m,j,f,f,e,a
d,m,i,n,d,n,m,a,n,h
m,j,j,h,i,k,a,k,a,n
g,j,g,a,a,m,f,g,n,h
o,f,l,i,h,n,a,f,e,j
d,d,d,j,l,n,l,j,f,h
f,c,n,a,i,j,e,b,k,h
c,f,d,k,k,j,n,l,k,b
f,f,k,h,e,o,e,n,f,l
e,o,l,d,b,a,g,j,g,c
a,g,n,k,g,a,n,c,b,j
m,a,g,m,d,n,e,e,c,o
m,e,a,h,g,e,c,l,k,n
f,n,h,b,k,j,b,m,o,i
a,c,j,k,c,k,f,i,f,a
g,e,m,j,m,i,o,n,j,k
l,m,l,b,h,k,d,k,o,j
a,f,a,o,o,c,d,m,h,d
b,j,j,o,i,o,a,f,n,n
d,a,m,m,i,e,n,a,l,f
f,g,l,j,d,c,m,f,d,l
g,d,n,n,d,h,n,c,f,e
e,k,g,g,a,o,m,e,n,j
g,e,i,e,k,h,d,n,m,n
h,j,j,i,i,m,h,n,h,j
i,k,j,i,d,i,m,m,g,o
k,f,b,i,e,j,i,c,c,c
j,l,l,k,d,e,f,m,n,b
g,o,k,o,j,o,d,l,l,m
m,l,n,g,g,f,b,l,b,i
b,i,i,c,m,n,f,h,i,n
j,e,n,g,n,f,j,m,j,o
