var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
m,a,s,g,o,c,a,a,d,o,n,j,i,j,k,f,m,t,d,r
e,h,p,g,b,g,t,e,i,m,t,d,a,h,s,d,l,t,f,h
f,f,e,a,n,t,m,m,j,k,m,q,j,d,a,r,t,j,d,s
a,r,m,d,r,d,h,d,d,r,r,m,a,l,o,a,d,k,e,g
i,t,h,o,m,m,t,b,f,c,i,q,i,s,l,s,j,r,n,t
h,q,t,q,i,c,c,a,k,s,j,k,s,k,s,s,j,a,a,m
n,l,e,p,j,g,b,q,o,o,o,a,s,k,j,i,b,l,c,l
p,r,b,j,h,t,a,f,s,o,g,s,h,l,k,c,l,c,t,e
l,a,a,p,p,m,f,b,j,b,l,e,o,f,r,o,n,g,k,q
k,c,k,o,k,o,c,g,b,h,t,k,e,q,s,m,k,o,h,b
p,g,f,f,a,j,s,k,l,b,i,n,t,i,t,r,i,a,i,m
c,q,r,b,e,a,n,j,c,q,c,j,q,g,c,i,l,b,m,c
g,r,n,c,k,c,o,a,s,o,b,f,g,g,p,n,k,l,d,c
m,d,e,n,h,d,l,f,s,b,m,c,n,l,s,g,g,g,h,r
p,p,b,j,a,p,r,o,s,d,o,h,q,s,f,a,f,d,j,f
t,f,o,d,d,c,s,f,a,i,t,r,e,j,k,g,a,h,b,h
q,k,n,r,o,f,q,d,m,n,j,k,d,j,m,a,b,t,e,i
m,b,d,g,p,d,f,m,a,l,s,n,b,b,p,t,b,j,i,t
a,p,c,d,f,o,m,c,k,p,s,c,s,e,i,l,s,h,i,o
s,q,j,q,g,c,d,j,a,q,p,q,q,s,c,a,s,n,h,f
g,g,n,b,l,f,l,e,j,p,p,a,d,f,t,t,i,c,k,n
t,a,g,e,l,j,m,i,b,s,q,p,q,r,i,i,b,n,g,p
q,l,i,g,f,g,e,j,m,d,r,q,k,j,r,s,o,c,p,o
r,k,o,m,s,i,i,e,p,b,h,p,s,n,d,l,d,i,d,h
r,h,k,k,h,r,p,a,e,h,s,k,n,h,q,g,b,f,d,i
h,o,m,t,q,m,h,a,i,i,r,f,p,f,c,e,f,a,i,f
m,f,s,i,o,k,m,h,d,p,k,k,p,r,i,r,n,l,c,a
f,e,f,s,b,c,a,c,d,t,r,i,n,j,j,p,f,j,o,i
g,f,o,a,n,l,h,l,h,b,o,b,f,m,p,b,q,b,a,n
d,a,e,s,r,g,h,k,p,p,t,b,e,o,s,k,s,e,d,m
r,a,a,s,m,c,d,m,m,d,e,r,p,c,l,d,m,p,j,k
e,o,d,o,o,p,f,d,d,j,k,f,a,j,h,h,f,b,j,h
f,c,d,d,c,b,h,e,m,h,p,d,r,s,i,l,d,r,t,r
r,r,t,h,h,i,a,g,d,h,h,f,m,r,l,n,i,l,b,c
e,p,f,g,i,t,b,h,h,g,p,f,n,j,f,b,o,i,b,c
t,g,q,p,g,a,s,s,l,c,k,b,l,e,g,p,g,s,h,t
n,n,k,h,t,i,q,e,t,f,q,d,n,b,q,r,j,m,f,f
