var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10
m,k,h,n,h,a,j,m,a,l
c,b,o,n,h,d,a,g,c,j
e,f,k,m,l,a,c,m,b,f
a,o,i,n,m,c,n,h,b,k
k,m,g,k,h,j,e,b,h,e
n,b,a,i,c,d,l,l,n,g
n,n,e,l,c,a,j,j,d,i
h,d,f,f,n,g,d,e,k,a
n,b,e,n,h,m,c,m,c,h
n,c,e,k,d,h,n,j,f,l
h,a,a,d,j,f,d,a,a,l
i,g,a,a,i,d,n,m,i,i
i,a,h,n,d,b,a,c,b,h
n,b,b,n,i,d,j,j,o,f
f,d,n,c,i,c,b,d,g,h
j,m,f,n,m,d,a,g,o,k
m,a,a,a,l,g,e,e,i,j
j,o,f,f,c,j,d,j,b,l
i,l,l,o,h,f,f,g,k,a
g,h,b,g,j,d,m,l,j,k
l,l,h,i,c,a,o,g,d,m
d,h,b,o,c,h,h,d,m,h
a,a,k,c,o,k,n,b,b,e
a,e,f,h,g,a,g,d,m,g
m,i,f,j,j,a,b,l,j,k
n,e,i,d,b,g,f,e,i,b
n,o,l,e,l,f,c,b,j,o
n,d,i,j,e,g,m,c,n,g
f,l,h,h,m,i,j,b,l,m
e,a,h,b,g,j,n,h,e,l
h,e,l,i,d,h,j,d,f,f
b,l,d,o,e,d,m,c,d,l
f,a,f,b,g,j,n,c,j,m
j,i,h,e,f,c,c,n,i,n
m,l,d,h,b,i,b,b,k,l
c,i,j,l,h,d,h,d,k,k
n,f,a,b,d,a,h,i,g,d
m,g,c,n,b,d,h,k,o,l
i,j,d,k,i,j,a,b,m,i
c,o,i,b,d,k,i,m,f,h
h,o,n,n,e,c,k,n,m,o
e,f,k,g,m,d,c,l,e,a
j,k,i,c,i,b,b,d,j,e
o,d,j,h,e,d,b,d,i,j
a,d,f,a,c,g,i,n,n,b
c,e,n,g,j,c,k,d,h,o
l,l,o,m,d,b,a,k,e,n
e,a,o,h,h,h,l,c,j,a
c,h,i,j,d,n,k,n,g,g
c,o,j,f,o,o,c,a,n,o
o,e,h,g,c,j,l,e,n,g
l,a,l,h,l,o,f,e,e,b
j,f,i,k,a,i,l,i,i,b
l,o,g,g,j,b,k,i,n,g
j,g,a,h,o,d,c,g,m,f
l,h,l,f,k,d,e,o,n,a
e,j,f,d,e,h,j,k,k,g
c,b,f,i,c,a,g,n,m,g
d,n,m,d,b,l,l,g,f,g
b,n,j,l,f,h,n,k,i,a
a,e,a,a,o,h,g,l,h,e
b,e,o,j,j,g,b,n,n,o
d,f,e,k,i,g,k,f,d,b
f,c,f,e,c,g,b,i,j,a
h,i,k,j,l,h,m,d,e,g
i,j,g,j,m,a,h,h,c,g
n,a,n,g,j,k,m,b,c,f
d,l,h,j,o,b,d,e,h,n
h,d,l,d,o,n,o,f,b,k
i,m,b,i,h,o,h,h,m,o
j,j,b,k,f,a,m,g,b,j
n,d,d,h,l,b,n,a,g,d
l,j,n,b,c,a,c,d,b,l
e,d,h,h,h,j,l,b,f,i
e,n,b,h,j,n,h,l,n,b
e,m,i,c,f,j,e,n,n,b
m,g,n,m,h,b,a,d,m,a
i,o,n,n,o,a,j,l,f,b
o,k,h,i,c,d,l,g,j,b
a,c,e,k,j,j,i,d,l,g
g,d,a,k,k,i,a,f,m,g
b,n,a,j,k,m,g,i,e,k
m,c,e,h,f,c,e,k,i,h
i,o,b,l,h,l,k,g,l,j
f,a,i,e,o,d,m,m,d,e
e,o,e,m,f,b,f,h,l,g
