var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15
a,e,d,c,a,a,b,d,d,i,i,g,i,f,g
c,j,f,j,j,c,d,g,a,e,j,i,g,a,e
g,f,e,d,j,h,e,a,d,g,g,a,a,f,e
j,f,c,e,a,g,a,h,e,j,e,h,b,e,d
g,j,b,g,e,e,e,g,f,f,j,i,f,c,f
a,d,b,f,c,h,e,f,d,f,h,a,h,b,j
h,g,h,d,b,j,c,b,j,e,a,d,f,d,b
b,e,c,g,e,j,d,f,e,b,b,i,c,d,j
e,d,i,h,a,f,i,i,c,b,c,i,c,e,h
e,g,c,i,b,j,f,e,g,g,h,c,a,b,b
d,d,d,b,c,i,j,f,e,d,a,e,i,h,i
a,h,a,e,g,f,e,a,h,g,i,d,i,b,h
d,i,c,c,h,c,i,e,d,h,f,c,f,e,i
a,c,g,b,i,b,i,g,a,f,i,e,j,c,b
g,f,i,i,i,g,h,a,j,f,i,i,b,g,a
d,d,g,c,c,j,i,j,d,a,i,e,i,i,e
b,f,i,d,f,a,c,f,a,a,j,c,f,h,j
j,h,j,h,c,g,c,a,a,j,b,e,g,d,e
g,g,i,b,h,g,b,g,a,i,f,d,e,b,f
b,e,j,j,i,e,g,e,g,d,a,f,f,a,h
b,e,d,h,c,e,j,h,a,a,j,b,g,e,d
h,i,i,d,f,b,a,a,b,c,b,e,j,h,a
d,h,i,d,f,j,g,j,g,j,c,j,b,d,d
a,e,h,g,g,c,j,d,g,g,d,a,i,h,b
a,f,j,c,i,f,a,e,e,h,g,g,g,b,j
e,d,b,g,h,f,j,g,d,h,c,h,c,d,j
e,f,h,g,j,e,c,d,h,a,b,c,h,g,j
c,c,j,h,j,e,i,h,c,d,a,f,d,h,h
i,e,j,h,g,e,d,j,h,i,a,d,b,i,b
e,j,f,c,d,j,b,g,h,h,i,d,f,h,g
a,g,j,i,c,j,f,a,g,e,c,f,g,i,j
b,f,c,e,a,b,i,j,c,d,c,e,e,j,e
e,e,i,d,d,b,c,h,i,h,j,g,g,a,j
i,e,c,i,c,f,e,e,b,a,g,f,g,g,e
c,d,f,e,j,b,b,b,a,a,c,a,f,b,g
i,e,j,g,b,f,d,f,f,d,d,a,j,e,h
e,j,g,i,a,g,i,f,f,i,j,a,h,f,d
h,e,e,i,d,g,j,i,b,h,d,h,i,f,g
g,g,a,g,c,g,a,f,c,e,a,g,g,g,a
h,c,c,h,c,g,a,j,i,j,i,a,h,j,j
f,d,i,c,c,d,i,a,f,e,b,d,b,f,g
h,f,d,g,f,a,i,h,f,b,f,b,a,f,i
b,b,b,g,e,i,e,b,g,a,h,b,b,b,e
e,a,d,j,h,j,j,f,c,f,h,g,g,e,d
f,d,b,d,b,b,d,d,f,f,f,h,g,i,h
j,a,c,h,j,d,h,d,a,h,a,j,g,i,f
j,c,e,a,j,d,d,j,e,c,h,h,h,b,a
g,j,f,d,g,j,i,h,c,h,f,f,c,h,i
j,j,g,f,c,i,e,b,a,b,j,c,h,a,e
e,d,g,j,i,a,b,a,e,a,f,a,e,c,e
a,g,c,i,e,j,g,e,b,d,a,f,g,c,c
a,a,c,j,e,b,c,e,g,h,f,e,c,c,e
i,d,a,i,e,j,d,b,a,b,j,c,a,d,b
g,d,d,e,f,h,e,i,d,e,d,d,g,f,e
a,d,e,g,e,a,b,b,a,h,f,d,j,g,h
g,d,i,b,i,d,d,h,c,d,j,c,i,a,g
c,g,h,c,c,a,a,d,i,f,d,i,i,f,g
i,c,c,j,c,e,b,g,f,a,b,f,a,a,g
i,e,a,g,c,g,i,d,f,e,j,j,a,c,d
d,e,d,b,c,j,a,h,d,a,d,i,b,f,j
d,g,h,c,b,f,e,g,c,b,i,i,h,h,i
e,b,a,b,b,c,e,h,d,g,a,f,e,j,a
b,e,g,d,c,d,g,a,j,d,c,g,f,c,g
g,e,f,f,b,b,a,i,b,j,a,h,h,f,f
f,g,c,b,d,g,d,e,a,f,j,d,h,b,j
a,f,c,e,a,h,a,f,b,h,b,j,i,f,d
b,e,a,f,g,c,f,c,d,d,a,h,e,i,e
f,f,d,g,f,a,i,a,b,c,h,j,j,a,i
g,i,b,j,c,a,b,f,c,e,b,g,b,j,b
j,d,c,d,a,b,h,d,i,d,f,a,c,i,a
a,c,j,d,d,c,i,i,c,e,c,a,g,j,b
