var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
e,j,d,h,b,i,a,d,e,g,a,g,g,j,c,e,f,j,j,e
b,b,f,i,h,h,c,c,h,f,g,b,b,e,g,i,g,e,j,g
i,c,e,j,h,h,i,d,h,b,j,g,d,a,g,c,g,c,a,e
d,d,c,b,a,j,j,a,i,j,h,c,b,i,a,c,i,j,f,g
c,a,c,h,j,a,i,c,d,c,g,c,j,c,b,e,b,j,j,c
e,f,b,b,i,h,i,j,e,f,d,g,e,f,d,d,j,g,j,f
b,a,h,j,e,a,g,g,b,e,g,e,j,h,e,j,j,j,c,f
g,d,b,e,j,g,c,a,i,c,j,j,h,b,d,h,h,a,f,a
h,f,i,c,d,d,h,j,j,c,e,b,h,i,j,j,h,b,c,b
g,a,d,h,e,d,b,e,c,b,d,h,d,f,a,i,e,e,d,e
b,f,j,f,i,c,e,f,i,d,c,j,i,h,b,d,g,i,i,j
b,e,i,b,a,d,i,d,g,e,a,e,j,j,j,d,f,b,g,c
j,h,f,g,d,e,h,e,e,a,b,c,j,i,h,j,f,g,f,j
e,i,a,f,c,f,c,c,h,f,a,h,i,c,e,a,b,f,c,b
i,c,i,h,c,j,f,h,b,f,a,b,b,d,i,a,g,f,a,e
j,e,d,g,i,g,h,i,c,i,a,j,g,e,c,a,h,f,g,j
g,c,i,j,b,i,g,d,h,h,g,h,j,j,c,c,e,i,b,d
d,e,a,c,i,a,j,a,h,j,i,f,c,h,g,f,g,g,e,j
h,a,i,i,i,j,a,c,h,b,b,e,e,f,g,c,e,e,j,a
g,j,a,i,c,h,d,e,a,e,c,a,j,j,j,h,f,f,e,b
g,j,j,c,i,a,b,a,e,b,g,f,g,i,h,i,a,i,e,c
b,h,j,j,c,j,j,h,d,i,i,j,i,b,f,g,e,c,b,e
h,e,i,j,j,g,d,e,a,j,e,i,b,h,a,j,f,b,b,h
e,d,j,g,a,e,a,b,a,b,f,g,i,c,e,b,d,g,a,b
e,c,g,g,c,d,j,e,i,a,a,f,c,f,e,h,e,j,c,g
f,f,b,h,d,d,e,d,c,e,e,c,g,h,j,a,c,b,i,e
e,j,h,g,g,a,g,b,g,h,i,h,e,d,d,j,g,d,i,g
i,i,i,c,d,a,h,a,j,d,g,i,f,b,j,b,b,g,j,f
a,e,a,c,a,a,c,i,g,g,c,e,f,j,e,j,e,d,j,a
h,g,f,g,g,g,g,c,g,a,a,e,j,j,c,g,a,e,g,a
e,a,a,h,i,g,b,i,i,e,e,j,c,j,d,e,j,j,g,c
b,c,c,b,f,f,h,i,c,d,e,j,a,g,g,b,e,c,i,e
h,a,i,g,g,f,g,a,c,a,g,g,c,e,d,a,h,h,f,f
g,b,c,h,f,d,i,e,f,h,j,a,i,g,g,a,h,d,a,j
g,e,f,b,h,f,i,g,h,h,e,g,j,f,c,g,j,d,e,c
j,j,a,e,e,d,c,f,d,j,f,g,i,i,j,h,f,d,i,e
h,c,d,h,f,j,h,f,d,g,g,g,e,a,a,h,c,d,i,i
b,a,e,h,g,j,a,d,c,e,f,c,g,a,c,e,d,g,a,i
i,a,g,a,i,c,j,f,j,e,h,d,c,d,g,c,h,c,e,h
b,i,c,c,c,j,j,i,c,j,a,g,e,i,d,e,f,j,e,g
c,f,i,g,i,g,h,h,d,e,f,e,b,a,c,e,i,h,j,e
b,c,f,e,b,i,h,a,d,c,b,f,d,a,h,c,f,g,d,i
g,d,b,e,f,c,i,g,d,b,d,f,b,f,i,g,g,e,h,c
