var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10
e,c,j,f,h,a,f,e,b,b
a,a,a,j,f,f,h,b,g,d
c,g,e,e,f,f,b,e,g,a
h,i,j,d,f,c,h,g,a,i
g,j,g,a,g,h,b,j,j,e
e,f,g,h,e,f,b,d,d,e
j,j,b,e,a,h,a,i,i,c
i,e,g,b,g,e,c,g,a,j
f,f,c,i,a,d,j,e,f,j
i,j,h,c,a,e,e,j,c,a
c,j,d,d,e,b,i,h,h,d
e,e,i,h,i,d,b,c,h,a
c,j,a,f,b,i,j,j,g,f
c,d,g,d,j,i,j,b,g,e
a,g,i,c,j,c,b,c,i,e
c,e,c,f,e,e,j,f,d,h
i,g,i,e,h,g,f,e,g,h
h,e,b,i,j,h,h,f,g,i
d,j,i,j,b,c,f,b,g,b
i,h,b,j,g,h,d,j,d,d
i,h,d,i,e,h,e,g,g,h
h,d,d,e,h,c,h,c,c,g
f,e,i,e,g,e,d,j,d,i
e,i,f,g,i,i,f,a,a,a
e,g,b,f,j,d,h,j,a,g
a,f,g,b,h,d,i,e,e,c
e,j,f,f,c,h,a,a,c,h
d,d,b,i,f,h,b,g,f,d
b,c,c,i,d,h,c,f,h,b
f,i,a,h,c,e,f,b,h,f
h,j,b,c,e,e,e,c,d,i
i,g,j,j,d,j,j,f,h,d
f,j,i,f,c,a,a,a,e,f
a,a,j,c,g,d,b,j,c,h
i,e,a,h,f,j,f,i,g,h
c,h,a,b,a,d,c,h,j,i
f,i,c,c,d,c,j,h,j,b
f,j,e,c,c,e,i,e,e,c
d,j,g,i,e,b,h,h,f,c
h,d,j,i,e,c,h,f,e,i
g,f,i,f,e,e,f,h,j,c
j,g,a,b,h,g,j,g,j,f
i,c,g,f,g,b,b,i,d,a
f,i,c,j,b,e,a,a,f,b
g,j,g,i,a,j,c,h,h,f
c,i,c,i,f,a,f,a,g,e
h,d,e,g,f,a,c,f,a,g
i,a,g,e,i,e,b,g,g,f
h,a,c,a,e,b,b,g,g,j
f,f,c,j,j,e,f,c,a,h
e,d,j,g,g,h,d,j,e,b
a,i,c,d,g,d,a,j,d,f
b,e,h,c,g,e,d,g,g,j
d,j,f,h,c,f,b,e,f,c
e,f,e,f,g,g,f,h,f,f
g,f,f,d,j,a,c,g,f,e
a,e,f,f,e,g,h,a,e,e
b,d,e,j,e,h,f,b,j,h
b,h,b,b,e,f,h,d,j,b
c,f,d,d,e,e,h,g,b,h
c,j,d,f,h,d,b,b,e,b
j,c,h,d,a,i,b,g,h,a
i,i,c,e,e,a,h,c,h,d
d,d,a,a,e,j,h,j,c,g
g,j,j,d,c,c,c,j,g,c
j,g,d,h,d,f,h,h,c,b
i,h,h,a,i,b,f,d,b,d
g,g,d,b,i,d,j,c,e,g
b,b,g,g,e,g,f,h,f,j
i,f,j,d,d,a,g,a,e,d
j,d,d,e,c,i,f,e,f,c
g,d,f,c,i,e,b,d,g,j
h,i,h,i,g,g,f,b,f,b
h,f,f,e,e,f,e,e,d,h
h,h,a,h,g,c,f,g,j,d
h,h,e,e,i,g,c,d,f,b
a,d,f,j,c,j,c,b,b,d
b,e,j,f,e,h,b,j,c,g
d,e,j,d,b,b,d,d,e,h
a,j,b,d,e,c,d,a,j,g
h,j,i,a,a,i,f,i,a,f
d,h,d,f,b,h,a,f,j,i
h,j,e,i,h,a,f,g,d,h
h,d,c,c,d,i,e,d,c,b
b,h,h,a,d,i,h,i,b,a
e,d,j,b,f,g,g,e,e,c
d,h,f,j,a,f,a,h,c,f
a,e,a,b,c,f,b,a,j,g
f,e,a,d,g,a,c,c,h,f
h,i,a,h,j,d,a,h,d,f
a,f,a,f,h,j,a,g,h,j
h,j,e,e,a,j,e,h,f,c
g,g,d,h,j,a,f,f,e,a
a,a,i,e,j,b,g,i,d,b
b,c,a,d,f,c,h,b,g,i
i,e,b,b,b,g,a,f,g,b
c,d,e,i,g,j,h,e,e,b
f,a,d,h,b,j,b,f,h,j
h,j,h,a,a,h,b,g,g,i
c,e,i,f,h,c,g,j,i,j
h,h,e,i,c,e,e,j,h,j
f,h,h,g,a,j,b,e,h,a
c,f,h,i,d,a,f,e,j,h
g,i,c,c,g,e,g,h,e,d
h,f,f,f,a,b,h,e,f,d
d,h,g,e,e,a,i,d,f,d
d,f,f,i,b,f,g,a,e,i
j,a,j,h,d,h,b,a,i,e
h,h,i,g,h,d,e,j,c,a
a,d,h,i,c,a,b,c,c,i
g,e,d,b,j,c,b,c,g,j
a,g,c,j,f,i,j,h,c,f
h,h,j,i,f,j,h,a,b,e
g,a,c,f,j,d,d,i,g,c
e,a,b,g,d,b,h,h,i,f
h,h,h,d,i,b,e,e,g,h
h,f,a,j,e,g,d,d,c,c
i,c,i,i,j,b,e,a,b,c
g,h,c,j,e,b,d,d,d,i
a,j,i,i,c,i,e,d,f,h
i,f,i,f,c,b,e,b,h,d
h,b,a,c,b,c,b,g,j,h
j,d,b,i,b,b,e,h,d,d
e,i,f,f,i,g,i,c,e,i
d,e,j,d,g,j,a,h,j,g
h,j,i,f,e,g,f,f,a,g
e,f,j,d,e,j,a,e,c,j
h,c,c,f,g,d,d,a,i,h
g,i,j,d,j,j,e,i,b,g
b,j,g,h,c,c,g,d,i,a
c,a,a,g,h,i,f,j,f,c
a,h,i,e,c,g,f,b,g,c
b,g,e,i,b,b,d,i,j,i
h,e,j,g,a,e,a,j,d,c
h,c,f,g,b,i,e,h,i,b
h,e,f,c,h,j,j,j,i,e
f,c,j,a,c,c,c,b,b,c
g,j,i,e,h,h,a,d,h,j
j,g,i,h,f,j,f,f,f,c
g,c,j,j,a,f,g,f,a,a
h,g,j,i,e,g,a,e,i,i
c,e,f,g,b,h,d,a,f,g
g,j,b,i,d,h,d,h,d,e
b,d,g,c,g,g,f,i,j,g
f,j,f,h,i,d,h,a,g,a
a,c,j,g,i,h,e,f,d,c
i,j,c,d,g,f,a,h,e,f
g,a,j,f,f,i,c,b,a,i
g,a,h,h,j,j,a,h,h,b
a,f,i,c,b,d,c,j,h,c
b,h,h,d,j,d,h,b,a,g
e,b,j,h,c,d,e,i,d,j
c,h,g,a,b,j,j,a,g,b
b,c,a,c,f,c,i,e,b,b
a,d,g,f,e,b,c,b,a,e
e,e,j,d,g,e,j,j,i,f
b,a,g,f,i,f,i,c,h,c
j,f,d,a,e,b,j,b,e,c
e,f,g,c,f,c,f,e,e,a
g,f,b,j,f,g,c,d,a,c
j,j,a,g,d,h,a,f,b,c
h,g,b,d,a,d,j,g,b,h
b,e,c,a,f,j,f,f,d,i
d,f,c,i,h,f,i,b,h,a
a,d,f,j,a,e,i,a,j,g
d,b,a,g,a,g,c,c,g,i
a,b,d,i,e,g,e,g,b,d
g,d,e,j,b,a,i,h,d,b
c,d,h,d,g,h,f,d,a,g
c,a,h,i,j,h,i,j,e,j
h,e,f,g,i,g,e,f,f,h
f,a,d,e,c,c,h,j,e,e
g,d,d,d,e,g,a,j,d,d
b,a,a,a,c,h,h,e,b,g
j,i,h,a,h,c,h,c,c,c
i,c,g,a,b,b,f,a,g,f
a,a,c,g,h,f,g,e,a,f
i,e,g,h,j,d,i,d,g,c
i,c,f,h,g,f,h,c,e,h
i,j,j,j,i,g,g,b,g,j
e,g,h,a,f,i,a,e,j,b
c,c,i,i,f,f,b,d,b,g
d,e,j,f,b,b,i,d,e,j
g,d,h,h,e,a,e,f,j,e
i,i,f,e,h,j,j,d,a,d
f,h,b,c,g,c,b,d,a,i
h,h,g,b,b,d,a,f,f,j
a,h,d,h,d,b,a,j,h,e
c,g,h,g,h,i,h,i,j,a
i,d,d,f,i,f,b,j,a,e
a,f,i,b,h,d,b,b,e,b
i,i,e,d,d,d,f,e,e,h
i,e,f,g,c,h,f,h,d,h
e,d,b,g,b,j,e,j,g,j
c,j,b,b,e,j,f,j,e,e
i,c,g,g,i,e,i,j,a,b
c,d,j,b,f,a,a,a,f,i
j,j,a,d,e,g,h,c,a,h
a,f,a,j,c,a,j,b,b,e
h,a,b,a,a,b,c,g,e,g
a,a,h,d,e,f,g,d,e,b
f,d,h,e,a,f,f,g,h,a
b,e,g,e,i,j,i,c,c,j
a,j,c,a,g,i,a,h,c,d
h,e,a,i,g,j,j,i,g,d
b,h,j,b,b,d,j,f,a,i
b,a,a,h,d,f,h,h,b,g
e,b,j,j,g,a,b,c,i,b
g,a,c,h,g,f,c,b,j,h
g,a,c,e,j,a,f,b,e,c
j,c,c,i,a,f,d,g,e,f
a,h,c,a,b,b,b,f,b,b
j,a,c,a,c,c,c,i,f,b
f,b,g,f,b,a,h,f,g,b
a,h,d,g,h,e,b,b,j,h
f,g,c,d,j,a,j,a,c,j
g,d,g,b,d,h,j,g,i,c
j,d,j,j,c,h,e,f,e,d
c,i,g,i,a,b,c,i,d,g
a,h,c,h,d,j,c,d,h,f
g,j,j,a,b,b,c,g,h,i
g,g,h,a,d,g,b,d,e,j
b,e,f,b,h,h,c,b,f,g
b,d,f,i,h,d,e,g,j,a
i,i,b,h,e,e,j,j,d,h
i,f,i,c,h,e,d,f,a,g
h,j,c,b,e,c,c,g,g,h
a,f,h,j,e,d,d,g,a,c
d,e,d,c,i,a,j,h,j,h
g,c,e,i,i,e,b,d,e,f
b,g,d,i,i,c,f,d,i,a
a,d,j,d,g,c,b,g,a,b
c,j,j,i,e,j,e,f,d,i
e,e,h,a,h,e,e,c,e,d
d,b,a,j,e,d,h,c,b,j
g,j,c,a,f,j,i,j,c,g
j,f,a,a,i,d,c,i,f,i
g,h,c,e,a,a,a,f,a,i
a,b,g,d,h,b,e,j,f,e
i,c,h,e,b,c,d,h,e,e
h,g,g,h,f,i,a,j,a,h
i,a,i,a,b,c,f,f,h,c
b,d,h,h,i,h,b,a,a,d
h,i,h,e,e,j,f,a,a,f
f,d,d,b,i,g,g,f,a,h
a,e,h,j,j,g,a,g,d,e
a,e,g,e,a,h,f,j,e,f
i,f,i,a,g,e,b,i,a,c
a,a,j,h,h,g,a,c,d,e
h,f,e,a,f,e,f,b,f,e
i,f,g,c,j,c,j,c,h,g
c,e,d,g,b,f,i,b,e,g
b,g,e,h,a,i,g,g,i,c
f,i,a,h,i,f,d,g,g,a
d,c,a,h,g,j,e,g,d,f
d,g,f,a,h,g,c,d,c,g
f,a,c,a,b,f,i,d,d,a
g,i,g,c,e,j,e,e,a,e
e,g,f,i,g,e,i,g,e,j
i,j,e,h,b,g,i,d,a,e
h,i,a,h,j,i,d,g,h,e
g,g,c,a,j,g,f,e,h,g
d,j,e,a,j,j,c,i,e,e
d,c,d,d,i,i,f,g,c,e
g,h,j,c,b,a,h,j,h,d
c,h,a,j,a,a,e,i,c,d
j,c,c,g,d,b,i,b,i,d
h,a,f,i,h,f,c,g,g,d
a,b,j,d,d,i,h,h,g,h
g,d,f,g,j,b,h,d,b,d
h,g,h,i,c,e,e,g,i,d
d,c,b,e,h,f,j,h,j,e
b,a,d,f,j,a,b,h,a,i
i,c,c,g,a,a,g,c,g,g
a,h,f,e,i,d,g,a,f,a
j,c,i,a,b,a,j,g,h,j
c,c,h,j,j,g,a,i,i,j
j,j,a,c,i,c,g,e,b,d
a,e,h,j,b,h,d,b,d,f
g,j,d,c,d,a,j,g,g,c
g,d,g,g,b,g,i,f,a,h
c,f,c,c,d,h,j,a,h,i
f,h,a,f,f,h,c,i,b,g
a,h,g,j,h,a,e,g,e,i
h,i,i,a,b,g,c,f,a,d
j,h,g,c,a,f,h,b,j,i
b,b,e,a,h,c,e,a,g,j
g,a,f,c,j,c,h,g,d,e
i,d,f,i,j,g,d,a,j,e
j,j,e,g,f,d,i,f,c,e
f,a,j,d,c,j,b,g,j,f
c,a,h,j,g,h,b,f,g,i
f,h,c,e,i,d,i,b,e,f
d,c,h,d,e,h,e,h,h,d
j,f,a,e,d,j,e,e,b,i
j,e,d,i,g,h,d,g,g,i
e,h,i,j,e,f,i,b,f,i
e,j,f,i,g,j,f,g,j,h
a,d,j,i,c,d,e,d,h,h
j,g,h,j,a,a,h,i,h,f
a,i,i,a,h,a,a,d,c,f
e,d,h,c,c,d,h,f,h,c
j,g,c,e,b,j,c,f,j,e
b,g,c,j,e,j,a,g,h,d
d,a,e,g,f,e,e,i,g,e
d,c,i,e,h,a,g,b,c,c
f,e,h,j,b,f,j,g,j,j
j,h,h,f,g,d,h,i,d,d
f,d,i,c,e,a,d,c,h,b
i,f,a,i,f,a,g,f,b,f
h,i,h,d,j,i,f,h,i,g
c,e,j,h,j,b,h,c,d,j
h,j,c,g,e,e,j,g,e,e
