var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15
h,h,a,d,f,b,f,h,j,d,i,j,b,f,h
b,j,d,c,d,c,g,i,g,i,e,i,e,f,a
j,c,g,a,d,i,j,f,h,a,i,b,i,d,b
e,a,a,f,d,j,i,c,e,b,f,f,c,a,a
d,f,a,a,b,j,d,d,i,h,f,f,g,i,f
f,j,i,h,a,i,i,d,j,j,j,j,g,b,a
b,g,f,c,b,c,a,j,j,f,f,c,j,e,e
c,c,i,c,f,c,a,b,b,h,j,f,f,a,j
h,j,i,e,h,e,a,c,h,h,h,i,a,a,g
a,b,a,h,a,e,i,c,i,a,g,h,j,b,a
b,b,d,f,a,j,j,g,d,j,f,g,b,i,f
b,a,d,b,d,e,j,f,b,a,j,c,f,d,g
h,b,a,b,b,f,a,d,j,d,h,b,a,c,c
h,b,a,h,c,f,g,i,f,j,f,b,e,i,f
c,c,j,j,f,a,a,d,j,j,b,i,b,c,d
h,f,f,d,d,a,c,a,b,h,b,j,b,g,c
b,c,d,c,j,f,a,d,c,j,j,h,f,b,a
e,b,j,i,a,h,b,c,g,b,c,d,j,e,b
c,b,j,c,b,a,f,b,i,d,h,c,h,b,b
c,i,h,h,b,i,b,d,f,a,f,c,f,f,g
c,i,e,d,a,b,i,e,j,a,i,a,a,a,a
c,e,d,c,j,c,a,f,i,i,c,b,e,d,d
h,f,i,h,d,a,c,d,f,b,a,g,c,g,d
f,h,j,d,i,g,f,e,i,a,d,j,a,g,e
f,c,c,d,g,b,a,d,e,i,i,f,d,b,j
c,j,g,c,b,g,j,a,j,e,a,f,g,f,j
i,d,j,h,j,h,a,c,b,b,c,a,j,c,h
d,j,d,i,f,h,b,b,j,g,a,g,a,g,g
f,f,g,i,e,h,c,b,b,d,f,c,a,g,e
g,d,g,h,f,c,a,i,d,e,b,h,f,f,h
f,e,i,b,a,g,i,f,e,h,a,b,a,g,j
c,e,b,g,e,g,c,d,j,h,a,b,i,h,b
i,b,c,d,h,e,a,h,a,h,a,g,a,h,j
g,j,a,h,a,e,a,d,d,e,i,h,a,h,b
c,f,i,b,d,c,h,b,g,c,a,j,f,b,f
c,i,h,j,g,f,a,j,f,b,b,j,e,a,d
i,j,i,h,f,a,h,c,i,d,h,h,h,i,a
b,b,d,h,h,b,e,e,d,j,c,f,b,d,a
b,b,c,j,a,j,a,c,a,h,j,f,d,c,b
e,e,a,i,c,a,b,d,c,b,b,j,h,h,j
d,j,d,d,b,c,a,c,i,f,f,e,i,d,h
b,c,e,j,b,d,h,c,c,f,h,a,i,d,a
i,e,i,j,e,j,d,j,a,a,a,a,a,g,d
i,a,b,g,b,c,a,b,h,j,j,g,d,g,a
d,c,i,g,d,j,g,h,a,j,g,f,e,g,h
h,a,a,i,g,b,b,h,g,b,f,f,a,g,b
d,e,i,e,e,e,g,d,i,h,j,j,b,b,d
b,f,j,d,b,b,d,c,b,j,b,h,b,i,f
d,h,c,j,a,f,d,j,g,j,i,f,h,i,b
i,j,b,a,b,d,a,f,a,d,i,h,j,i,b
d,b,g,h,c,c,b,a,a,d,a,h,j,i,j
d,a,a,g,f,g,e,d,g,j,j,f,a,i,f
e,f,c,h,f,c,g,j,g,h,f,g,b,e,e
j,f,e,b,j,i,a,e,j,f,d,f,d,i,h
b,j,d,j,f,c,f,c,h,e,h,c,b,c,a
d,g,d,g,c,b,g,b,j,j,d,b,a,g,h
b,f,d,h,a,e,c,h,j,j,d,i,b,d,h
e,e,j,g,f,h,c,d,i,h,i,h,i,c,e
a,d,i,j,a,c,h,d,i,d,c,g,i,c,a
h,c,e,f,a,c,a,c,e,d,d,d,j,d,a
h,b,f,d,j,e,d,i,i,h,b,e,h,j,f
b,e,c,f,a,f,d,c,e,g,i,h,d,c,d
d,c,b,c,a,b,b,d,a,g,a,g,e,h,a
c,e,g,b,j,g,a,c,e,b,f,f,h,f,f
g,b,a,f,j,a,g,d,g,j,b,e,a,b,a
c,c,a,b,e,c,c,b,d,d,a,g,b,g,b
b,g,a,i,i,c,i,a,j,h,f,f,j,e,b
d,c,e,j,b,e,a,f,h,h,g,g,j,c,d
a,h,d,g,h,d,j,c,i,d,f,b,a,e,a
d,j,a,b,f,b,a,h,i,g,f,j,g,a,e
b,e,j,c,d,h,h,c,e,f,a,f,d,c,e
b,e,f,h,i,c,a,j,j,h,g,e,c,f,b
a,a,c,h,f,j,g,f,i,h,g,f,j,i,b
d,j,f,h,d,j,i,d,f,c,i,f,c,h,c
d,b,d,b,f,c,e,c,i,h,i,a,b,b,g
d,a,c,c,b,d,a,a,i,d,b,e,j,c,a
d,e,d,g,h,d,g,d,h,g,g,a,e,h,c
a,b,a,d,a,d,d,b,j,i,j,f,j,f,h
c,f,g,g,b,j,b,a,g,f,d,h,f,b,i
g,b,h,b,a,e,b,d,i,i,c,a,c,i,e
e,b,d,i,g,c,a,f,e,j,f,f,a,c,f
j,e,e,d,f,h,a,g,i,b,j,g,b,b,a
d,j,c,h,b,b,b,b,j,b,i,d,c,i,g
a,e,d,h,e,f,b,c,a,d,a,a,j,b,j
a,d,a,a,e,f,g,j,j,a,c,c,a,f,c
c,e,j,j,d,d,e,e,i,f,f,j,c,a,d
e,f,f,g,b,i,a,c,g,b,f,f,e,f,a
g,e,g,g,h,i,a,h,i,h,f,g,g,b,f
i,f,f,f,b,c,f,f,b,h,b,g,j,i,a
i,a,c,b,d,e,a,c,i,j,a,f,d,c,g
c,c,d,d,d,c,a,e,j,d,c,g,a,g,c
c,b,j,c,j,g,i,c,h,c,j,h,j,b,j
d,c,e,g,e,b,f,g,i,h,h,h,b,i,j
d,c,d,d,c,j,a,g,f,d,j,g,e,c,f
h,g,d,c,f,j,c,i,g,b,j,d,i,b,d
c,f,h,b,b,d,a,c,h,d,g,h,f,f,a
h,c,j,i,b,g,c,e,j,d,c,d,g,e,f
d,f,d,h,b,g,d,f,a,h,j,i,i,c,c
c,b,c,a,b,g,g,b,j,b,h,d,i,h,a
b,f,h,d,a,f,e,d,j,h,b,j,j,e,b
j,f,j,j,h,d,a,d,i,h,g,b,e,c,c
i,a,c,i,g,c,e,e,b,a,a,g,j,i,b
d,a,g,i,e,j,j,e,i,d,i,g,a,a,c
d,j,d,h,f,c,b,c,a,h,a,a,f,i,b
e,j,a,a,g,f,j,b,h,g,g,i,j,b,c
d,i,j,g,a,b,j,a,i,j,g,h,a,g,j
a,j,j,i,b,i,e,c,j,j,a,f,f,f,a
