var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15
k,i,l,l,m,e,j,l,i,n,i,m,i,m,m
a,b,m,c,o,h,k,d,d,f,k,d,j,k,g
h,c,a,e,l,o,m,a,g,m,i,d,c,a,k
j,b,e,f,d,l,m,i,l,e,i,k,f,j,m
j,l,b,j,b,d,h,o,g,j,g,o,i,d,l
g,m,g,o,b,j,e,j,g,j,j,h,d,o,a
g,e,b,n,d,k,c,e,b,n,g,n,o,b,h
f,d,o,m,k,d,a,l,b,k,n,j,i,n,l
n,n,e,e,m,o,c,k,o,c,o,n,k,c,c
g,l,j,l,b,d,n,b,c,m,f,f,i,a,b
f,m,f,l,h,c,d,h,c,b,l,a,l,f,c
d,a,f,c,o,h,j,b,d,l,h,m,a,a,a
h,i,m,f,k,k,g,f,c,d,i,h,b,l,a
d,j,i,h,e,m,d,l,h,j,o,c,i,f,f
n,j,m,h,n,l,o,i,a,a,b,h,e,c,h
d,o,m,i,c,a,f,f,m,o,b,g,k,i,e
b,m,j,k,j,c,j,c,h,o,a,b,o,a,d
m,c,n,l,l,i,k,m,n,c,m,m,g,j,l
m,j,j,f,h,o,b,m,g,d,l,l,m,d,e
m,e,c,h,l,d,k,k,h,l,n,a,n,l,g
j,e,j,a,k,m,l,k,g,e,o,o,k,i,c
c,b,l,m,a,l,o,n,e,g,m,g,c,d,h
l,c,d,o,j,i,b,i,n,m,g,f,h,i,d
m,e,h,d,e,m,k,g,g,h,l,c,h,e,n
e,d,e,l,m,j,h,i,d,k,c,j,g,f,l
k,l,j,l,l,m,h,m,l,k,j,g,n,n,g
j,f,b,m,i,b,i,n,l,d,c,j,e,e,n
m,j,d,m,h,m,d,e,e,d,o,g,c,h,e
f,e,j,o,l,l,c,a,m,c,h,a,b,f,i
k,h,d,i,b,l,b,l,c,j,g,a,o,e,j
o,m,d,a,b,m,f,j,o,c,d,g,k,g,b
h,a,k,e,m,c,l,b,a,e,l,i,n,a,c
i,e,c,e,o,j,d,o,n,g,g,c,h,j,l
h,e,o,f,k,k,h,i,b,d,i,k,f,a,m
c,m,a,g,g,m,c,l,g,e,a,d,m,j,c
k,e,n,k,g,b,l,f,h,b,j,c,o,h,f
l,l,o,h,b,i,b,l,k,n,j,f,d,n,i
n,h,a,a,d,o,c,c,l,e,j,b,i,k,l
o,g,b,l,a,b,e,c,k,f,o,l,c,b,d
e,c,k,b,f,k,h,k,a,j,k,h,h,n,a
c,e,k,k,j,j,e,g,o,d,f,f,f,o,l
f,b,l,l,b,m,l,d,i,d,g,g,e,m,n
a,e,e,e,o,l,j,h,f,j,k,c,a,i,e
g,c,h,c,a,e,b,o,k,f,a,j,l,i,h
a,i,c,a,e,l,m,e,i,g,j,c,i,e,f
m,c,b,m,h,n,b,b,c,j,j,c,e,o,c
f,l,f,c,o,e,o,d,o,j,d,m,a,j,i
c,k,g,f,h,h,d,l,f,d,c,n,l,l,c
