var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20
a,g,a,n,a,m,a,d,i,i,c,a,e,f,b,e,g,e,f,f
e,b,i,l,g,m,n,m,k,m,b,o,e,k,g,a,j,b,b,a
g,a,a,l,m,d,a,f,j,a,j,n,c,c,i,h,h,e,e,m
m,n,f,k,b,m,j,c,i,f,i,g,o,c,m,k,i,n,e,m
m,l,e,g,o,b,f,g,g,c,e,j,i,o,c,i,h,f,k,f
e,b,j,e,m,h,j,m,j,g,i,f,o,f,b,a,a,a,l,k
o,g,j,i,l,l,i,m,g,h,i,a,n,k,e,o,o,j,j,c
m,n,k,j,n,m,j,c,n,a,l,i,b,l,i,d,n,e,o,g
a,e,l,c,c,e,h,a,o,h,i,c,n,l,c,g,c,j,a,a
j,d,b,i,k,d,a,n,f,f,i,m,m,m,g,a,l,c,i,j
b,d,k,b,l,h,o,l,l,d,i,i,b,o,b,j,k,m,k,e
o,d,l,c,o,n,h,b,i,e,j,j,f,a,c,i,k,e,d,m
i,c,c,o,c,h,f,a,i,i,h,d,g,e,o,d,j,h,n,o
o,h,i,l,g,a,j,o,n,f,l,j,d,a,b,c,h,j,o,k
h,j,f,e,j,i,e,j,b,f,m,g,o,j,o,o,i,j,o,n
h,a,g,h,e,a,i,g,b,b,n,h,l,l,m,k,k,l,n,d
i,o,j,h,l,k,f,k,a,k,e,a,g,f,j,g,a,k,i,i
k,b,h,c,b,a,f,h,m,i,a,m,j,f,l,e,j,a,a,j
l,i,o,n,e,n,m,c,l,e,a,h,i,n,l,h,k,c,a,n
n,g,b,n,o,d,h,g,n,c,l,g,f,b,l,j,a,j,n,o
i,k,d,i,n,b,m,l,o,m,b,h,o,b,e,o,k,g,d,n
b,o,h,l,g,a,e,d,l,f,c,f,i,i,b,o,k,n,l,o
c,n,g,h,g,f,j,i,h,i,i,g,e,o,a,f,d,g,c,e
c,c,n,c,f,e,d,h,l,c,c,j,g,i,n,o,k,b,h,c
j,o,e,a,f,k,e,l,b,f,d,e,a,b,n,d,o,g,b,c
f,d,l,a,j,d,l,k,j,a,k,b,c,h,d,i,i,h,n,h
j,i,o,b,d,o,j,g,b,f,d,f,d,e,f,a,h,l,j,j
c,e,o,j,j,c,m,f,o,a,a,a,d,h,b,b,k,a,f,i
g,d,g,g,f,o,c,l,h,l,m,o,h,n,j,j,n,d,e,a
l,j,k,j,k,k,j,h,g,n,m,g,m,n,d,a,e,d,h,h
i,c,o,b,f,e,f,a,e,l,l,a,m,b,m,i,l,h,n,o
l,d,a,b,i,k,k,b,l,n,g,k,j,j,i,d,f,b,g,m
k,l,a,b,e,m,d,o,g,m,b,a,f,k,l,o,e,j,f,o
f,c,l,e,o,o,m,a,i,l,g,n,f,i,o,i,o,c,i,m
l,d,m,g,h,g,m,l,a,g,o,e,i,j,f,b,n,j,e,a
m,n,d,h,n,e,m,a,j,k,m,o,c,d,k,h,b,h,j,g
e,j,m,j,l,e,c,l,j,l,k,j,d,l,k,b,g,a,k,g
o,n,h,l,b,e,k,a,j,a,i,f,e,c,c,b,n,j,m,j
k,f,o,o,h,d,i,k,o,b,a,g,h,j,b,m,n,b,e,c
o,o,b,f,i,h,h,g,k,k,a,k,e,i,g,n,j,m,e,g
e,n,e,a,k,b,n,k,f,h,i,n,i,d,d,n,h,i,e,o
d,e,l,g,d,f,n,a,g,n,d,i,b,k,h,o,i,l,i,n
f,m,c,k,j,n,j,m,k,b,i,n,o,e,c,j,a,h,h,i
m,j,i,a,d,c,d,b,a,e,i,d,m,m,l,j,l,d,n,g
c,i,j,n,m,m,m,n,j,h,a,b,a,n,h,a,i,d,k,n
o,o,d,m,i,j,d,g,j,l,m,m,m,f,b,m,n,i,c,n
n,a,i,c,k,b,c,g,d,l,k,o,g,i,b,b,g,h,l,o
o,g,n,b,a,l,k,d,b,a,c,e,f,m,h,m,m,n,e,b
l,m,k,a,a,a,g,n,e,b,o,o,h,l,f,o,a,g,c,o
m,g,g,m,e,c,o,g,f,a,k,a,g,j,j,d,d,i,f,f
