var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10
l,h,d,t,p,o,f,d,k,c
t,q,j,q,k,m,a,k,o,a
a,h,a,e,c,a,c,q,m,g
p,i,r,o,l,o,t,h,k,g
h,j,r,c,m,f,n,n,i,i
t,b,f,r,e,j,a,o,m,h
c,g,i,j,i,t,b,n,i,t
r,m,f,g,h,h,i,d,r,k
j,c,n,j,p,c,s,n,t,h
j,e,c,t,d,t,t,k,h,q
l,c,b,h,j,i,f,q,p,b
p,q,l,c,r,b,i,b,k,a
i,k,i,a,d,q,i,r,l,c
c,b,i,d,b,l,e,i,s,t
o,r,d,q,s,s,g,h,b,t
n,k,i,i,g,q,n,j,b,e
f,l,g,a,b,l,p,i,a,a
t,c,q,i,g,f,t,b,q,q
m,g,d,m,b,e,l,h,p,p
m,q,h,i,r,f,t,b,r,p
q,t,p,f,i,i,q,r,t,c
c,k,h,i,b,g,c,k,p,n
m,s,r,h,h,h,i,d,j,o
g,b,l,o,p,p,o,j,p,a
c,s,o,b,j,q,o,q,c,b
k,e,s,k,d,r,a,r,m,s
f,l,l,l,a,p,g,h,c,n
j,t,l,g,p,f,i,o,s,i
c,q,p,l,o,d,q,l,k,l
d,c,i,q,f,d,p,d,i,j
c,f,d,e,o,r,d,n,f,i
d,h,d,n,p,g,n,c,p,g
r,p,i,q,r,m,t,s,j,m
l,q,a,s,d,e,n,i,l,a
a,t,f,r,h,a,l,n,a,k
l,j,b,q,n,j,k,f,m,g
r,q,f,f,l,h,h,o,m,s
e,b,j,g,c,g,t,j,m,i
s,l,b,s,a,e,c,i,s,k
k,o,h,n,l,h,f,c,n,c
r,r,h,i,q,n,e,b,h,i
k,g,m,d,e,q,b,m,i,j
g,p,b,o,k,n,h,m,n,i
s,j,h,i,k,n,l,h,b,e
t,e,p,r,h,l,d,n,n,d
d,e,m,k,b,k,s,d,n,k
q,o,q,b,r,a,a,m,e,n
s,a,n,m,e,g,g,h,c,k
c,s,f,i,g,p,e,f,g,n
p,l,l,s,r,l,d,a,h,b
j,h,t,d,p,p,o,a,l,i
t,m,j,f,q,j,o,c,i,r
f,o,a,l,l,f,l,r,t,h
i,c,a,o,j,f,r,j,c,c
m,o,i,a,a,t,l,p,e,t
k,b,d,a,e,p,f,k,d,o
a,i,o,f,o,p,d,d,m,s
f,i,s,d,k,a,j,r,e,t
g,t,j,q,e,k,e,t,j,b
o,p,q,b,o,r,e,d,e,e
a,k,i,d,l,a,o,c,d,o
n,h,c,i,o,c,q,f,c,e
f,s,j,d,c,f,f,e,n,g
k,r,n,c,h,g,o,f,c,m
r,a,o,l,n,j,n,l,d,q
s,k,k,o,k,d,n,c,h,f
d,t,q,f,j,k,r,b,q,d
r,s,p,j,l,o,n,p,b,o
j,k,l,q,s,h,t,b,q,h
j,f,r,m,n,q,g,p,b,g
j,h,l,d,s,m,c,j,t,m
f,b,b,m,d,i,q,o,j,a
p,r,k,k,n,m,o,d,t,r
d,l,e,j,q,n,h,b,m,n
n,h,c,c,e,r,q,f,o,g
k,m,b,i,r,e,o,m,a,i
j,o,f,f,p,p,c,l,f,c
k,s,o,c,d,i,g,a,c,o
e,m,a,r,o,f,c,o,g,o
j,q,r,t,k,s,r,a,c,a
r,f,m,s,l,i,t,h,g,l
d,o,q,g,b,l,h,n,i,i
a,d,a,r,f,g,t,h,b,d
p,a,i,t,m,h,a,j,n,r
o,p,j,j,e,r,j,d,l,k
a,o,m,f,p,c,n,j,f,d
g,s,e,o,k,q,l,m,k,a
g,j,j,c,d,p,j,j,b,a
h,g,i,i,d,o,k,k,l,m
r,h,n,h,j,r,l,e,s,b
s,j,g,i,e,o,c,c,g,e
s,b,n,g,m,b,r,a,n,e
m,g,k,b,n,f,s,r,c,p
n,f,r,i,q,f,h,o,o,h
b,o,h,a,b,e,c,h,f,e
r,k,m,t,n,b,g,t,d,d
h,e,g,d,t,e,t,c,l,g
m,l,g,l,c,n,j,e,a,t
h,m,q,g,o,c,j,l,q,p
m,h,e,p,b,p,r,e,a,k
j,l,s,t,c,f,d,p,n,d
j,r,g,r,h,h,k,c,f,i
f,e,f,p,j,c,p,c,o,k
b,p,h,h,e,l,p,l,t,s
n,q,q,o,k,h,r,r,e,r
q,r,l,g,t,c,s,p,l,m
h,f,g,h,t,m,n,r,l,t
s,d,o,k,f,k,g,k,l,t
h,k,h,p,g,c,i,l,e,e
n,f,p,n,i,k,e,s,t,b
i,b,q,i,d,f,b,j,j,c
d,n,l,m,k,q,l,g,q,q
q,m,i,b,b,f,c,b,n,j
i,m,t,s,t,k,d,j,g,l
e,b,l,b,s,n,i,l,q,j
k,n,d,q,k,s,o,q,i,g
r,l,f,l,t,c,l,i,r,s
e,a,r,i,i,t,o,e,l,d
a,p,l,t,m,a,c,k,r,g
q,h,h,l,a,a,k,c,n,h
s,k,i,f,t,s,p,o,o,t
q,p,j,o,p,q,f,g,k,t
o,d,h,i,r,o,n,d,t,e
a,h,f,d,m,c,a,p,m,c
b,r,c,l,b,j,o,i,i,j
a,o,d,f,a,f,r,l,m,t
t,n,p,i,s,h,b,d,a,s
k,o,b,i,e,a,f,o,g,f
k,s,h,g,h,h,p,e,n,r
b,k,f,b,r,n,h,t,f,t
f,m,i,i,c,q,m,e,m,r
a,h,e,a,i,q,p,q,i,i
a,q,k,f,c,n,h,s,c,h
h,h,r,n,j,f,k,t,g,g
g,t,j,q,d,o,s,r,l,b
r,p,m,s,b,i,l,l,l,t
j,o,f,a,n,c,s,b,l,b
a,o,j,f,h,n,r,o,m,k
i,b,r,l,f,q,b,a,m,e
r,a,t,d,i,o,k,s,i,h
q,j,s,m,g,j,n,j,r,s
r,a,r,r,l,t,n,b,h,h
f,i,b,d,k,t,q,h,i,g
l,n,k,p,q,f,n,h,r,s
i,o,b,i,g,r,b,o,p,g
h,l,a,e,f,e,h,s,o,k
e,r,h,c,s,a,g,s,c,k
b,j,f,b,l,b,a,j,s,r
c,q,c,o,r,k,m,k,o,h
d,j,l,c,e,c,t,d,t,s
n,o,q,a,a,r,h,g,c,o
g,d,o,f,b,h,k,b,r,c
r,a,r,g,a,a,b,m,d,t
g,q,p,a,n,s,o,t,m,r
q,p,r,d,s,j,q,a,c,h
k,s,c,b,a,m,d,o,q,o
g,r,r,h,b,e,o,h,p,r
r,e,k,b,k,i,m,l,l,i
a,j,j,m,s,s,m,d,i,e
b,s,f,p,i,s,f,r,b,c
s,q,e,e,p,g,k,n,n,c
k,d,p,c,q,l,r,h,j,o
a,s,a,e,o,e,o,o,o,b
n,q,h,o,a,t,o,t,r,e
t,c,i,g,n,c,e,f,t,t
t,l,g,n,n,e,c,k,r,a
b,o,c,p,a,t,k,j,a,o
r,e,l,k,t,d,e,f,h,h
h,t,h,f,g,t,o,s,o,r
r,i,c,s,q,h,g,e,d,f
s,f,d,b,j,j,k,i,k,b
q,a,d,s,f,p,h,k,b,d
t,i,s,p,e,s,e,j,e,o
f,n,c,d,b,c,q,i,a,k
b,r,b,n,b,t,q,k,p,j
n,t,o,t,q,r,b,g,e,m
k,j,e,h,s,j,j,i,h,c
b,q,s,i,p,b,o,j,s,t
e,c,q,d,e,t,o,e,o,j
r,c,f,j,m,k,j,q,a,o
p,l,l,q,t,q,n,o,d,a
g,h,o,f,h,q,f,f,m,d
b,t,l,c,p,c,b,o,l,d
g,p,g,h,o,e,j,h,e,r
e,f,g,g,c,h,l,a,s,r
e,r,k,r,c,g,l,h,m,e
m,l,q,l,h,t,r,p,k,q
p,q,j,r,e,d,f,a,l,a
i,m,l,l,l,q,a,f,o,c
a,l,k,k,b,n,j,q,g,o
f,q,o,q,j,q,s,k,i,n
o,n,r,o,f,p,n,d,e,a
s,b,m,l,b,e,b,t,d,m
b,m,i,n,p,i,g,e,s,f
m,q,q,j,e,t,g,f,o,q
e,a,h,n,h,b,a,j,j,h
t,a,a,t,r,j,c,a,e,k
e,t,j,h,e,l,a,e,f,r
q,d,n,l,k,e,g,b,b,h
i,l,q,m,o,h,g,i,i,h
g,h,c,f,b,t,k,n,g,e
r,m,q,p,s,i,l,m,n,h
t,j,s,g,c,g,r,g,h,p
a,r,q,n,r,p,p,g,d,j
n,h,f,i,l,q,p,b,a,n
m,c,r,m,c,m,m,l,b,a
e,n,e,n,b,k,g,l,n,s
b,a,i,o,r,r,k,o,j,a
f,h,d,c,j,d,c,i,k,g
b,p,c,d,n,c,h,a,r,j
a,q,j,r,e,d,a,t,t,b
k,o,l,n,m,p,q,i,e,k
e,t,l,l,n,g,n,s,n,m
l,g,p,p,k,p,a,j,f,i
t,a,q,f,a,a,o,t,a,b
p,k,k,o,b,d,d,a,p,g
o,n,q,m,p,n,n,a,g,d
a,g,c,c,i,m,s,j,h,r
b,d,c,b,o,i,p,l,l,i
o,a,s,s,t,e,j,a,q,c
g,b,f,b,k,f,f,a,m,i
p,f,t,q,s,p,t,f,r,i
l,s,p,t,r,h,r,a,f,n
a,t,p,i,f,p,p,g,p,q
c,r,q,p,l,n,p,f,d,g
i,d,j,i,g,e,n,i,t,a
n,b,q,o,a,h,e,l,n,c
n,i,k,d,s,o,a,o,e,q
h,k,f,e,o,d,p,g,s,s
i,a,d,c,t,n,j,l,o,s
m,s,p,m,o,d,p,a,f,a
r,a,b,t,e,h,t,s,e,t
f,t,k,t,o,l,p,g,k,o
r,n,p,d,p,q,r,e,a,d
q,m,q,r,i,q,g,p,e,g
p,g,t,n,t,k,b,n,i,f
e,g,i,b,m,c,k,b,h,g
a,t,m,g,o,h,p,p,j,q
m,g,r,b,q,b,g,g,f,n
g,c,n,m,p,o,a,b,l,k
m,g,h,f,f,s,g,f,r,k
s,i,i,d,h,b,s,q,c,i
n,h,h,f,i,c,g,n,k,s
j,m,h,n,q,b,m,j,c,o
f,f,n,q,m,t,q,h,o,l
q,a,t,n,s,s,i,g,i,l
p,j,f,j,e,j,g,g,l,e
a,s,j,q,p,o,i,t,d,p
t,b,a,c,b,h,a,t,c,r
j,f,i,c,k,i,o,c,j,j
p,q,r,r,g,p,h,t,h,s
m,p,m,b,m,a,c,n,s,e
g,q,d,q,a,f,g,f,p,o
a,i,o,r,i,d,q,h,o,k
c,d,i,s,i,h,t,b,s,p
b,m,l,m,f,i,f,k,b,n
p,m,g,n,g,s,d,t,l,m
i,p,q,s,f,c,a,h,l,c
g,e,d,p,g,b,c,o,t,t
e,q,a,e,m,e,o,t,f,p
g,b,f,b,r,b,n,o,e,c
t,q,p,g,s,m,j,t,c,s
r,b,l,m,k,i,m,m,a,c
h,j,f,c,r,m,a,d,s,a
