"var_1","var_2","var_3","var_4","var_5","var_6","var_7","var_8","var_9","var_10"
"f","b","f","f","i","g","f","e","h","c"
"j","e","a","f","g","e","g","b","e","h"
"e","d","i","i","d","i","j","g","e","f"
"d","j","b","e","f","i","e","d","a","g"
"a","g","i","e","f","j","a","g","d","g"
"g","g","i","h","h","e","a","g","i","c"
"b","i","e","d","d","b","i","d","f","f"
"f","j","j","i","b","i","b","d","f","h"
"e","h","h","d","b","j","f","j","e","b"
"c","e","d","c","j","h","d","c","c","j"
"c","e","g","d","c","g","f","g","i","g"
"e","e","g","e","c","j","j","d","g","b"
"b","j","b","c","b","g","i","d","h","j"
"j","h","j","g","e","b","f","c","a","h"
"h","b","c","c","d","a","f","c","e","g"
"j","c","g","d","b","f","i","a","h","h"
"g","f","i","c","a","c","g","h","i","b"
"d","f","b","d","j","f","a","h","f","b"
"b","j","i","a","i","a","j","h","d","h"
"b","d","d","e","i","b","a","e","f","h"
"d","e","h","a","d","e","j","h","d","b"
"f","d","b","c","b","e","f","d","f","i"
"f","a","c","j","c","i","g","a","g","c"
"h","e","g","f","d","i","a","b","b","h"
"c","a","a","a","e","b","a","j","e","f"
"c","e","h","j","e","g","h","d","e","c"
"j","e","d","e","e","h","f","d","f","i"
"c","c","b","b","i","c","i","e","a","b"
"f","i","a","d","d","g","f","a","f","h"
"b","j","e","b","i","c","f","c","h","c"
"c","j","a","f","d","j","c","f","d","b"
"j","e","h","j","j","e","g","b","d","b"
"i","d","a","f","d","f","b","b","a","h"
"g","a","d","a","f","g","g","f","j","c"
"f","d","d","g","j","a","h","j","g","e"
"e","c","i","i","i","f","f","f","f","f"
"g","h","a","a","b","j","i","d","i","b"
"e","c","g","a","b","b","i","j","c","d"
"b","g","d","j","i","b","a","a","f","g"
"c","f","a","d","e","j","b","j","a","f"
"c","f","d","d","d","i","d","c","j","c"
"d","a","e","g","f","c","e","i","f","b"
"c","f","f","b","a","b","g","d","b","d"
"h","e","h","j","d","h","g","d","c","f"
"i","g","c","i","a","d","g","a","f","j"
"i","d","j","h","i","j","c","c","a","e"
"f","b","a","j","h","b","a","b","b","g"
"a","b","i","e","f","i","a","b","b","a"
"h","g","h","a","d","j","a","b","j","f"
"i","f","b","e","h","b","c","g","a","j"
"f","e","i","c","c","g","h","g","d","h"
"i","c","f","i","h","b","i","b","i","g"
"d","d","e","d","c","j","i","e","c","d"
"g","a","d","f","f","g","a","i","g","a"
"d","b","f","b","g","b","g","e","f","a"
"a","d","d","i","h","i","d","c","a","d"
"c","g","i","c","e","f","b","g","d","h"
"f","i","b","g","i","c","j","a","c","g"
"e","f","g","h","j","a","f","g","d","g"
"g","j","f","d","b","b","d","c","a","b"
"h","e","h","a","b","h","e","d","a","g"
"c","a","f","h","c","g","h","c","j","b"
"e","b","i","c","g","b","e","d","h","c"
"a","a","j","h","c","j","g","j","i","e"
"c","b","i","a","f","c","c","e","d","c"
"f","f","a","h","b","e","e","c","i","b"
"e","h","c","b","f","h","h","f","f","f"
"g","d","a","a","g","f","h","j","c","e"
"h","j","j","e","g","h","i","h","b","g"
"b","f","c","g","j","d","i","d","a","g"
"c","c","g","d","g","i","d","g","d","i"
"f","i","f","a","d","f","d","g","f","b"
"b","a","c","b","d","e","f","d","b","g"
"j","a","i","b","g","d","b","e","f","j"
"f","d","f","i","g","d","j","b","d","f"
"e","a","g","d","j","a","d","j","f","g"
"f","c","a","d","i","g","g","j","b","i"
"f","a","j","a","b","e","j","b","c","d"
"e","f","f","d","f","i","f","b","d","b"
"f","i","j","i","b","c","i","j","c","h"
"d","a","d","f","f","g","e","i","g","g"
