type,rows,cols,vals,n,duration
ctgan,1000,10,5,1,16.194189071655273
ctgan,1000,10,10,1,16.618128061294556
ctgan,1000,10,20,1,23.673105001449585
ctgan,1000,15,5,1,17.61638307571411
ctgan,1000,15,10,1,22.260089635849
ctgan,1000,15,20,1,32.11247110366821
ctgan,1000,20,5,1,22.080196142196655
ctgan,1000,20,10,1,29.454257249832153
ctgan,1000,20,20,1,43.76741099357605
ctgan,5000,10,5,1,80.38607692718506
ctgan,5000,10,10,1,100.02642893791199
ctgan,5000,10,20,1,132.23325777053833
ctgan,5000,15,5,1,99.07402396202087
ctgan,5000,15,10,1,126.78984498977661
ctgan,5000,15,20,1,189.23889899253845
ctgan,5000,20,5,1,122.55226016044617
ctgan,5000,20,10,1,164.32904696464539
ctgan,5000,20,20,1,265.98451018333435
ctgan,1000,10,15,1,21.693636178970337
ctgan,1000,15,15,1,26.60940170288086
ctgan,1000,20,15,1,33.461028814315796
ctgan,5000,10,15,1,95.39885425567627
ctgan,5000,15,15,1,130.47060084342957
ctgan,5000,20,15,1,178.65450596809387
