type,rows,cols,vals,n,duration,epochs
ctgan,1000,10,5,1,2.3457579612731934,10.0
ctgan,1000,10,5,1,0.8948140144348145,20.0
ctgan,1000,10,5,1,1.3257241249084473,30.0
ctgan,1000,10,5,1,1.715057134628296,40.0
ctgan,1000,10,5,1,2.088750123977661,50.0
ctgan,1000,10,5,1,3.109541893005371,75.0
ctgan,1000,10,5,1,4.117488145828247,100.0
ctgan,1000,10,5,1,12.344729900360107,300.0
ctgan,1000,10,10,1,0.5858330726623535,10.0
ctgan,1000,10,10,1,1.0751831531524658,20.0
ctgan,1000,10,10,1,1.5767810344696045,30.0
ctgan,1000,10,10,1,2.0723092555999756,40.0
ctgan,1000,10,10,1,2.592888832092285,50.0
ctgan,1000,10,10,1,3.8275089263916016,75.0
ctgan,1000,10,10,1,5.052534103393555,100.0
ctgan,1000,10,10,1,15.247865915298462,300.0
ctgan,1000,10,15,1,0.686265230178833,10.0
ctgan,1000,10,15,1,1.2754580974578857,20.0
ctgan,1000,10,15,1,1.8732759952545166,30.0
ctgan,1000,10,15,1,2.5019850730895996,40.0
ctgan,1000,10,15,1,3.0638983249664307,50.0
ctgan,1000,10,15,1,4.529240131378174,75.0
ctgan,1000,10,15,1,6.019721031188965,100.0
ctgan,1000,10,15,1,18.077051877975464,300.0
ctgan,1000,10,20,1,0.7661550045013428,10.0
ctgan,1000,10,20,1,1.4475548267364502,20.0
ctgan,1000,10,20,1,2.1482250690460205,30.0
ctgan,1000,10,20,1,2.857290029525757,40.0
ctgan,1000,10,20,1,3.4908390045166016,50.0
ctgan,1000,10,20,1,5.196965932846069,75.0
ctgan,1000,10,20,1,6.913952112197876,100.0
ctgan,1000,10,20,1,20.732779026031494,300.0
ctgan,1000,15,5,1,0.6555888652801514,10.0
ctgan,1000,15,5,1,1.1894898414611816,20.0
ctgan,1000,15,5,1,1.707441806793213,30.0
ctgan,1000,15,5,1,2.2769157886505127,40.0
ctgan,1000,15,5,1,2.7578539848327637,50.0
ctgan,1000,15,5,1,4.049383878707886,75.0
ctgan,1000,15,5,1,5.537827014923096,100.0
ctgan,1000,15,5,1,16.227419137954712,300.0
ctgan,1000,15,10,1,0.8018739223480225,10.0
ctgan,1000,15,10,1,1.4876317977905273,20.0
ctgan,1000,15,10,1,2.1224870681762695,30.0
ctgan,1000,15,10,1,2.8105690479278564,40.0
ctgan,1000,15,10,1,3.475200891494751,50.0
ctgan,1000,15,10,1,5.096497058868408,75.0
ctgan,1000,15,10,1,6.745416879653931,100.0
ctgan,1000,15,10,1,20.30728316307068,300.0
ctgan,1000,15,15,1,0.9403078556060791,10.0
ctgan,1000,15,15,1,1.7844979763031006,20.0
ctgan,1000,15,15,1,2.5749471187591553,30.0
ctgan,1000,15,15,1,3.4525368213653564,40.0
ctgan,1000,15,15,1,4.992774963378906,50.0
ctgan,1000,15,15,1,6.963485240936279,75.0
ctgan,1000,15,15,1,8.322645902633667,100.0
ctgan,1000,15,15,1,25.72290301322937,300.0
ctgan,1000,15,20,1,2.0816121101379395,10.0
ctgan,1000,15,20,1,2.525023937225342,20.0
ctgan,1000,15,20,1,3.299666166305542,30.0
ctgan,1000,15,20,1,4.084590196609497,40.0
ctgan,1000,15,20,1,5.008213996887207,50.0
ctgan,1000,15,20,1,7.408128023147583,75.0
ctgan,1000,15,20,1,10.054272890090942,100.0
ctgan,1000,15,20,1,32.408082008361816,300.0
ctgan,1000,20,5,1,0.841102123260498,10.0
ctgan,1000,20,5,1,1.4689958095550537,20.0
ctgan,1000,20,5,1,2.1353919506073,30.0
ctgan,1000,20,5,1,2.7618701457977295,40.0
ctgan,1000,20,5,1,3.504089117050171,50.0
ctgan,1000,20,5,1,5.0953710079193115,75.0
ctgan,1000,20,5,1,6.6787309646606445,100.0
ctgan,1000,20,5,1,21.668975114822388,300.0
ctgan,1000,20,10,1,1.0296950340270996,10.0
ctgan,1000,20,10,1,1.9234840869903564,20.0
ctgan,1000,20,10,1,2.688883066177368,30.0
ctgan,1000,20,10,1,3.550226926803589,40.0
ctgan,1000,20,10,1,4.387318134307861,50.0
ctgan,1000,20,10,1,6.594924211502075,75.0
ctgan,1000,20,10,1,8.720193147659302,100.0
ctgan,1000,20,10,1,25.688351154327393,300.0
ctgan,1000,20,15,1,1.218134880065918,10.0
ctgan,1000,20,15,1,2.246086835861206,20.0
ctgan,1000,20,15,1,3.3844716548919678,30.0
