"data","rows","cols","vals","specks"
"ctgan",1000,10,5,0.583
"datasynthesizer",1000,10,5,0.548
"synthpop",1000,10,5,0.525
"ctgan",1000,10,10,0.719
"datasynthesizer",1000,10,10,0.682
"synthpop",1000,10,10,0.677
"ctgan",1000,10,15,0.784000000000001
"datasynthesizer",1000,10,15,0.756
"synthpop",1000,10,15,0.754
"ctgan",1000,10,20,0.819000000000001
"datasynthesizer",1000,10,20,0.813000000000001
"synthpop",1000,10,20,0.796000000000001
"ctgan",1000,15,5,0.64
"datasynthesizer",1000,15,5,0.596
"synthpop",1000,15,5,0.604
"ctgan",1000,15,10,0.749
"datasynthesizer",1000,15,10,0.751
"synthpop",1000,15,10,0.745
"ctgan",1000,15,15,0.834000000000001
"datasynthesizer",1000,15,15,0.800000000000001
"synthpop",1000,15,15,0.811000000000001
"ctgan",1000,15,20,0.852000000000001
"datasynthesizer",1000,15,20,0.817000000000001
"synthpop",1000,15,20,0.845000000000001
"ctgan",1000,20,5,0.682
"datasynthesizer",1000,20,5,0.637
"synthpop",1000,20,5,0.62
"ctgan",1000,20,10,0.782000000000001
"datasynthesizer",1000,20,10,0.745
"synthpop",1000,20,10,0.752
"ctgan",1000,20,15,0.837000000000001
"datasynthesizer",1000,20,15,0.812000000000001
"synthpop",1000,20,15,0.804000000000001
"ctgan",1000,20,20,0.853000000000001
"datasynthesizer",1000,20,20,0.856000000000001
"synthpop",1000,20,20,0.842000000000001
"ctgan",5000,10,5,0.430399999999985
"datasynthesizer",5000,10,5,0.216600000000004
"synthpop",5000,10,5,0.182200000000003
"ctgan",5000,10,10,0.532599999999974
"datasynthesizer",5000,10,10,0.344999999999995
"synthpop",5000,10,10,0.334199999999996
"ctgan",5000,10,15,0.636599999999963
"datasynthesizer",5000,10,15,0.466799999999981
"synthpop",5000,10,15,0.47579999999998
"ctgan",5000,10,20,0.665199999999959
"datasynthesizer",5000,10,20,0.558599999999971
"synthpop",5000,10,20,0.550199999999972
"ctgan",5000,15,5,0.550799999999972
"datasynthesizer",5000,15,5,0.264600000000003
"synthpop",5000,15,5,0.261000000000004
"ctgan",5000,15,10,0.622199999999964
"datasynthesizer",5000,15,10,0.413199999999987
"synthpop",5000,15,10,0.431999999999985
"ctgan",5000,15,15,0.667199999999959
"datasynthesizer",5000,15,15,0.548999999999972
"synthpop",5000,15,15,0.56559999999997
"ctgan",5000,15,20,0.756199999999949
"datasynthesizer",5000,15,20,0.66379999999996
"synthpop",5000,15,20,0.643799999999962
"ctgan",5000,20,5,0.539199999999973
"datasynthesizer",5000,20,5,0.287000000000001
"synthpop",5000,20,5,0.302999999999999
"ctgan",5000,20,10,0.665199999999959
"datasynthesizer",5000,20,10,0.482799999999979
"synthpop",5000,20,10,0.471999999999981
"ctgan",5000,20,15,0.707199999999955
"datasynthesizer",5000,20,15,0.608799999999966
"synthpop",5000,20,15,0.603799999999966
"ctgan",5000,20,20,0.767999999999948
"datasynthesizer",5000,20,20,0.672999999999959
"synthpop",5000,20,20,0.682799999999957
