age,income,wealth
56,12326.0,348791.0
81,12738.0,-19560.0
36,11468.0,-19560.0
64,23896.0,18062.0
52,27876.0,-12551.0
23,16562.0,4108870.0
34,624.0,-19560.0
16,69499.0,-19560.0
79,4467.0,4365491.0
27,156714.0,226530.0
16,51168.0,209346.0
47,22083.0,434376.0
56,8964.0,-19560.0
87,4405.0,1319940.0
74,32217.0,678252.0
81,624.0,-19560.0
86,83818.0,696767.0
83,2368.0,179168.0
29,30834.0,603819.0
22,987.0,66991.0
44,15392.0,91623.0
29,16235.0,1251777.0
93,26304.0,427755.0
47,15429.0,264646.0
65,20372.0,-8109.0
74,624.0,-19560.0
55,8006.0,-19560.0
74,28482.0,-19560.0
86,26112.0,454371.0
41,11507.0,-19560.0
50,16096.0,-19560.0
16,17912.0,-19560.0
20,4796.0,501142.0
31,3742.0,-19560.0
33,27980.0,-19560.0
50,624.0,87317.0
36,10473.0,3828913.0
61,1665.0,-19560.0
92,21633.0,-19560.0
72,15533.0,64447.0
37,22021.0,253144.0
31,76953.0,30299.0
94,11792.0,-19560.0
31,23373.0,-19560.0
92,76291.0,3335121.0
21,7863.0,1963482.0
80,16668.0,-19560.0
89,52886.0,2246513.0
74,24331.0,-19560.0
60,60027.0,-19560.0
92,23120.0,-19560.0
94,624.0,-19560.0
55,14064.0,212041.0
32,12596.0,411023.0
82,41533.0,352147.0
61,16439.0,-19560.0
25,21387.0,49815.0
42,28033.0,537324.0
73,6753.0,-19560.0
33,624.0,1523392.0
44,21253.0,11704126.0
77,50696.0,1677356.0
86,7956.0,-19560.0
61,26468.0,19872.0
16,6917.0,-19560.0
16,35845.0,-19560.0
31,10214.0,69011.0
37,70563.0,6900971.0
49,33759.0,91540.0
83,1738.0,430310.0
32,11144.0,-19560.0
38,219519.0,261418.0
27,1387.0,-19560.0
24,13666.0,896849.0
23,47672.0,29812.0
43,1644.0,-19560.0
35,15894.0,-19560.0
52,12505.0,113697.0
87,45689.0,-19560.0
43,78076.0,370163.0
32,11222.0,-19560.0
94,31945.0,-19560.0
46,16386.0,88087.0
43,6399.0,1072334.0
37,22663.0,-19560.0
25,4813.0,101201.0
45,21287.0,-19560.0
56,144203.0,318127.0
37,20241.0,644139.0
76,42974.0,173899.0
49,33912.0,10954.0
84,52211.0,391988.0
53,22536.0,2190235.0
74,15664.0,-19560.0
60,34461.0,4802056.0
75,3179.0,5154863.0
50,83200.0,-19560.0
87,80199.0,-19560.0
67,29982.0,439765.0
47,624.0,-13603.0
45,8236.0,-19560.0
94,35321.0,257380.0
80,29564.0,221578.0
41,21848.0,712441.0
39,20559.0,-19560.0
94,35891.0,399195.0
19,15225.0,6648502.0
16,855.0,-19560.0
93,17032.0,369766.0
83,20052.0,-19560.0
81,58375.0,671016.0
89,1597.0,37123.0
78,624.0,-19560.0
88,23870.0,195017.0
26,20133.0,457603.0
25,31182.0,235978.0
22,3525.0,3208589.0
78,18415.0,406382.0
17,9995.0,228273.0
31,24150.0,295799.0
29,18873.0,-19560.0
94,24429.0,-19560.0
55,624.0,660493.0
61,52031.0,1724645.0
48,69092.0,-19560.0
77,36075.0,113217.0
93,26722.0,99473.0
56,8893.0,2811601.0
78,2875.0,305376.0
62,14294.0,426473.0
40,624.0,4089.0
34,11409.0,-19560.0
90,11601.0,-19560.0
82,8246.0,-19560.0
94,14669.0,-19560.0
80,24857.0,80125.0
56,28333.0,423623.0
58,104577.0,-19560.0
16,12143.0,174226.0
94,30141.0,496234.0
68,8935.0,-19560.0
64,35225.0,259896.0
64,349355.0,390741.0
66,14822.0,-19560.0
88,39191.0,118048.0
49,32455.0,2679379.0
75,6019.0,-19560.0
74,30206.0,269554.0
34,49618.0,187882.0
90,16592.0,-19560.0
81,31326.0,-19560.0
90,35793.0,-19560.0
64,57180.0,-19560.0
77,61128.0,415679.0
60,39729.0,62444.0
34,624.0,-19560.0
43,7574.0,258171.0
25,65185.0,-19560.0
94,29998.0,685253.0
89,79504.0,114951.0
35,28074.0,130598.0
49,161211.0,2935773.0
32,11739.0,265540.0
84,12898.0,5722374.0
75,14219.0,176323.0
36,38045.0,615817.0
54,19715.0,-19560.0
83,49394.0,244166.0
88,5718.0,-19560.0
84,16402.0,2810629.0
94,8587.0,-19560.0
75,14980.0,59932.0
44,20954.0,875709.0
88,9079.0,509343.0
87,25034.0,-19560.0
71,3379.0,-19560.0
70,5339.0,-19560.0
94,51764.0,260810.0
79,18456.0,301807.0
76,624.0,44709.0
33,8152.0,269963.0
65,136566.0,2476656.0
75,624.0,861714.0
71,22719.0,-19560.0
40,12783.0,122986.0
94,80454.0,489015.0
85,13303.0,111310.0
70,28193.0,350656.0
26,8852.0,788321.0
21,18593.0,324272.0
38,40708.0,-19560.0
76,29903.0,-19560.0
94,28237.0,-19560.0
94,21102.0,112496.0
74,160886.0,185666.0
73,21854.0,206511.0
74,2149.0,-19560.0
80,52962.0,43326.0
23,20466.0,-19560.0
34,54105.0,-19560.0
33,22555.0,403583.0
78,54320.0,-19560.0
94,18743.0,-19560.0
60,624.0,-19560.0
37,19363.0,416070.0
37,32252.0,499554.0
94,35743.0,88453.0
19,15996.0,-19560.0
75,624.0,-19560.0
34,64990.0,-19560.0
16,52244.0,-19560.0
22,23064.0,1112.0
93,31434.0,-19560.0
94,17702.0,-17555.0
79,6231.0,14500.0
90,20253.0,1121530.0
35,31108.0,138488.0
26,27224.0,-9491.0
87,32506.0,33189.0
73,220530.0,213725.0
26,5034.0,2331765.0
42,55841.0,-16316.0
76,38854.0,87200.0
40,6987.0,146024.0
36,10279.0,-19560.0
74,140998.0,-15023.0
87,115322.0,197381.0
16,11788.0,5273828.0
90,624.0,234464.0
86,11615.0,528788.0
75,7325.0,377421.0
26,39852.0,633017.0
25,13863.0,180691.0
31,18618.0,593750.0
85,10842.0,-19560.0
43,17488.0,377532.0
34,72283.0,555927.0
81,28535.0,61286.0
32,15208.0,2795211.0
42,16403.0,100104.0
94,21425.0,159951.0
16,27882.0,370570.0
39,31895.0,45943.0
27,10140.0,-19560.0
46,109089.0,15487.0
48,6614.0,277078.0
88,18196.0,-19560.0
39,10628.0,-19560.0
71,4007.0,1475707.0
87,21239.0,170229.0
31,25958.0,123186.0
90,6536.0,725993.0
49,1225.0,-19560.0
94,14571.0,-19560.0
55,5543.0,-19560.0
23,18209.0,206274.0
84,36805.0,1483579.0
94,26162.0,75563.0
76,11101.0,258492.0
49,19444.0,-19560.0
72,44076.0,-19560.0
29,10036.0,292880.0
77,15343.0,-18587.0
90,19384.0,154265.0
77,2015.0,-7704.0
94,624.0,-19560.0
77,6082.0,-7392.0
50,30928.0,337906.0
59,59736.0,-19560.0
86,8849.0,260143.0
79,3545.0,264321.0
39,40743.0,-19560.0
94,2186.0,-19560.0
86,23833.0,-19560.0
45,114156.0,117877.0
46,9377.0,-19560.0
94,21033.0,-19560.0
44,24009.0,582759.0
63,14926.0,125933.0
77,4071.0,-19560.0
60,9562.0,445837.0
91,624.0,-19560.0
29,66498.0,-19560.0
87,4959.0,355550.0
83,18247.0,1102661.0
81,624.0,-19560.0
38,100159.0,-19560.0
72,7639.0,-11246.0
39,25117.0,486086.0
69,49677.0,-19560.0
94,13727.0,563969.0
55,18022.0,518427.0
32,11752.0,106421.0
94,624.0,116044.0
80,56774.0,127618.0
68,2055.0,296732.0
70,302252.0,385980.0
70,20267.0,1144379.0
79,22061.0,-19560.0
60,22268.0,-19560.0
18,22380.0,308323.0
62,19767.0,-19560.0
16,24967.0,6978000.0
82,44569.0,-19560.0
76,624.0,399025.0
76,26039.0,-19560.0
47,45696.0,293847.0
57,23469.0,377356.0
65,624.0,-19560.0
92,259443.0,128788.0
94,68849.0,-19560.0
50,26223.0,1436471.0
38,875.0,307474.0
61,19850.0,1328616.0
91,90618.0,147163.0
49,5191.0,458702.0
92,1083.0,-19560.0
23,37876.0,-19560.0
81,36533.0,109136.0
51,624.0,-19560.0
29,13784.0,-19560.0
94,624.0,-19560.0
21,5586.0,-19560.0
94,11248.0,-19560.0
80,16628.0,-19560.0
63,19948.0,-19560.0
90,12650.0,-19560.0
16,1868.0,56702.0
35,35495.0,110204.0
86,4825.0,256358.0
94,27471.0,-19560.0
93,37837.0,257907.0
93,17639.0,562920.0
35,15940.0,858865.0
41,11384.0,268396.0
78,30615.0,165058.0
91,60641.0,313977.0
60,349355.0,-19560.0
24,13233.0,531616.0
29,7118.0,123201.0
57,111117.0,-11632.0
56,32687.0,186996.0
36,45765.0,-19560.0
72,51363.0,366691.0
25,18940.0,176434.0
73,47092.0,65712.0
68,21926.0,-19560.0
16,13518.0,152354.0
94,26479.0,474251.0
89,38612.0,333658.0
33,29797.0,-19560.0
29,13313.0,493848.0
57,25597.0,389564.0
36,31805.0,533330.0
25,14002.0,658230.0
68,32416.0,-19560.0
86,624.0,-19560.0
19,16010.0,497139.0
82,45013.0,300506.0
51,9368.0,-19560.0
40,306042.0,34203.0
40,1782.0,-19560.0
50,42610.0,-19560.0
70,349355.0,346896.0
61,8036.0,736676.0
86,14202.0,183447.0
94,2899.0,353988.0
34,29451.0,-19560.0
80,16518.0,7960554.0
21,25050.0,-19560.0
78,11256.0,149821.0
94,14139.0,-19560.0
91,11228.0,123304.0
85,2531.0,1100689.0
88,27026.0,-19560.0
24,13586.0,-19560.0
40,26561.0,56185.0
28,11679.0,514135.0
68,77398.0,1037002.0
25,85810.0,389570.0
89,624.0,-19560.0
75,22453.0,90230.0
32,11818.0,395956.0
16,18042.0,603.0
81,13680.0,373173.0
94,57119.0,-3353.0
89,624.0,429164.0
89,25917.0,374372.0
61,12545.0,150317.0
83,16754.0,2299492.0
16,50322.0,357412.0
82,18154.0,500897.0
88,12325.0,-19560.0
31,55730.0,137052.0
31,26319.0,284289.0
48,24388.0,275826.0
27,26324.0,753713.0
84,10076.0,-19560.0
94,17086.0,50175.0
94,29998.0,-19560.0
94,31842.0,-19560.0
94,15688.0,-19560.0
36,6505.0,-19560.0
67,624.0,-19560.0
66,18326.0,-19560.0
88,148642.0,-19560.0
73,77068.0,543143.0
42,2702.0,113451.0
16,29555.0,2310898.0
40,17561.0,302478.0
71,62906.0,196995.0
43,10631.0,93171.0
78,41616.0,209506.0
79,30210.0,335263.0
58,20202.0,-19560.0
30,29757.0,63241.0
29,14222.0,-19560.0
26,34599.0,1385698.0
71,12408.0,-19560.0
91,10495.0,187345.0
38,6672.0,534915.0
74,19757.0,11865878.0
89,30194.0,-19560.0
36,5341.0,-19560.0
28,18429.0,65006.0
70,8330.0,192469.0
94,39699.0,675678.0
76,132916.0,621357.0
32,4710.0,490825.0
40,4576.0,-19560.0
74,41919.0,-19560.0
85,99754.0,284352.0
94,28811.0,-19560.0
59,5846.0,264732.0
46,30053.0,8156340.0
93,15710.0,7225532.0
92,8051.0,-19560.0
94,6701.0,234377.0
44,19136.0,9207136.0
42,15270.0,243751.0
17,58302.0,3075400.0
35,16566.0,-15324.0
60,20336.0,313924.0
18,285858.0,219002.0
36,15315.0,-19560.0
76,25454.0,285802.0
82,14616.0,337505.0
85,14318.0,-19560.0
94,9413.0,1556257.0
84,31013.0,552099.0
94,16278.0,422653.0
82,955.0,-19560.0
79,15521.0,268275.0
87,43197.0,4223408.0
78,41042.0,464528.0
23,17588.0,-19560.0
25,11075.0,-19560.0
63,23636.0,5137.0
77,28031.0,367961.0
92,4670.0,17526797.0
43,34494.0,-19560.0
31,32618.0,-19560.0
85,28715.0,-19560.0
84,41182.0,-19560.0
75,22563.0,-19560.0
17,16025.0,1040643.0
22,20728.0,-19560.0
48,4208.0,831070.0
46,624.0,-19560.0
44,5282.0,-19560.0
87,25659.0,75490.0
81,28377.0,331188.0
42,29088.0,546794.0
27,23141.0,-19560.0
83,64361.0,-19560.0
94,17711.0,-19560.0
59,63435.0,-19560.0
48,8483.0,-19560.0
37,6752.0,570685.0
68,53717.0,-19560.0
23,30271.0,69280.0
68,48811.0,-19560.0
74,32125.0,677929.0
72,64817.0,85777.0
64,1179.0,-19560.0
16,39211.0,89867.0
36,624.0,470066.0
52,16760.0,583633.0
72,31171.0,595012.0
59,11626.0,447770.0
30,105555.0,-19560.0
43,28611.0,407561.0
85,34703.0,5168673.0
22,53322.0,62019.0
91,624.0,-19560.0
45,43321.0,712556.0
38,25939.0,115069.0
30,26834.0,190625.0
21,15226.0,4448765.0
27,14916.0,602965.0
79,34264.0,209017.0
29,3344.0,-19560.0
39,180880.0,-19560.0
69,31466.0,713981.0
51,71150.0,2139075.0
48,69554.0,-19560.0
