age,income,wealth
39.0,156623.0,68415341.0
35.0,206696.0,4124039.0
53.0,171129.0,45863484.0
76.0,153146.0,54807480.0
73.0,91079.0,32283279.0
57.0,184560.0,74937633.0
23.0,95198.0,20732097.0
91.0,296170.0,24754391.0
88.0,334950.0,11620390.0
42.0,73332.0,53709998.0
47.0,256224.0,71351853.0
88.0,125424.0,76052848.0
87.0,142035.0,54221086.0
85.0,305832.0,76014502.0
69.0,14515.0,18120493.0
52.0,11174.0,2894669.0
55.0,13784.0,4168948.0
28.0,266806.0,33739618.0
27.0,232268.0,87362447.0
23.0,269647.0,86968369.0
33.0,349195.0,4102763.0
46.0,257254.0,8646812.0
74.0,121743.0,61263043.0
85.0,236678.0,21194172.0
65.0,27730.0,55503375.0
71.0,192253.0,36600158.0
37.0,21373.0,17884933.0
26.0,328128.0,83932297.0
66.0,136481.0,5714860.0
43.0,102536.0,35875288.0
37.0,48575.0,79216329.0
35.0,230008.0,86963159.0
29.0,116771.0,85006795.0
39.0,156223.0,330972.0
34.0,10446.0,39596893.0
43.0,163847.0,14197742.0
31.0,174109.0,45462406.0
60.0,167345.0,46143080.0
50.0,321659.0,39194940.0
34.0,203134.0,56713272.0
71.0,84391.0,60372781.0
41.0,91788.0,81691532.0
78.0,192700.0,58134038.0
56.0,9850.0,3428528.0
33.0,208840.0,12067957.0
93.0,204287.0,21637307.0
28.0,46498.0,79960025.0
38.0,29007.0,4986070.0
91.0,61599.0,25959066.0
74.0,83115.0,75750424.0
54.0,144461.0,57337601.0
53.0,120792.0,78646244.0
44.0,336704.0,3069271.0
17.0,34537.0,430449.0
45.0,51652.0,84415224.0
35.0,19419.0,41658110.0
20.0,182804.0,80008988.0
49.0,48471.0,83834481.0
19.0,113084.0,60767859.0
92.0,44371.0,83387805.0
82.0,32129.0,54313659.0
30.0,30353.0,164470.0
67.0,191694.0,9046639.0
18.0,20929.0,43967896.0
46.0,51601.0,81599058.0
84.0,86551.0,59030004.0
18.0,255804.0,6212870.0
57.0,34458.0,4379855.0
57.0,266578.0,66963315.0
25.0,33436.0,82385585.0
87.0,345405.0,89164495.0
91.0,115874.0,76858947.0
73.0,333499.0,46741980.0
61.0,158078.0,16085956.0
61.0,210054.0,8918046.0
44.0,4993.0,45197067.0
93.0,48790.0,46833688.0
43.0,24802.0,40116420.0
74.0,66455.0,22603410.0
66.0,28970.0,25174887.0
35.0,59721.0,87272781.0
78.0,103153.0,60998201.0
57.0,1294.0,12144825.0
76.0,200540.0,87305636.0
77.0,154586.0,57991398.0
91.0,37708.0,58277862.0
89.0,135068.0,40410922.0
35.0,6345.0,226929.0
39.0,140540.0,57742909.0
61.0,305305.0,75928826.0
67.0,62030.0,72630660.0
77.0,193151.0,58213583.0
18.0,27928.0,552420.0
89.0,198484.0,45910759.0
82.0,53012.0,26778886.0
51.0,38824.0,57715703.0
27.0,159485.0,47572232.0
32.0,10051.0,1275504.0
26.0,262924.0,14616833.0
45.0,16807.0,51291665.0
26.0,207161.0,9020400.0
39.0,51980.0,79339573.0
60.0,215352.0,58709098.0
73.0,347703.0,3462578.0
32.0,52660.0,76791837.0
36.0,153451.0,26582.0
62.0,162349.0,14760562.0
76.0,151814.0,43955070.0
93.0,45883.0,48724553.0
51.0,321530.0,15762411.0
91.0,110581.0,80698218.0
27.0,263216.0,4995483.0
32.0,194612.0,1475343.0
73.0,55269.0,3311806.0
47.0,253121.0,5935043.0
22.0,98999.0,14133764.0
85.0,292932.0,65579358.0
36.0,140931.0,54258957.0
93.0,293972.0,1658921.0
38.0,193184.0,19121768.0
61.0,219539.0,5973257.0
88.0,135655.0,38161603.0
88.0,325488.0,33889185.0
35.0,191549.0,360027.0
40.0,93817.0,1400236.0
59.0,167769.0,15206215.0
