age,income,wealth
62.0,34568.0,919154.0
74.0,14894.0,4124039.0
64.0,14200.0,866026.0
60.0,188020.0,810530.0
53.0,178262.0,785058.0
68.0,27631.0,2941700.0
54.0,77761.0,2733114.0
83.0,17185.0,42753374.0
92.0,143147.0,2620899.0
49.0,160515.0,4212794.0
78.0,46985.0,3855666.0
61.0,3369.0,4056915.0
60.0,229218.0,224136.0
89.0,9411.0,22017553.0
22.0,31952.0,121510.0
21.0,11174.0,2894669.0
20.0,31221.0,4168948.0
82.0,109877.0,11240889.0
78.0,5593.0,1867276.0
86.0,42972.0,86968369.0
91.0,35338.0,17602001.0
77.0,239817.0,4147066.0
55.0,51997.0,2766347.0
77.0,62312.0,3195189.0
26.0,45167.0,1506425.0
63.0,17888.0,5101937.0
29.0,21373.0,4385696.0
89.0,49143.0,2936873.0
62.0,101608.0,1215114.0
51.0,67663.0,4377068.0
37.0,13702.0,2720650.0
78.0,90515.0,1467989.0
52.0,12152.0,4011371.0
62.0,16730.0,330972.0
18.0,10446.0,3598927.0
63.0,6918.0,698505.0
66.0,52053.0,464948.0
64.0,27853.0,1145622.0
89.0,94984.0,3196973.0
69.0,46205.0,88211493.0
43.0,32082.0,1876086.0
53.0,22041.0,696107.0
70.0,18334.0,4137089.0
21.0,9850.0,3428528.0
68.0,208840.0,3068465.0
70.0,12485.0,3638324.0
32.0,168554.0,3464347.0
26.0,168500.0,486324.0
40.0,9290.0,3460337.0
47.0,48242.0,57751441.0
62.0,22406.0,3340652.0
53.0,85919.0,29149040.0
90.0,40283.0,3069271.0
25.0,34537.0,430449.0
34.0,86525.0,3419800.0
31.0,1983.0,1160398.0
67.0,60748.0,48510767.0
38.0,13597.0,2839057.0
54.0,25901.0,2271164.0
38.0,26934.0,2392381.0
31.0,32129.0,316710.0
26.0,12917.0,164470.0
70.0,104511.0,47148.0
26.0,3492.0,3470184.0
34.0,69037.0,54600583.0
45.0,34241.0,533308.0
81.0,11692.0,1713125.0
25.0,51894.0,4379855.0
81.0,22467.0,3966874.0
25.0,120619.0,32888382.0
91.0,31547.0,3669325.0
56.0,46128.0,363268.0
92.0,19641.0,1744522.0
65.0,36023.0,2586719.0
72.0,815.0,67414742.0
16.0,22429.0,199609.0
42.0,31353.0,1836230.0
27.0,7365.0,4118453.0
43.0,345440.0,104681.0
27.0,46406.0,2676158.0
43.0,7411.0,1777610.0
51.0,15971.0,33999726.0
22.0,18730.0,3145334.0
68.0,26174.0,1810466.0
62.0,49967.0,89489619.0
37.0,2835.0,4280912.0
62.0,47886.0,4412956.0
27.0,6345.0,226929.0
62.0,140540.0,3745960.0
89.0,61194.0,3932893.0
43.0,27157.0,23133456.0
69.0,18786.0,4216633.0
26.0,254603.0,552420.0
73.0,6682.0,913301.0
43.0,702.0,4280157.0
31.0,3950.0,8218499.0
66.0,176922.0,2574774.0
16.0,44924.0,1275504.0
81.0,1376.0,1117595.0
18.0,16807.0,1794461.0
69.0,50232.0,20908.0
39.0,17107.0,2843895.0
72.0,110732.0,212402.0
93.0,16409.0,3462578.0
36.0,17787.0,296159.0
60.0,83704.0,26582.0
66.0,5420.0,1261324.0
60.0,12322.0,3457358.0
35.0,150503.0,3727095.0
87.0,25108.0,2263173.0
52.0,5961.0,4202539.0
81.0,263216.0,495738.0
67.0,20247.0,1475343.0
42.0,20396.0,25810535.0
82.0,9009.0,1435297.0
49.0,29253.0,14133764.0
85.0,31383.0,2582916.0
63.0,193241.0,262007.0
85.0,154480.0,1658921.0
69.0,18819.0,1122785.0
73.0,10300.0,1473511.0
57.0,13599.0,6663382.0
92.0,116250.0,2390965.0
67.0,34620.0,360027.0
