"age","income","wealth"
61,58854,727715
32,3947,69439
70,12581,520558
72,4559,62902
47,4509,228018
72,1642,54713
88,228113,-14256
91,9828,291923
91,35443,-3843
59,15674,337565
55,10715,1046253
65,65595,241827
46,47082,19813
42,41226,585818
56,46349,47001
38,14945,5649421
85,78118,4698693
33,17963,60394
22,88609,39221
34,4842,73023
78,30548,47560
37,27023,153581
78,7662,2153476
26,42514,76900
80,6192,6173751
84,33039,271894
81,26727,56096
54,32837,-7069
18,624,-10831
21,19392,-9833
26,16006,173833
77,22478,3181895
24,32577,107030
66,30108,271486
89,30969,-9135
25,3585,60666
31,31370,34442
75,13000,2104585
64,12629,39658
45,9781,-1979
46,152082,15289
90,11743,1479339
19,25716,191849
26,46592,46835
56,38783,58676
32,34861,1850940
72,1642,274181
85,38822,408667
53,38274,305799
18,13766,142237
56,12169,68446
26,26159,588849
31,3574,301111
21,5224,1863336
30,132235,113737
70,23770,298945
53,6968,41461
46,8082,-3517
84,24632,673091
73,6089,6088891
42,37311,179116
72,9263,-632
19,154988,14523
62,176283,109030
60,20189,-310
73,2003,366906
81,36333,6714
84,21556,24404
42,86119,-8318
56,12169,1044458
71,15603,9878
67,17483,-6193
66,18071,867963
63,5051,146165
94,10080,-12399
92,281445,3386
93,37118,-13556
76,4480,16725
27,15628,411384
77,44544,-18171
50,10810,329942
61,43506,38404
55,10373,1228780
61,34160,475767
55,19836,68446
49,63393,1612360
78,61933,34824
69,25743,235109
53,4765,158166
88,42872,12645
46,4509,609661
47,23088,937631
21,167813,-8842
73,26150,336
65,25966,31300
56,63426,20862
61,43506,1564905
81,36333,126701
41,86119,93802
54,26116,531112
94,37382,-1483
56,46349,-16089
33,21714,819
88,91833,643062
55,46896,1577576
81,15106,938375
76,44544,-12680
84,10771,392398
42,140935,441
38,13487,510778
85,34544,112579
24,105611,363570
62,18341,-14589
44,5587,42308
42,21537,585818
17,20293,3191796
74,7479,492771
92,18358,12172
73,2756,513091
74,22534,33417
20,39382,35774
50,9459,151121
67,6309,102339
36,22688,136923
53,104548,113737
73,102850,46761
78,4807,2135136
21,101661,39221
77,110612,36628
81,26727,9365
19,8119,968724
41,32457,-7069
88,36379,408667
90,11743,149611
60,15476,-5537
86,37357,6714
91,49929,224472
50,50087,295895
69,18818,1799450
19,23857,25782
17,53164,2259478
74,2262,222989
53,58895,241800
29,10778,4685766
23,45202,353138
17,53164,4445995
94,148860,102306
63,2319,102339
85,17181,4803
32,34861,35774
72,30685,5132
85,28267,178182
37,7883,46628
24,105611,2586358
45,11399,81946
19,183981,23364
72,23010,348455
64,9982,-11370
67,5625,13297
68,57095,187916
85,44840,39783
49,16190,1216426
61,8986,942247
73,102850,89975356
82,3858,324647
91,35895,-751
62,19508,72011
47,11038,-10425
49,84635,148643
16,33360,191849
42,3867,4056720
94,19340,788135
33,22022,702732
33,33303,702732
44,7563,18810
90,82550,271240
53,5888,839708
69,164694,-12690
59,60840,4451
32,53138,26626
17,59394,4445995
49,17680,288422
45,11399,587558
83,2634,572216
55,11654,678713
25,3585,1299139
70,13849,82793
59,43894,1564905
30,12640,322112
41,43069,28275
56,15423,-7069
89,10239,-14527
84,66460,71344
92,9255,84810
87,13039,91120
53,61866,1612360
16,10079,1228780
34,21680,7031
20,25716,331302
32,8926,31638
33,21714,7031
71,65363,23555
45,9849,151121
31,3074,104264
20,121957,-12628
36,28811,217039
71,17986,1799450
63,49634,9503
39,20838,1721677
76,59244,47560
60,92291,159859
51,58895,727715
23,24543,133279
84,15780,179606
72,63199,1605987
84,146339,9434
40,18031,211426
32,34861,1850940
33,37179,16610
73,33958,-14783
57,7294,74934
47,13551,230247
62,16366,211660
94,22109,-12399
81,43720,86477
60,17234,39658
74,33230,-14783
75,10504,448226
90,31345,25723
17,18578,60394
55,17946,-7069
57,7545,-16064
17,33360,27309
56,18236,1577576
56,69837,-11083
28,94838,-17690
19,23674,107030
46,38327,41903
90,28220,13478
47,23088,42587
28,94838,124174
64,12629,-5537
50,10810,170231
63,150924,63117
91,48854,1399624
20,10014,170231
93,34493,3718
90,48854,224472
47,4509,158166
75,5188,697157
66,8116,91355
87,117734,49130
19,12696,-11729
47,14061,230247
49,27573,43423
67,2571,12864
29,49818,163658
46,78621,1483660
17,27693,-3505
49,44566,144420
42,7082,130743
19,154988,14523
49,31673,1084526
22,15365,288209
67,55104,241800
47,78621,104392
21,29299,114167
87,32691,-3252
80,13612,212343
32,3074,102169
56,63426,20862
92,12321,-14527
78,307980,-14256
37,7883,237141
88,42872,-13556
87,32691,18261
94,10080,396154
64,17881,24974
32,2766,104264
52,73894,138034
35,87816,-17690
38,27050,211426
69,39610,208887
57,22914,82024
74,148565,1219419
90,48854,39783
55,24434,1762847
17,18578,12791
17,40807,1255933
87,7352,38593
92,53678,1824186
36,2998,-5477
91,82550,8594874
88,13499,149611
65,10604,569789
22,46337,97449
29,45142,943865
47,44852,17384
87,32691,112579
71,66633,810411
87,7352,16725
85,28267,18261
83,3603,-12827
57,9508,1669535
64,5237,13297
50,24722,230247
89,36176,47670
67,5623,9490340
75,16875,6088891
67,27225,500889
85,9714,84810
94,16210,23017
29,1599,-16248
63,150924,63117
20,21133,133279
35,14765,3434
93,15776,60485
79,40811,40075
16,10323,555650
79,10693,7367
33,57184,2220204
56,6581,26454
63,5169,83057
27,12788,70524
74,21385,513091
66,7030,146165
64,27157,184332
47,4509,609661
59,18748,624460
50,50087,51912
73,12902,161579
60,20985,75876
67,6309,83057
65,43280,371130
47,11038,12059
54,19221,3140053
73,28697,116613
49,23811,288422
18,22673,331302
84,8620,25398
20,18353,1063249
34,63307,1605987
26,7439,45924
30,45142,10521
71,50897,2786434
62,19508,211660
42,52313,212769
61,20430,51156
38,11209,569789
71,65363,5958241
84,10771,685066
83,11635,392398
55,17946,195674
48,50922,86651
86,34544,-3252
25,20042,-9833
78,14009,7723
89,44733,86477
38,14945,450909
92,66467,8594874
28,94838,40513
60,20189,22936
72,28802,235109
55,17946,678713
26,17279,12791
25,36318,1255933
42,43069,-10728
78,43285,1210162
41,43069,93918
47,38012,177359
40,22375,666734
32,6953,-5839
42,27421,8504202
88,21258,53086
43,52246,727715
35,20624,2559878
31,3947,698425
27,15628,317633
60,8315,-16064
63,27927,551100
19,16718,-7021
81,24813,783702
72,30685,208887
66,20510,77047
55,55913,423271
79,10679,-14922
47,38327,477311
78,4807,25640
55,19836,47001
72,8405,147432
94,11849,-1483
87,72770,126919
64,27157,75876
72,63199,110141
67,44095,100632
73,6089,403575
36,11601,1696916
65,30715,271486
25,7439,31638
24,164036,2586358
32,53138,49
39,50150,26059
21,16573,-16282
83,33305,49101
51,16360,1908021
94,17270,1214309
33,23468,273911
42,43069,179116
56,6326,-16064
79,21126,3181895
