"privacy","parents","copies","roc_bivar"
0,0,1,0.804709141274238
0,0,5,0.764551197737208
0,0,10,0.785807179881533
0,1,1,0.804709141274238
0,1,5,0.764551197737208
0,1,10,0.785807179881533
0,2,1,0.803785780240074
0,2,5,0.782031833970892
0,2,10,0.796117569490686
0.1,0,1,0.387809258688434
0.1,0,5,0.300238657871103
0.1,0,10,0.430893347138801
0.1,1,1,0.387809258688434
0.1,1,5,0.300238657871103
0.1,1,10,0.430893347138801
0.1,2,1,0.28074848522905
0.1,2,5,0.233935174868154
0.1,2,10,0.230032094558537
1,0,1,0.558633425669436
1,0,5,0.574325181076208
1,0,10,0.435155932245059
1,1,1,0.558633425669436
1,1,5,0.574325181076208
1,1,10,0.435155932245059
1,2,1,0.421024846591902
1,2,5,0.240814907175787
1,2,10,0.178698232158655
5,0,1,0.653374115112342
5,0,5,0.662511542012927
5,0,10,0.615091113410651
5,1,1,0.653374115112342
5,1,5,0.662511542012927
5,1,10,0.615091113410651
5,2,1,0.247865223519886
5,2,5,0.15979310971633
5,2,10,0.262351496258455
10,0,1,0.735457063711911
10,0,5,0.686672822406895
10,0,10,0.687741350072571
10,1,1,0.735457063711911
10,1,5,0.686672822406895
10,1,10,0.687741350072571
10,2,1,0.508460979137052
10,2,5,0.20251845355369
10,2,10,0.261828416496602
20,0,1,0.793628808864266
20,0,5,0.758850614429042
20,0,10,0.752274835327349
20,1,1,0.793628808864266
20,1,5,0.758850614429042
20,1,10,0.752274835327349
20,2,1,0.537520451582564
20,2,5,0.412983742492679
20,2,10,0.360555075188812
30,0,1,0.800554016620499
30,0,5,0.765439631455511
30,0,10,0.759763670495583
30,1,1,0.800554016620499
30,1,5,0.765439631455511
30,1,10,0.759763670495583
30,2,1,0.625418810183353
30,2,5,0.495955470334575
30,2,10,0.477906274714513
