"minbucket","cp","copies","std_diff","ci_overlap"
"5","0.00000001","5",0.145002683780785,0.945979190264843
"10","0.000001","10",0.153139426178413,0.952832487070849
"25","0.000001","10",0.159492654653063,0.94523378023529
"10","0.00000001","10",0.189274460356973,0.94690656647868
"5","0.000001","5",0.211689535805462,0.947884250552867
"10","0.0001","10",0.269194954972496,0.932655097503838
"5","0.0001","5",0.31154044840308,0.906235527803509
"5","0.00000001","10",0.355173659199314,0.913347781340013
"10","0.0001","5",0.365513034823966,0.912467567480394
"5","0.000001","10",0.372676887489189,0.909246601113854
"50","0.0001","10",0.384955175722285,0.904574848258306
"25","0.00000001","10",0.38762431941161,0.908208526759843
"25","0.0001","5",0.395686217834799,0.906699991942469
"10","0.00000001","1",0.402674887420806,0.891795373914866
"50","0.00000001","5",0.403032331786468,0.896801059600607
"10","0.000001","5",0.417682157000116,0.896899132703869
"5","0.0001","10",0.426834562910574,0.893165615227683
"5","0.00000001","1",0.429146822206895,0.891235644497397
"50","0.000001","10",0.450158760878072,0.880702069287478
"50","0.00000001","1",0.464650994619247,0.878466204777557
"25","0.00000001","5",0.476505265475633,0.883125359296106
"25","0.0001","10",0.539762817775293,0.86621347299312
"5","0.000001","1",0.581746287963718,0.851870226625432
"50","0.000001","5",0.588031698335384,0.859700377667186
"50","0.00000001","10",0.58899607334153,0.853755161972142
"50","0.0001","5",0.593131179274464,0.851171237474217
"25","0.000001","1",0.607379076837127,0.844966040960121
"25","0.000001","5",0.610931363095779,0.829910652416205
"5","0.0001","1",0.713002268918397,0.819028562215806
"10","0.01","1",0.781407246015717,0.794766438726416
"25","0.0001","1",0.829903098600056,0.788616294945043
"50","0.0001","1",0.91013051384331,0.76990437431623
"10","0.00000001","5",0.965035482106862,0.7621669770756
"25","0.01","1",0.973461699945182,0.752133773324211
"5","0.01","10",0.978183363804185,0.756949660870978
"50","0.000001","1",1.0291404369527,0.737550000469178
"10","0.0001","1",1.04777263217984,0.734387320192748
"25","0.01","10",1.05195901783577,0.738064211518165
"50","0.01","5",1.05512169988173,0.731500008503962
"10","0.01","10",1.09045513241012,0.723345298168615
"25","0.01","5",1.11606416729394,0.722673420108067
"25","0.00000001","1",1.14922924495676,0.70717668552776
"50","0.01","1",1.1860049493875,0.698464117393725
"5","0.01","5",1.19725017364928,0.712449496309252
"10","0.000001","1",1.39621265617168,0.643907546383506
"10","0.01","5",1.45128142070922,0.666062699621734
"5","0.01","1",1.56044597745409,0.601993335083742
"50","0.01","10",1.6453409787306,0.589159992432535
