"cp","minbucket","copies","roc_bivar"
0.00000001,5,1,0.766009733764235
0.00000001,5,5,0.780114227961907
0.00000001,5,10,0.768525884091011
0.00000001,10,1,0.859200471850654
0.00000001,10,5,0.76350912798499
0.00000001,10,10,0.740481582976966
0.00000001,25,1,0.743457121421976
0.00000001,25,5,0.764969442309476
0.00000001,25,10,0.731895878924202
0.00000001,50,1,0.895557291225548
0.00000001,50,5,0.760416395580965
0.00000001,50,10,0.683734412575334
0.000001,5,1,0.830649689856182
0.000001,5,5,0.760545324349306
0.000001,5,10,0.775003960001701
0.000001,10,1,0.856468772054686
0.000001,10,5,0.751606263279655
0.000001,10,10,0.753678451291061
0.000001,25,1,0.831475353756773
0.000001,25,5,0.771855279988277
0.000001,25,10,0.749235421202961
0.000001,50,1,0.788019390581718
0.000001,50,5,0.763081260976853
0.000001,50,10,0.745562081163905
0.0001,5,1,0.918855020709165
0.0001,5,5,0.750784196962719
0.0001,5,10,0.75919212392075
0.0001,10,1,0.759733764235149
0.0001,10,5,0.776087170352727
0.0001,10,10,0.776384303190653
0.0001,25,1,0.752087180670976
0.0001,25,5,0.775057006494479
0.0001,25,10,0.720215265231444
0.0001,50,1,0.755958564173592
0.0001,50,5,0.757150491814962
0.0001,50,10,0.737026209484397
0.01,5,1,0.814110618246144
0.01,5,5,0.71627405366061
0.01,5,10,0.674910308375363
0.01,10,1,0.732398430286242
0.01,10,5,0.743513132164075
0.01,10,10,0.706901698350919
0.01,25,1,0.792978376591335
0.01,25,5,0.65721190897323
0.01,25,10,0.675690398514705
0.01,50,1,0.788704236295706
0.01,50,5,0.745106484044546
0.01,50,10,0.634664485258567
