type,rows,cols,n,duration,batch_size
ctgan,50000,10,1,43.349764823913574,500.0
ctgan,50000,10,1,38.46769905090332,1000.0
ctgan,50000,10,1,36.93735098838806,5000.0
ctgan,50000,10,1,45.46466517448425,10000.0
ctgan,50000,10,1,82.05878806114197,500.0
ctgan,50000,10,1,65.69781231880188,1000.0
ctgan,50000,10,1,61.475319147109985,5000.0
ctgan,50000,10,1,98.64871406555176,10000.0
ctgan,50000,10,1,480.3680429458618,500.0
ctgan,50000,10,1,328.6450397968292,1000.0
ctgan,50000,10,1,375.708327293396,5000.0
ctgan,50000,10,1,319.6935498714447,10000.0
ctgan,50000,10,1,277.2352159023285,500.0
ctgan,50000,10,1,433.4414441585541,1000.0
ctgan,50000,10,1,133.47037267684937,5000.0
ctgan,50000,10,1,127.29839015007019,10000.0
ctgan,50000,10,1,194.02541589736938,500.0
ctgan,50000,10,1,176.54568815231323,1000.0
ctgan,50000,10,1,150.3735899925232,5000.0
ctgan,50000,10,1,157.03099274635315,10000.0
ctgan,50000,10,1,311.2305099964142,500.0
ctgan,50000,10,1,514.3678021430969,1000.0
ctgan,50000,10,1,1195.2873380184174,5000.0
ctgan,50000,10,1,510.65600991249084,10000.0
ctgan,50000,10,1,1484.3748180866241,500.0
ctgan,50000,10,1,1520.1578660011292,1000.0
ctgan,50000,10,1,1807.374370098114,5000.0
ctgan,50000,10,1,1075.6406219005585,10000.0
ctgan,50000,15,1,876.4242358207703,500.0
ctgan,50000,15,1,445.75491404533386,1000.0
ctgan,50000,15,1,933.4493250846863,5000.0
ctgan,50000,15,1,615.0005598068237,10000.0
ctgan,50000,15,1,645.3244202136993,500.0
ctgan,50000,15,1,658.0998990535736,1000.0
ctgan,50000,15,1,578.7056419849396,5000.0
ctgan,50000,15,1,244.32984495162964,10000.0
ctgan,50000,15,1,793.6528980731964,500.0
ctgan,50000,15,1,861.2363338470459,1000.0
ctgan,50000,15,1,679.6920461654663,5000.0
ctgan,50000,15,1,267.11041283607483,10000.0
ctgan,50000,15,1,692.151976108551,500.0
ctgan,50000,15,1,759.4754602909088,1000.0
ctgan,50000,15,1,201.39052891731262,5000.0
ctgan,50000,15,1,308.6630539894104,10000.0
ctgan,50000,15,1,887.1523537635803,500.0
ctgan,50000,15,1,267.3402729034424,1000.0
ctgan,50000,15,1,331.17231822013855,5000.0
ctgan,50000,15,1,157.82983922958374,10000.0
ctgan,50000,15,1,389.9398000240326,500.0
ctgan,50000,15,1,342.3111310005188,1000.0
ctgan,50000,15,1,207.55210995674133,5000.0
ctgan,50000,15,1,231.4588658809662,10000.0
ctgan,50000,15,1,550.5266568660736,500.0
