epochs;rows;cols;batch;specks
10;50000;10;500;0.532380000000251
10;50000;10;1000;0.435500000000154
10;50000;10;5000;0.386480000000105
10;50000;10;10000;0.499520000000218
20;50000;10;500;0.40188000000012
20;50000;10;1000;0.446220000000165
20;50000;10;5000;0.347200000000066
20;50000;10;10000;0.372580000000091
30;50000;10;500;0.380740000000099
30;50000;10;1000;0.35162000000007
30;50000;10;5000;0.410580000000129
30;50000;10;10000;0.382500000000101
40;50000;10;500;0.330500000000049
40;50000;10;1000;0.382240000000101
40;50000;10;5000;0.342380000000061
40;50000;10;10000;0.465400000000184
50;50000;10;500;0.346920000000065
50;50000;10;1000;0.27197999999999
50;50000;10;5000;0.367500000000086
50;50000;10;10000;0.425260000000144
75;50000;10;500;0.438760000000157
75;50000;10;1000;0.358160000000077
75;50000;10;5000;0.466060000000185
75;50000;10;10000;0.394740000000113
100;50000;10;500;0.537140000000256
100;50000;10;1000;0.353260000000072
100;50000;10;5000;0.345800000000064
100;50000;10;10000;0.424380000000143
10;50000;15;500;0.533340000000252
10;50000;15;1000;0.508940000000227
10;50000;15;5000;0.477220000000196
10;50000;15;10000;0.42188000000014
20;50000;15;500;0.512560000000231
20;50000;15;1000;0.505540000000224
20;50000;15;5000;0.4815800000002
20;50000;15;10000;0.522680000000241
30;50000;15;500;0.408960000000127
30;50000;15;1000;0.427640000000146
30;50000;15;5000;0.453520000000172
30;50000;15;10000;0.497860000000216
40;50000;15;500;0.409600000000128
40;50000;15;1000;0.45128000000017
40;50000;15;5000;0.56100000000028
40;50000;15;10000;0.43128000000015
50;50000;15;500;0.46192000000018
50;50000;15;1000;0.379140000000098
50;50000;15;5000;0.437480000000156
50;50000;15;10000;0.357180000000076
75;50000;15;500;0.51212000000023
75;50000;15;1000;0.42152000000014
75;50000;15;5000;0.41142000000013
75;50000;15;10000;0.364380000000083
100;50000;15;500;0.43130000000015
100;50000;15;1000;0.434680000000153
100;50000;15;5000;0.393520000000112
100;50000;15;10000;0.394740000000113
10;50000;20;500;0.462940000000181
10;50000;20;1000;0.54182000000026
10;50000;20;5000;0.50208000000022
10;50000;20;10000;0.510320000000229
20;50000;20;500;0.502400000000221
20;50000;20;1000;0.473800000000192
20;50000;20;5000;0.413000000000131
20;50000;20;10000;0.533560000000252
30;50000;20;500;0.464400000000183
30;50000;20;1000;0.486800000000205
30;50000;20;5000;0.493120000000212
30;50000;20;10000;0.518480000000237
40;50000;20;500;0.430640000000149
40;50000;20;1000;0.576640000000295
40;50000;20;5000;0.489680000000208
40;50000;20;10000;0.413960000000132
50;50000;20;500;0.445260000000164
50;50000;20;1000;0.418740000000137
50;50000;20;5000;0.443500000000162
50;50000;20;10000;0.448340000000167
75;50000;20;500;0.477780000000196
75;50000;20;1000;0.352420000000071
75;50000;20;5000;0.505720000000224
75;50000;20;10000;0.460660000000179
100;50000;20;500;0.504060000000223
100;50000;20;1000;0.399900000000118
100;50000;20;5000;0.418600000000137
100;50000;20;10000;0.486180000000205
10;100000;10;500;0.287690000000147
10;100000;10;1000;0.422040000000281
10;100000;10;5000;0.427790000000287
10;100000;10;10000;0.442920000000302
20;100000;10;500;0.40079000000026
20;100000;10;1000;0.362690000000222
20;100000;10;5000;0.373190000000232
20;100000;10;10000;0.447710000000307
30;100000;10;500;0.40082000000026
30;100000;10;1000;0.369910000000229
30;100000;10;5000;0.384730000000244
30;100000;10;10000;0.287130000000146
40;100000;10;500;0.472520000000332
40;100000;10;1000;0.358680000000218
40;100000;10;5000;0.32125000000018
40;100000;10;10000;0.35092000000021
50;100000;10;500;0.524660000000247
50;100000;10;1000;0.366110000000225
50;100000;10;5000;0.346660000000206
50;100000;10;10000;0.339130000000198
75;100000;10;500;0.315840000000175
75;100000;10;1000;0.41107000000027
75;100000;10;5000;0.322960000000182
75;100000;10;10000;0.366290000000225
100;100000;10;500;0.435450000000295
100;100000;10;1000;0.387230000000246
100;100000;10;5000;0.332850000000192
100;100000;10;10000;0.283530000000143
10;100000;15;500;0.454390000000314
10;100000;15;1000;0.476020000000335
10;100000;15;5000;0.3406100000002
10;100000;15;10000;0.487310000000347
20;100000;15;500;0.470110000000329
20;100000;15;1000;0.489110000000348
20;100000;15;5000;0.402350000000262
20;100000;15;10000;0.368620000000228
30;100000;15;500;0.478810000000338
30;100000;15;1000;0.357420000000217
30;100000;15;5000;0.314100000000173
30;100000;15;10000;0.517790000000278
40;100000;15;500;0.471790000000331
40;100000;15;1000;0.348780000000208
40;100000;15;5000;0.389370000000249
40;100000;15;10000;0.41112000000027
50;100000;15;500;0.428900000000288
50;100000;15;1000;0.368920000000228
50;100000;15;5000;0.500150000000358
50;100000;15;10000;0.389060000000248
75;100000;15;500;0.493820000000353
75;100000;15;1000;0.305050000000164
75;100000;15;5000;0.37100000000023
75;100000;15;10000;0.375820000000235
100;100000;15;500;0.484430000000344
100;100000;15;1000;0.373890000000233
100;100000;15;5000;0.373340000000233
100;100000;15;10000;0.388100000000247
10;100000;20;500;0.427060000000286
10;100000;20;1000;0.52838000000023
10;100000;20;5000;0.386540000000246
10;100000;20;10000;0.529360000000226
20;100000;20;500;0.469470000000329
20;100000;20;1000;0.477240000000336
20;100000;20;5000;0.540910000000173
20;100000;20;10000;0.353330000000213
30;100000;20;500;0.501390000000353
30;100000;20;1000;0.456970000000316
30;100000;20;5000;0.428800000000288
30;100000;20;10000;0.499110000000358
40;100000;20;500;0.42028000000028
40;100000;20;1000;0.469510000000329
40;100000;20;5000;0.456600000000316
40;100000;20;10000;0.391660000000251
50;100000;20;500;0.433040000000292
50;100000;20;1000;0.365260000000224
50;100000;20;5000;0.468840000000328
50;100000;20;10000;0.463780000000323
75;100000;20;500;0.490190000000349
75;100000;20;1000;0.395210000000254
75;100000;20;5000;0.478530000000338
75;100000;20;10000;0.368450000000228
100;100000;20;500;0.451440000000311
100;100000;20;1000;0.499050000000358
100;100000;20;5000;0.509750000000315
100;100000;20;10000;0.385710000000245
