"epochs","rows","cols","batch","specks"
10,"50000",10,"500",0.769200000000488
10,"50000",10,"1000",0.758400000000477
10,"50000",10,"5000",0.839000000000558
10,"50000",10,"10000",0.718640000000437
20,"50000",10,"500",0.727820000000446
20,"50000",10,"1000",0.794640000000513
20,"50000",10,"5000",0.810240000000529
20,"50000",10,"10000",0.807520000000526
30,"50000",10,"500",0.678660000000397
30,"50000",10,"1000",0.730380000000449
30,"50000",10,"5000",0.664540000000383
30,"50000",10,"10000",0.768380000000487
40,"50000",10,"500",0.33124000000005
40,"50000",10,"1000",0.800260000000519
40,"50000",10,"5000",0.776160000000495
40,"50000",10,"10000",0.779140000000498
50,"50000",10,"500",0.340380000000059
50,"50000",10,"1000",0.447040000000166
50,"50000",10,"5000",0.804120000000523
50,"50000",10,"10000",0.758500000000477
75,"50000",10,"500",0.388620000000107
75,"50000",10,"1000",0.318960000000037
75,"50000",10,"5000",0.805700000000524
75,"50000",10,"10000",0.73120000000045
100,"50000",10,"500",0.438040000000157
100,"50000",10,"1000",0.419200000000138
100,"50000",10,"5000",0.468560000000187
100,"50000",10,"10000",0.797920000000516
