"epochs","rows","cols","batch","specks"
10,"100000",10,"500",0.316050000000175
10,"100000",10,"1000",0.361720000000221
10,"100000",10,"5000",0.332630000000192
10,"100000",10,"10000",0.404060000000263
20,"100000",10,"500",0.314010000000173
20,"100000",10,"1000",0.275990000000135
20,"100000",10,"5000",0.329830000000189
20,"100000",10,"10000",0.327950000000187
30,"100000",10,"500",0.33092000000019
30,"100000",10,"1000",0.352490000000212
30,"100000",10,"5000",0.337770000000197
30,"100000",10,"10000",0.43108000000029
40,"100000",10,"500",0.36059000000022
40,"100000",10,"1000",0.422700000000282
40,"100000",10,"5000",0.338780000000198
40,"100000",10,"10000",0.420220000000279
50,"100000",10,"500",0.395670000000255
50,"100000",10,"1000",0.393490000000253
50,"100000",10,"5000",0.354930000000214
50,"100000",10,"10000",0.362720000000222
75,"100000",10,"500",0.366790000000226
75,"100000",10,"1000",0.348390000000208
75,"100000",10,"5000",0.324060000000183
75,"100000",10,"10000",0.362960000000222
100,"100000",10,"500",0.389560000000249
100,"100000",10,"1000",0.359690000000219
100,"100000",10,"5000",0.345410000000205
100,"100000",10,"10000",0.364050000000223
10,"100000",15,"500",0.451820000000311
10,"100000",15,"1000",0.362160000000221
10,"100000",15,"5000",0.346070000000205
10,"100000",15,"10000",0.46097000000032
20,"100000",15,"500",0.453200000000312
20,"100000",15,"1000",0.39111000000025
20,"100000",15,"5000",0.459540000000319
20,"100000",15,"10000",0.331890000000191
30,"100000",15,"500",0.363100000000222
30,"100000",15,"1000",0.439970000000299
30,"100000",15,"5000",0.475790000000335
30,"100000",15,"10000",0.394910000000254
40,"100000",15,"500",0.513800000000296
40,"100000",15,"1000",0.387860000000247
40,"100000",15,"5000",0.414780000000274
40,"100000",15,"10000",0.449580000000309
50,"100000",15,"500",0.548020000000141
50,"100000",15,"1000",0.434830000000294
50,"100000",15,"5000",0.413680000000273
50,"100000",15,"10000",0.487220000000346
75,"100000",15,"500",0.405590000000265
75,"100000",15,"1000",0.400020000000259
75,"100000",15,"5000",0.417520000000277
75,"100000",15,"10000",0.341660000000201
100,"100000",15,"500",0.4404700000003
100,"100000",15,"1000",0.51955000000027
100,"100000",15,"5000",0.371410000000231
100,"100000",15,"10000",0.393070000000252
10,"100000",20,"500",0.464310000000324
10,"100000",20,"1000",0.479770000000339
10,"100000",20,"5000",0.278880000000138
10,"100000",20,"10000",0.495490000000355
20,"100000",20,"500",0.458290000000317
20,"100000",20,"1000",0.446770000000306
20,"100000",20,"5000",0.346760000000206
20,"100000",20,"10000",0.329070000000188
30,"100000",20,"500",0.476600000000336
30,"100000",20,"1000",0.427420000000287
30,"100000",20,"5000",0.45057000000031
30,"100000",20,"10000",0.436740000000296
40,"100000",20,"500",0.539700000000179
40,"100000",20,"1000",0.422150000000281
40,"100000",20,"5000",0.436500000000296
40,"100000",20,"10000",0.446380000000306
50,"100000",20,"500",0.45077000000031
50,"100000",20,"1000",0.423090000000282
50,"100000",20,"5000",0.370090000000229
50,"100000",20,"10000",0.436370000000296
75,"100000",20,"500",0.452080000000311
75,"100000",20,"1000",0.446870000000306
75,"100000",20,"5000",0.48044000000034
75,"100000",20,"10000",0.507220000000326
100,"100000",20,"500",0.472930000000332
100,"100000",20,"1000",0.464010000000323
100,"100000",20,"5000",0.352270000000212
100,"100000",20,"10000",0.416600000000276
