"epochs","rows","cols","batch","specks"
10,"100000",15,"500",0.454390000000314
10,"100000",15,"1000",0.476020000000335
10,"100000",15,"5000",0.3406100000002
10,"100000",15,"10000",0.487310000000347
20,"100000",15,"500",0.470110000000329
20,"100000",15,"1000",0.489110000000348
20,"100000",15,"5000",0.402350000000262
20,"100000",15,"10000",0.368620000000228
30,"100000",15,"500",0.478810000000338
30,"100000",15,"1000",0.357420000000217
30,"100000",15,"5000",0.314100000000173
30,"100000",15,"10000",0.517790000000278
40,"100000",15,"500",0.471790000000331
40,"100000",15,"1000",0.348780000000208
40,"100000",15,"5000",0.389370000000249
40,"100000",15,"10000",0.41112000000027
50,"100000",15,"500",0.428900000000288
50,"100000",15,"1000",0.368920000000228
50,"100000",15,"5000",0.500150000000358
50,"100000",15,"10000",0.389060000000248
75,"100000",15,"500",0.493820000000353
75,"100000",15,"1000",0.305050000000164
75,"100000",15,"5000",0.37100000000023
75,"100000",15,"10000",0.375820000000235
100,"100000",15,"500",0.484430000000344
100,"100000",15,"1000",0.373890000000233
100,"100000",15,"5000",0.373340000000233
100,"100000",15,"10000",0.388100000000247
