"epochs","rows","cols","batch","specks"
10,"200000",20,"500",0.400569999999494
10,"200000",20,"1000",0.438699999999321
10,"200000",20,"5000",0.382204999999578
10,"200000",20,"10000",0.406529999999467
20,"200000",20,"500",0.40148499999949
20,"200000",20,"1000",0.395509999999517
20,"200000",20,"5000",0.451039999999265
20,"200000",20,"10000",0.394589999999522
30,"200000",20,"500",0.423024999999392
30,"200000",20,"1000",0.470824999999175
30,"200000",20,"5000",0.349714999999726
30,"200000",20,"10000",0.384454999999568
40,"200000",20,"500",0.400689999999494
40,"200000",20,"1000",0.503309999999064
40,"200000",20,"5000",0.446209999999287
40,"200000",20,"10000",0.446244999999286
50,"200000",20,"500",0.468759999999184
50,"200000",20,"1000",0.393754999999525
50,"200000",20,"5000",0.428479999999367
50,"200000",20,"10000",0.365564999999654
75,"200000",20,"500",0.377624999999599
75,"200000",20,"1000",0.409279999999455
75,"200000",20,"5000",0.423614999999389
75,"200000",20,"10000",0.395234999999519
100,"200000",20,"500",0.37285999999962
100,"200000",20,"1000",0.446314999999286
100,"200000",20,"5000",0.360324999999678
100,"200000",20,"10000",0.424344999999386
