sex,age,income,edu
MALE,73,1569.0,
MALE,27,1535.0,VOCATIONAL/GRAMMAR
MALE,54,1448.0,PRIMARY/NO EDUCATION
FEMALE,50,1490.0,VOCATIONAL/GRAMMAR
FEMALE,94,1505.0,SECONDARY
FEMALE,84,1730.0,POST-SECONDARY OR HIGHER
FEMALE,74,2253.0,VOCATIONAL/GRAMMAR
MALE,94,2166.0,PRIMARY/NO EDUCATION
FEMALE,32,1575.0,VOCATIONAL/GRAMMAR
MALE,73,1606.0,PRIMARY/NO EDUCATION
MALE,44,5681.0,VOCATIONAL/GRAMMAR
MALE,41,1475.0,VOCATIONAL/GRAMMAR
MALE,50,3925.0,SECONDARY
MALE,85,2230.0,POST-SECONDARY OR HIGHER
FEMALE,62,2876.0,
FEMALE,23,6853.0,SECONDARY
FEMALE,27,1408.0,SECONDARY
MALE,64,1649.0,SECONDARY
MALE,29,80.0,PRIMARY/NO EDUCATION
FEMALE,79,28.0,PRIMARY/NO EDUCATION
MALE,20,1449.0,PRIMARY/NO EDUCATION
MALE,54,1114.0,PRIMARY/NO EDUCATION
MALE,62,2101.0,SECONDARY
FEMALE,32,1731.0,POST-SECONDARY OR HIGHER
FEMALE,77,120.0,SECONDARY
MALE,30,3309.0,PRIMARY/NO EDUCATION
MALE,68,2813.0,POST-SECONDARY OR HIGHER
FEMALE,91,1883.0,VOCATIONAL/GRAMMAR
FEMALE,29,1830.0,VOCATIONAL/GRAMMAR
MALE,71,1382.0,SECONDARY
MALE,64,1535.0,SECONDARY
MALE,28,,PRIMARY/NO EDUCATION
MALE,46,9492.0,VOCATIONAL/GRAMMAR
FEMALE,55,1904.0,PRIMARY/NO EDUCATION
FEMALE,61,1810.0,PRIMARY/NO EDUCATION
MALE,56,1485.0,VOCATIONAL/GRAMMAR
MALE,38,3963.0,SECONDARY
FEMALE,41,-8.0,PRIMARY/NO EDUCATION
MALE,26,,SECONDARY
MALE,41,1721.0,POST-SECONDARY OR HIGHER
MALE,68,94.0,PRIMARY/NO EDUCATION
FEMALE,67,,SECONDARY
FEMALE,32,,SECONDARY
FEMALE,60,,SECONDARY
MALE,95,1612.0,SECONDARY
FEMALE,27,1356.0,VOCATIONAL/GRAMMAR
MALE,76,1820.0,SECONDARY
MALE,52,202.0,SECONDARY
FEMALE,44,,SECONDARY
MALE,57,47.0,VOCATIONAL/GRAMMAR
MALE,75,6792.0,
MALE,64,1635.0,PRIMARY/NO EDUCATION
MALE,35,2360.0,PRIMARY/NO EDUCATION
FEMALE,77,3924.0,SECONDARY
MALE,97,,SECONDARY
FEMALE,33,1621.0,SECONDARY
MALE,77,192.0,POST-SECONDARY OR HIGHER
MALE,71,1626.0,PRIMARY/NO EDUCATION
FEMALE,67,164.0,POST-SECONDARY OR HIGHER
FEMALE,68,,VOCATIONAL/GRAMMAR
MALE,64,1576.0,SECONDARY
FEMALE,78,8036.0,VOCATIONAL/GRAMMAR
MALE,36,3123.0,POST-SECONDARY OR HIGHER
FEMALE,52,1690.0,PRIMARY/NO EDUCATION
FEMALE,62,6072.0,PRIMARY/NO EDUCATION
FEMALE,73,6986.0,POST-SECONDARY OR HIGHER
FEMALE,56,1569.0,PRIMARY/NO EDUCATION
FEMALE,56,,POST-SECONDARY OR HIGHER
FEMALE,52,,PRIMARY/NO EDUCATION
FEMALE,73,,SECONDARY
FEMALE,27,76.0,PRIMARY/NO EDUCATION
MALE,62,1481.0,POST-SECONDARY OR HIGHER
MALE,73,1721.0,PRIMARY/NO EDUCATION
MALE,54,,SECONDARY
MALE,75,162.0,PRIMARY/NO EDUCATION
MALE,73,505.0,PRIMARY/NO EDUCATION
MALE,76,1492.0,SECONDARY
MALE,31,1421.0,SECONDARY
MALE,75,188.0,SECONDARY
MALE,64,-6.0,VOCATIONAL/GRAMMAR
FEMALE,71,1627.0,PRIMARY/NO EDUCATION
MALE,78,1636.0,SECONDARY
FEMALE,60,2286.0,PRIMARY/NO EDUCATION
FEMALE,54,2263.0,VOCATIONAL/GRAMMAR
MALE,59,3729.0,SECONDARY
MALE,39,1597.0,VOCATIONAL/GRAMMAR
FEMALE,53,1548.0,VOCATIONAL/GRAMMAR
MALE,50,1638.0,PRIMARY/NO EDUCATION
MALE,97,,PRIMARY/NO EDUCATION
FEMALE,66,197.0,VOCATIONAL/GRAMMAR
FEMALE,70,1572.0,POST-SECONDARY OR HIGHER
MALE,57,1573.0,SECONDARY
FEMALE,66,4018.0,PRIMARY/NO EDUCATION
FEMALE,63,2332.0,VOCATIONAL/GRAMMAR
MALE,69,963.0,VOCATIONAL/GRAMMAR
FEMALE,66,2223.0,SECONDARY
MALE,46,223.0,VOCATIONAL/GRAMMAR
FEMALE,46,1675.0,VOCATIONAL/GRAMMAR
FEMALE,87,,POST-SECONDARY OR HIGHER
FEMALE,94,,POST-SECONDARY OR HIGHER
FEMALE,25,1573.0,VOCATIONAL/GRAMMAR
FEMALE,56,1575.0,SECONDARY
FEMALE,57,587.0,SECONDARY
FEMALE,72,1494.0,PRIMARY/NO EDUCATION
MALE,27,-8.0,VOCATIONAL/GRAMMAR
MALE,68,,VOCATIONAL/GRAMMAR
MALE,70,1718.0,VOCATIONAL/GRAMMAR
FEMALE,67,,SECONDARY
FEMALE,37,,PRIMARY/NO EDUCATION
FEMALE,61,143.0,PRIMARY/NO EDUCATION
MALE,79,,POST-SECONDARY OR HIGHER
FEMALE,47,48.0,SECONDARY
FEMALE,61,1382.0,SECONDARY
FEMALE,21,1948.0,POST-SECONDARY OR HIGHER
FEMALE,74,2226.0,POST-SECONDARY OR HIGHER
FEMALE,62,,VOCATIONAL/GRAMMAR
MALE,70,,PRIMARY/NO EDUCATION
MALE,50,,POST-SECONDARY OR HIGHER
FEMALE,77,,VOCATIONAL/GRAMMAR
FEMALE,75,187.0,PRIMARY/NO EDUCATION
FEMALE,56,1881.0,VOCATIONAL/GRAMMAR
FEMALE,97,712.0,SECONDARY
MALE,48,1635.0,PRIMARY/NO EDUCATION
FEMALE,27,1519.0,VOCATIONAL/GRAMMAR
FEMALE,73,,PRIMARY/NO EDUCATION
FEMALE,63,1549.0,PRIMARY/NO EDUCATION
MALE,42,12986.0,
FEMALE,72,2100.0,POST-SECONDARY OR HIGHER
FEMALE,86,3462.0,PRIMARY/NO EDUCATION
MALE,74,1740.0,POST-SECONDARY OR HIGHER
FEMALE,30,43.0,VOCATIONAL/GRAMMAR
FEMALE,97,2367.0,SECONDARY
FEMALE,27,-8.0,SECONDARY
MALE,55,,SECONDARY
MALE,47,44.0,SECONDARY
MALE,77,1383.0,POST-SECONDARY OR HIGHER
FEMALE,56,1640.0,SECONDARY
MALE,71,1541.0,SECONDARY
MALE,61,1577.0,POST-SECONDARY OR HIGHER
MALE,84,1931.0,VOCATIONAL/GRAMMAR
FEMALE,32,1778.0,PRIMARY/NO EDUCATION
FEMALE,54,1480.0,PRIMARY/NO EDUCATION
MALE,68,,SECONDARY
MALE,97,1727.0,
MALE,91,115.0,SECONDARY
