sex,age,income,edu
FEMALE,16,1785.0,
MALE,20,776.0,VOCATIONAL/GRAMMAR
FEMALE,20,1468.0,PRIMARY/NO EDUCATION
MALE,26,1459.0,VOCATIONAL/GRAMMAR
FEMALE,82,1611.0,SECONDARY
MALE,70,1314.0,PRIMARY/NO EDUCATION
FEMALE,62,1203.0,VOCATIONAL/GRAMMAR
MALE,80,1919.0,PRIMARY/NO EDUCATION
FEMALE,30,1351.0,VOCATIONAL/GRAMMAR
MALE,67,1202.0,PRIMARY/NO EDUCATION
MALE,23,5869.0,VOCATIONAL/GRAMMAR
MALE,50,1375.0,VOCATIONAL/GRAMMAR
MALE,24,-8.0,VOCATIONAL/GRAMMAR
MALE,75,965.0,POST-SECONDARY OR HIGHER
FEMALE,55,840.0,VOCATIONAL/GRAMMAR
FEMALE,23,5249.0,SECONDARY
FEMALE,28,881.0,VOCATIONAL/GRAMMAR
MALE,18,997.0,SECONDARY
MALE,25,804.0,PRIMARY/NO EDUCATION
FEMALE,72,1485.0,PRIMARY/NO EDUCATION
MALE,36,1501.0,PRIMARY/NO EDUCATION
MALE,50,1244.0,SECONDARY
MALE,61,2249.0,SECONDARY
MALE,24,2134.0,POST-SECONDARY OR HIGHER
FEMALE,56,127.0,VOCATIONAL/GRAMMAR
MALE,31,1045.0,PRIMARY/NO EDUCATION
MALE,25,1961.0,POST-SECONDARY OR HIGHER
FEMALE,91,937.0,POST-SECONDARY OR HIGHER
FEMALE,20,351.0,VOCATIONAL/GRAMMAR
MALE,37,1358.0,SECONDARY
MALE,32,1204.0,SECONDARY
MALE,27,,POST-SECONDARY OR HIGHER
MALE,42,1342.0,VOCATIONAL/GRAMMAR
FEMALE,39,1269.0,PRIMARY/NO EDUCATION
FEMALE,72,849.0,PRIMARY/NO EDUCATION
MALE,54,710.0,POST-SECONDARY OR HIGHER
MALE,38,69.0,SECONDARY
FEMALE,33,115.0,PRIMARY/NO EDUCATION
MALE,30,,SECONDARY
MALE,17,1166.0,POST-SECONDARY OR HIGHER
MALE,54,139.0,SECONDARY
FEMALE,24,,PRIMARY/NO EDUCATION
FEMALE,26,,SECONDARY
FEMALE,16,,SECONDARY
MALE,88,1676.0,
MALE,62,1941.0,VOCATIONAL/GRAMMAR
MALE,18,945.0,SECONDARY
FEMALE,25,-8.0,SECONDARY
FEMALE,38,,SECONDARY
MALE,92,312.0,PRIMARY/NO EDUCATION
MALE,67,3878.0,
MALE,91,1618.0,POST-SECONDARY OR HIGHER
MALE,27,680.0,PRIMARY/NO EDUCATION
FEMALE,55,3240.0,PRIMARY/NO EDUCATION
FEMALE,72,,SECONDARY
FEMALE,48,2037.0,SECONDARY
FEMALE,73,181.0,VOCATIONAL/GRAMMAR
MALE,44,4200.0,PRIMARY/NO EDUCATION
FEMALE,27,116.0,POST-SECONDARY OR HIGHER
FEMALE,61,,VOCATIONAL/GRAMMAR
MALE,42,1111.0,SECONDARY
FEMALE,65,1488.0,VOCATIONAL/GRAMMAR
MALE,21,2781.0,POST-SECONDARY OR HIGHER
FEMALE,58,1566.0,PRIMARY/NO EDUCATION
FEMALE,27,4810.0,PRIMARY/NO EDUCATION
MALE,18,1305.0,PRIMARY/NO EDUCATION
FEMALE,19,860.0,SECONDARY
FEMALE,58,,POST-SECONDARY OR HIGHER
MALE,16,,PRIMARY/NO EDUCATION
MALE,68,,SECONDARY
FEMALE,19,-8.0,PRIMARY/NO EDUCATION
MALE,23,1039.0,POST-SECONDARY OR HIGHER
MALE,65,785.0,SECONDARY
MALE,28,,SECONDARY
MALE,45,-8.0,SECONDARY
MALE,17,646.0,SECONDARY
MALE,45,1498.0,SECONDARY
MALE,25,669.0,SECONDARY
MALE,18,1425.0,SECONDARY
MALE,66,-8.0,VOCATIONAL/GRAMMAR
FEMALE,16,790.0,SECONDARY
MALE,33,17.0,SECONDARY
FEMALE,26,1940.0,SECONDARY
FEMALE,47,1478.0,SECONDARY
FEMALE,55,2024.0,SECONDARY
MALE,29,934.0,PRIMARY/NO EDUCATION
FEMALE,52,1508.0,VOCATIONAL/GRAMMAR
FEMALE,36,1489.0,SECONDARY
MALE,97,,PRIMARY/NO EDUCATION
FEMALE,82,-8.0,VOCATIONAL/GRAMMAR
FEMALE,57,3000.0,SECONDARY
FEMALE,31,1572.0,SECONDARY
FEMALE,69,2887.0,PRIMARY/NO EDUCATION
FEMALE,55,155.0,VOCATIONAL/GRAMMAR
MALE,20,1353.0,VOCATIONAL/GRAMMAR
FEMALE,31,686.0,POST-SECONDARY OR HIGHER
MALE,59,1493.0,SECONDARY
FEMALE,48,648.0,VOCATIONAL/GRAMMAR
FEMALE,26,,POST-SECONDARY OR HIGHER
FEMALE,73,,VOCATIONAL/GRAMMAR
FEMALE,16,1206.0,VOCATIONAL/GRAMMAR
MALE,25,200.0,SECONDARY
FEMALE,16,684.0,POST-SECONDARY OR HIGHER
FEMALE,59,1416.0,PRIMARY/NO EDUCATION
FEMALE,28,495.0,VOCATIONAL/GRAMMAR
MALE,64,,VOCATIONAL/GRAMMAR
MALE,56,1372.0,VOCATIONAL/GRAMMAR
FEMALE,39,,SECONDARY
FEMALE,42,,PRIMARY/NO EDUCATION
FEMALE,68,1548.0,PRIMARY/NO EDUCATION
MALE,47,,VOCATIONAL/GRAMMAR
FEMALE,51,646.0,SECONDARY
FEMALE,71,1459.0,SECONDARY
FEMALE,27,794.0,POST-SECONDARY OR HIGHER
FEMALE,52,1734.0,POST-SECONDARY OR HIGHER
FEMALE,18,,VOCATIONAL/GRAMMAR
MALE,52,,PRIMARY/NO EDUCATION
MALE,32,,POST-SECONDARY OR HIGHER
FEMALE,44,,VOCATIONAL/GRAMMAR
FEMALE,68,150.0,PRIMARY/NO EDUCATION
FEMALE,34,692.0,VOCATIONAL/GRAMMAR
FEMALE,31,1209.0,SECONDARY
MALE,27,154.0,PRIMARY/NO EDUCATION
FEMALE,16,1274.0,VOCATIONAL/GRAMMAR
FEMALE,55,,POST-SECONDARY OR HIGHER
FEMALE,58,1014.0,PRIMARY/NO EDUCATION
MALE,26,-8.0,
FEMALE,35,1794.0,POST-SECONDARY OR HIGHER
FEMALE,78,2020.0,PRIMARY/NO EDUCATION
MALE,20,978.0,
FEMALE,30,-8.0,VOCATIONAL/GRAMMAR
FEMALE,53,519.0,SECONDARY
FEMALE,32,-8.0,SECONDARY
MALE,58,,POST-SECONDARY OR HIGHER
MALE,86,64.0,VOCATIONAL/GRAMMAR
MALE,69,444.0,POST-SECONDARY OR HIGHER
FEMALE,69,592.0,SECONDARY
MALE,22,1315.0,SECONDARY
MALE,64,56.0,POST-SECONDARY OR HIGHER
MALE,94,832.0,VOCATIONAL/GRAMMAR
FEMALE,39,215.0,PRIMARY/NO EDUCATION
FEMALE,18,1257.0,PRIMARY/NO EDUCATION
MALE,81,,SECONDARY
MALE,70,1121.0,
MALE,32,1045.0,VOCATIONAL/GRAMMAR
FEMALE,53,,SECONDARY
MALE,21,553.0,POST-SECONDARY OR HIGHER
FEMALE,54,1384.0,POST-SECONDARY OR HIGHER
MALE,71,606.0,SECONDARY
MALE,40,389.0,SECONDARY
FEMALE,83,1355.0,SECONDARY
MALE,21,,SECONDARY
MALE,30,641.0,PRIMARY/NO EDUCATION
MALE,31,1386.0,SECONDARY
MALE,28,1568.0,POST-SECONDARY OR HIGHER
FEMALE,16,873.0,PRIMARY/NO EDUCATION
MALE,36,184.0,VOCATIONAL/GRAMMAR
