sex,age,income,edu
FEMALE,28.0,209.0,SECONDARY
MALE,60.0,,VOCATIONAL/GRAMMAR
MALE,62.0,269.0,SECONDARY
FEMALE,21.0,729.0,SECONDARY
FEMALE,63.0,1366.0,SECONDARY
FEMALE,22.0,111.0,SECONDARY
MALE,64.0,623.0,SECONDARY
FEMALE,74.0,947.0,VOCATIONAL/GRAMMAR
MALE,58.0,2558.0,VOCATIONAL/GRAMMAR
FEMALE,63.0,1284.0,SECONDARY
MALE,40.0,159.0,VOCATIONAL/GRAMMAR
MALE,26.0,1098.0,SECONDARY
MALE,37.0,923.0,SECONDARY
FEMALE,56.0,1344.0,VOCATIONAL/GRAMMAR
MALE,35.0,1285.0,POST-SECONDARY OR HIGHER
FEMALE,29.0,1518.0,POST-SECONDARY OR HIGHER
FEMALE,28.0,869.0,POST-SECONDARY OR HIGHER
FEMALE,36.0,1582.0,VOCATIONAL/GRAMMAR
FEMALE,56.0,1039.0,VOCATIONAL/GRAMMAR
MALE,48.0,2416.0,VOCATIONAL/GRAMMAR
MALE,54.0,1872.0,VOCATIONAL/GRAMMAR
MALE,43.0,750.0,VOCATIONAL/GRAMMAR
MALE,44.0,224.0,SECONDARY
FEMALE,19.0,,VOCATIONAL/GRAMMAR
FEMALE,34.0,,POST-SECONDARY OR HIGHER
FEMALE,37.0,1186.0,SECONDARY
FEMALE,30.0,1013.0,POST-SECONDARY OR HIGHER
MALE,43.0,3735.0,VOCATIONAL/GRAMMAR
FEMALE,28.0,,SECONDARY
FEMALE,28.0,,SECONDARY
MALE,58.0,1890.0,PRIMARY/NO EDUCATION
MALE,48.0,,VOCATIONAL/GRAMMAR
FEMALE,58.0,732.0,SECONDARY
FEMALE,23.0,79.0,SECONDARY
FEMALE,55.0,,POST-SECONDARY OR HIGHER
FEMALE,28.0,3695.0,SECONDARY
FEMALE,23.0,1583.0,SECONDARY
FEMALE,26.0,,SECONDARY
FEMALE,56.0,1088.0,VOCATIONAL/GRAMMAR
FEMALE,31.0,420.0,VOCATIONAL/GRAMMAR
FEMALE,73.0,1411.0,PRIMARY/NO EDUCATION
FEMALE,22.0,2510.0,SECONDARY
FEMALE,52.0,372.0,VOCATIONAL/GRAMMAR
