"sex","age","placesize","region","edu","socprof","unempdur","income","marital","mmarr","ymarr","msepdiv","ysepdiv","ls","depress","trust","trustfam","trustneigh","sport","nofriend","smoke","nociga","alcabuse","alcsol","workab","wkabdur","wkabint","wkabintdur","emcc","englang","height","weight","random_1","eduspec"
"MALE",59,"URBAN 20,000-100,000","Lubelskie","SECONDARY","EMPLOYED IN PRIVATE SECTOR",0,2500,"MARRIED",7,1973,NA,NA,"PLEASED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",180,74,"GC","lack of data"
"FEMALE",76,"RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","RETIRED",24,870,"WIDOWED",11,1956,9,2008,"MOSTLY DISSATISFIED",13,"IT`S DIFFICULT TO TELL","YES","YES","YES",3,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",155,60,"DH","lack of data"
"MALE",19,"URBAN 100,000-200,000","Wielkopolskie","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE",NA,NA,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",3,"NO",NA,"NO","NO",NA,NA,"NO",NA,NA,"PASSIVE",172,90,"GN","lack of data"
"FEMALE",79,"RURAL AREAS","Podlaskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",NA,1000,"WIDOWED",2,1954,8,2001,"MIXED",10,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",3,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",158,58,"OP","not applicable"
"FEMALE",92,"RURAL AREAS","Podlaskie","PRIMARY/NO EDUCATION","RETIRED",NA,850,"WIDOWED",2,1942,1,1999,"MIXED",15,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",6,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",170,68,"AG","not applicable"
"FEMALE",79,"RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","RETIRED",0,890,"WIDOWED",6,1953,9,1989,"MIXED",9,"IT`S DIFFICULT TO TELL","YES","NO","YES",0,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",158,85,"QC","not applicable"
"MALE",77,"RURAL AREAS","Opolskie","PRIMARY/NO EDUCATION","RETIRED",24,1400,"WIDOWED",12,1959,10,2001,"MOSTLY SATISFIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",12,"YES",10,"NO","NO","NO",NA,"NO",NA,NA,"NONE",168,62,"LI","not applicable"
"FEMALE",73,"URBAN BELOW 20,000","Lodzkie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",NA,940,"WIDOWED",2,1954,6,2009,"PLEASED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",30,"NO",NA,"NO","NO",NA,NA,"NO",NA,NA,"NONE",170,70,"OP","not applicable"
"FEMALE",80,"RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",0,1400,"WIDOWED",7,1960,10,2010,"PLEASED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,65,"IW","not applicable"
"FEMALE",81,"RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",NA,900,"MARRIED",11,1957,NA,NA,"MIXED",18,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",7,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",146,42,"IW","not applicable"
"FEMALE",76,"RURAL AREAS","Kujawsko-pomorskie","PRIMARY/NO EDUCATION","RETIRED",NA,800,"WIDOWED",11,1960,9,2000,"PLEASED",8,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",4,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",170,65,"RY","not applicable"
"MALE",31,"RURAL AREAS","Kujawsko-pomorskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",0,600,"SINGLE",NA,NA,NA,NA,"MIXED",3,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",30,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",175,100,"HB","not applicable"
