sex,age,agegr,placesize,region,edu,eduspec,socprof,unempdur,income,marital,mmarr,ymarr,msepdiv,ysepdiv,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,nociga,alcabuse,alcsol,workab,wkabdur,wkabint,wkabintdur,emcc,englang,height,weight,bmi
FEMALE,25,45-59,"URBAN 200,000-500,000",Wielkopolskie,SECONDARY,no specialisation,EMPLOYED IN PUBLIC SECTOR,25.0,1548.0,MARRIED,,,,,MIXED,6.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO OPINION,YES,2.0,NO,19.0,NO,NO,NO,,NO,,,NONE,169.0,45.0,42.3409907429631
MALE,33,45-59,RURAL AREAS,Dolnoslaskie,PRIMARY/NO EDUCATION,production and processing,OTHER ECONOMICALLY INACTIVE,7.0,,DIVORCED,7.0,1982.0,,,MOSTLY DISSATISFIED,9.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,YES,0.0,NO,,NO,NO,NO,,NO,,,NONE,165.0,49.0,27.5348913063056
MALE,61,45-59,"URBAN BELOW 20,000",Lodzkie,SECONDARY,technical science,EMPLOYED IN PRIVATE SECTOR,1.0,1608.0,MARRIED,6.0,1982.0,,,MOSTLY DISSATISFIED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,2.0,YES,,NO,NO,NO,,NO,,,PASSIVE,164.0,61.0,46.4550316761955
MALE,67,16-24,"URBAN 200,000-500,000",Warminsko-mazurskie,SECONDARY,technical science,RETIRED,1.0,142.0,WIDOWED,7.0,,,,MOSTLY SATISFIED,13.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,4.0,YES,15.0,NO,NO,,,NO,,,NONE,167.0,41.0,29.5105423650492
FEMALE,79,65+,"URBAN 100,000-200,000",Zachodnio-pomorskie,SECONDARY,biological sciences,RETIRED,,,MARRIED,7.0,,,1998.0,PLEASED,6.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,10.0,NO,,NO,NO,NO,,NO,,,NONE,174.0,57.0,21.0446298841549
MALE,72,25-34,"URBAN 100,000-200,000",Podkarpackie,SECONDARY,no specialisation,UNEMPLOYED,0.0,1762.0,MARRIED,,2004.0,,,PLEASED,0.0,,YES,NO,YES,1.0,YES,16.0,NO,NO,NO,,NO,,,NONE,191.0,67.0,21.528325246894
FEMALE,69,60-64,"URBAN 100,000-200,000",Swietokrzyskie,VOCATIONAL/GRAMMAR,technical science,UNEMPLOYED,,840.0,MARRIED,7.0,1982.0,,,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,0.0,NO,2.0,NO,NO,YES,,"YES, TO EU COUNTRY",,,ACTIVE,199.0,66.0,33.0134640707929
MALE,96,16-24,"URBAN 200,000-500,000",Mazowieckie,SECONDARY,services for the population and transport services,EMPLOYED IN PUBLIC SECTOR,6.0,1154.0,MARRIED,,1980.0,7.0,,MOSTLY SATISFIED,13.0,,YES,YES,YES,5.0,NO,,NO,NO,NO,,NO,,,NONE,167.0,50.0,28.1738403453515
FEMALE,50,45-59,RURAL AREAS,Wielkopolskie,VOCATIONAL/GRAMMAR,technical science,PUPIL OR STUDENT,,,MARRIED,7.0,1983.0,,,MIXED,14.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,3.0,NO,,NO,NO,NO,,NO,,,NONE,166.0,46.0,50.8811041930422
MALE,76,35-44,RURAL AREAS,Slaskie,SECONDARY,armed forces and country protection,PUPIL OR STUDENT,0.0,997.0,DIVORCED,7.0,2008.0,7.0,,MIXED,21.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,3.0,NO,,NO,NO,NO,,NO,LESS THAN 1 TO 2 YEARS,,NONE,195.0,45.0,22.3170493434662
MALE,33,16-24,RURAL AREAS,Zachodnio-pomorskie,PRIMARY/NO EDUCATION,technical science,PUPIL OR STUDENT,,1715.0,WIDOWED,6.0,,,,MOSTLY SATISFIED,2.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,10.0,NO,16.0,NO,NO,NO,,NO,LESS THAN 1 YEAR,,PASSIVE,164.0,77.0,33.6053019884692
MALE,28,45-59,"URBAN BELOW 20,000",Dolnoslaskie,SECONDARY,technical science,LONG-TERM SICK/DISABLED,7.0,666.0,MARRIED,,1978.0,,,MOSTLY SATISFIED,0.0,ONE CAN`T BE TOO CAREFUL,YES,,YES,4.0,NO,19.0,NO,NO,NO,,NO,,,NONE,165.0,78.0,27.5335667880252
MALE,51,16-24,"URBAN 500,000 AND OVER",Malopolskie,POST-SECONDARY OR HIGHER,services for the population and transport services,RETIRED,0.0,,MARRIED,10.0,,9.0,,PLEASED,13.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,4.0,NO,,NO,NO,NO,,NO,LESS THAN 1 TO 2 YEARS,,ACTIVE,166.0,72.0,27.0451937241755
MALE,26,60-64,RURAL AREAS,Kujawsko-pomorskie,PRIMARY/NO EDUCATION,"agriculture, forestry, fishing",RETIRED,0.0,1237.0,MARRIED,7.0,1981.0,,,MOSTLY SATISFIED,9.0,IT`S DIFFICULT TO TELL,YES,YES,NO,0.0,NO,,NO,NO,NO,,"YES, TO EU COUNTRY",,ITALY,NONE,172.0,68.0,26.418766763567
MALE,68,35-44,"URBAN BELOW 20,000",Wielkopolskie,VOCATIONAL/GRAMMAR,economy and administration,EMPLOYED IN PRIVATE SECTOR,27.0,1020.0,MARRIED,8.0,2006.0,,,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,0.0,NO,,YES,NO,NO,,NO,FOREVER,,ACTIVE,166.0,61.0,29.5992918403193
MALE,31,16-24,RURAL AREAS,Dolnoslaskie,VOCATIONAL/GRAMMAR,social sciences,UNEMPLOYED,,1119.0,MARRIED,10.0,1982.0,,,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,1.0,NO,,NO,NO,NO,,NO,,,NONE,162.0,76.0,31.4473444827167
FEMALE,33,16-24,"URBAN 20,000-100,000",Dolnoslaskie,SECONDARY,no specialisation,RETIRED,26.0,1812.0,MARRIED,7.0,1981.0,7.0,,MOSTLY SATISFIED,2.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,0.0,NO,,YES,NO,NO,,"YES, TO NON-EU COUNTRY",,,NONE,159.0,82.0,33.7526513597508
