age,unempdur,income,mmarr,ymarr,msepdiv,ysepdiv,depress,nofriend,nociga,height,weight
58,,1268.0,9.0,1969.0,,,,4.0,,154.0,56.0
48,,1632.0,,2000.0,,,4.0,7.0,,180.0,100.0
19,24.0,585.0,7.0,1981.0,,,5.0,7.0,10.0,173.0,82.0
20,24.0,,7.0,1981.0,7.0,,4.0,2.0,,170.0,71.0
56,0.0,,,1978.0,,,3.0,23.0,16.0,175.0,61.0
54,,2239.0,,,,,9.0,2.0,,165.0,75.0
31,,,8.0,1979.0,,,4.0,3.0,16.0,174.0,99.0
68,24.0,,6.0,,,,14.0,6.0,16.0,157.0,71.0
29,,1154.0,6.0,,,,2.0,1.0,16.0,186.0,84.0
33,,1824.0,,2002.0,,,9.0,2.0,,163.0,58.0
34,,827.0,7.0,1981.0,,,2.0,5.0,,169.0,105.0
17,24.0,1131.0,7.0,1982.0,,,1.0,10.0,,162.0,59.0
30,11.0,1242.0,9.0,1996.0,7.0,,5.0,7.0,,170.0,99.0
22,10.0,823.0,7.0,1981.0,,,5.0,1.0,,170.0,54.0
16,11.0,1616.0,7.0,,,,0.0,4.0,,169.0,63.0
27,7.0,,7.0,1982.0,,,0.0,6.0,16.0,176.0,74.0
22,,1618.0,,1981.0,7.0,,1.0,6.0,,172.0,57.0
28,,593.0,,1983.0,,,4.0,4.0,,170.0,53.0
53,0.0,4262.0,6.0,1994.0,,,7.0,5.0,,168.0,68.0
40,0.0,754.0,7.0,2002.0,,,0.0,2.0,,178.0,85.0
71,24.0,,6.0,1968.0,,,12.0,2.0,,164.0,68.0
28,11.0,587.0,10.0,1986.0,,,4.0,10.0,,158.0,79.0
16,0.0,930.0,7.0,1981.0,,,0.0,1.0,16.0,172.0,54.0
31,0.0,765.0,6.0,,,,0.0,45.0,16.0,174.0,92.0
56,6.0,1625.0,11.0,1976.0,,,5.0,10.0,,175.0,78.0
73,0.0,948.0,10.0,1964.0,,2001.0,11.0,1.0,,170.0,71.0
58,,,4.0,1995.0,,,0.0,10.0,16.0,164.0,87.0
71,0.0,1626.0,,1964.0,10.0,,14.0,3.0,16.0,165.0,67.0
69,24.0,895.0,12.0,1966.0,,,10.0,3.0,,176.0,69.0
41,24.0,736.0,7.0,1982.0,,,0.0,19.0,,165.0,63.0
58,24.0,6226.0,,1995.0,,,0.0,8.0,,170.0,70.0
18,,986.0,7.0,,,,4.0,7.0,16.0,161.0,48.0
47,0.0,927.0,,1978.0,,,10.0,6.0,,167.0,82.0
77,6.0,1314.0,,1962.0,,2003.0,15.0,4.0,,163.0,63.0
32,3.0,,7.0,,,,3.0,18.0,,171.0,81.0
52,24.0,1661.0,10.0,1969.0,7.0,,4.0,19.0,,169.0,62.0
30,,841.0,6.0,1995.0,,,5.0,7.0,,169.0,58.0
25,9.0,1875.0,7.0,1978.0,,,0.0,7.0,,169.0,91.0
26,15.0,2818.0,8.0,,,,2.0,2.0,16.0,175.0,97.0
59,,2604.0,6.0,1985.0,,,5.0,6.0,,165.0,89.0
80,0.0,902.0,6.0,1979.0,,1989.0,14.0,5.0,,169.0,85.0
60,,,,1978.0,,,9.0,7.0,16.0,174.0,80.0
64,0.0,,8.0,,,1998.0,12.0,7.0,,165.0,69.0
36,6.0,,7.0,,,,0.0,3.0,,165.0,95.0
61,0.0,899.0,,,,,0.0,10.0,,177.0,75.0
73,,,6.0,1978.0,,,10.0,5.0,,165.0,63.0
69,0.0,802.0,6.0,1978.0,,,4.0,5.0,,153.0,59.0
23,10.0,,,1981.0,,,1.0,6.0,,194.0,56.0
28,24.0,545.0,,,,,6.0,3.0,,175.0,68.0
81,,945.0,6.0,1964.0,,,20.0,1.0,,155.0,69.0
87,,,10.0,,,,20.0,10.0,,164.0,69.0
16,,1690.0,7.0,1981.0,,,2.0,7.0,,162.0,48.0
26,12.0,,4.0,1999.0,,,3.0,7.0,,165.0,79.0
18,24.0,,7.0,1982.0,,,0.0,3.0,,162.0,60.0
56,0.0,,6.0,,7.0,,0.0,5.0,,178.0,87.0
19,,,7.0,,7.0,,0.0,5.0,,170.0,53.0
19,,1634.0,7.0,1981.0,,,4.0,7.0,,170.0,74.0
70,,,2.0,1965.0,,1989.0,15.0,3.0,,165.0,59.0
37,6.0,1627.0,,1993.0,,,0.0,2.0,,164.0,87.0
28,24.0,,7.0,,7.0,,0.0,5.0,,179.0,59.0
33,6.0,1629.0,7.0,,,,0.0,5.0,20.0,161.0,102.0
30,0.0,1691.0,7.0,,,,1.0,5.0,,170.0,90.0
19,25.0,1634.0,7.0,1995.0,,,0.0,6.0,,171.0,59.0
76,6.0,,10.0,1982.0,,,9.0,10.0,,169.0,70.0
45,,1620.0,5.0,1979.0,,1998.0,2.0,8.0,15.0,167.0,91.0
84,0.0,578.0,,,,,10.0,6.0,,156.0,79.0
20,,1465.0,7.0,1982.0,,,0.0,5.0,,169.0,80.0
27,0.0,588.0,9.0,2000.0,,,0.0,6.0,,170.0,79.0
72,0.0,,6.0,2001.0,,,13.0,6.0,,164.0,58.0
29,0.0,,9.0,,,,0.0,10.0,,169.0,85.0
16,6.0,,7.0,1981.0,,,4.0,10.0,,173.0,51.0
20,8.0,,7.0,,,1998.0,0.0,3.0,,173.0,72.0
58,0.0,785.0,2.0,2001.0,,,15.0,12.0,,177.0,85.0
29,0.0,,7.0,1991.0,,,0.0,3.0,,173.0,88.0
80,0.0,2464.0,,1968.0,,2002.0,10.0,4.0,16.0,155.0,92.0
18,6.0,,7.0,,7.0,,2.0,3.0,,172.0,56.0
57,24.0,,9.0,1999.0,,,7.0,7.0,,172.0,65.0
30,0.0,3180.0,8.0,,,,0.0,10.0,,170.0,103.0
77,,1216.0,4.0,1953.0,,,6.0,6.0,,160.0,69.0
31,24.0,,,,,1998.0,3.0,19.0,,170.0,55.0
18,,,7.0,1982.0,,1998.0,1.0,6.0,,163.0,64.0
