sex,age,agegr,placesize,region,edu,eduspec,socprof,unempdur,income,marital,mmarr,ymarr,msepdiv,ysepdiv,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,nociga,alcabuse,alcsol,workab,wkabdur,wkabint,wkabintdur,emcc,englang,height,weight,bmi
FEMALE,65,25-34,"URBAN 100,000-200,000",Mazowieckie,VOCATIONAL/GRAMMAR,no specialisation,PUPIL OR STUDENT,23,1512.0,MARRIED,,,,,MOSTLY SATISFIED,4.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,-1,NO,-8,NO,NO,NO,-8,NO,,,NONE,175.0,70.0,25.8454852539203
MALE,29,45-59,"URBAN 100,000-200,000",Dolnoslaskie,PRIMARY/NO EDUCATION,production and processing,EMPLOYED IN PRIVATE SECTOR,25,1396.0,WIDOWED,7.0,1982.0,,,DELIGHTED,4.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,6,NO,-8,NO,NO,NO,-8,NO,IT DEPENDS,GERMANY,NONE,180.0,82.0,20.6315688945839
MALE,76,45-59,"URBAN 100,000-200,000",Mazowieckie,SECONDARY,social sciences,EMPLOYED IN PRIVATE SECTOR,-8,1106.0,SINGLE,7.0,1966.0,,,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,4,YES,-8,NO,NO,,-8,NO,,,NONE,158.0,74.0,27.4235123683707
MALE,75,25-34,"URBAN 200,000-500,000",Warminsko-mazurskie,SECONDARY,production and processing,RETIRED,0,807.0,WIDOWED,7.0,,,,PLEASED,4.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,11,NO,-8,YES,NO,NO,-8,NO,,,NONE,164.0,68.0,21.5336272750296
MALE,23,65+,"URBAN 100,000-200,000",Zachodnio-pomorskie,SECONDARY,biological sciences,RETIRED,24,233.0,SINGLE,8.0,,,1998.0,PLEASED,8.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,11,NO,-8,NO,NO,NO,-8,"YES, TO EU COUNTRY",,,NONE,163.0,53.0,21.7889937064492
MALE,79,25-34,RURAL AREAS,Warminsko-mazurskie,SECONDARY,no specialisation,EMPLOYED IN PUBLIC SECTOR,1,1091.0,DIVORCED,,1937.0,,,PLEASED,2.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,8,NO,17,NO,NO,NO,-8,"YES, TO EU COUNTRY",,GERMANY,NONE,174.0,80.0,32.0110773383575
FEMALE,61,45-59,"URBAN 100,000-200,000",Swietokrzyskie,SECONDARY,no specialisation,EMPLOYED IN PRIVATE SECTOR,1,1171.0,MARRIED,10.0,1962.0,,,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,23,NO,9,NO,NO,YES,-8,NO,,,NONE,167.0,93.0,26.5302808127972
MALE,24,60-64,"URBAN 200,000-500,000",Podlaskie,SECONDARY,services for the population and transport services,EMPLOYED IN PUBLIC SECTOR,0,1163.0,MARRIED,,1981.0,7.0,,MIXED,6.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,8,NO,-8,NO,NO,NO,-8,"YES, TO EU COUNTRY",,,NONE,166.0,78.0,26.496894766484
FEMALE,64,45-59,RURAL AREAS,Wielkopolskie,VOCATIONAL/GRAMMAR,no specialisation,PUPIL OR STUDENT,23,,DIVORCED,8.0,1937.0,,,PLEASED,4.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,5,NO,-8,NO,NO,NO,-8,"YES, TO EU COUNTRY",,,NONE,173.0,61.0,24.3506419899625
MALE,71,45-59,"URBAN 20,000-100,000",Slaskie,VOCATIONAL/GRAMMAR,no specialisation,PUPIL OR STUDENT,1,1571.0,MARRIED,2.0,1964.0,6.0,,MIXED,0.0,IT`S DIFFICULT TO TELL,YES,NO OPINION,YES,8,NO,-8,NO,NO,NO,-8,"YES, TO EU COUNTRY",,,NONE,155.0,83.0,23.1365602867999
