age,unempdur,income,mmarr,ymarr,msepdiv,ysepdiv,depress,nofriend,nociga,height,weight
19.0,0.0,,,,,,3.0,2.0,,169.0,48.0
51.0,,315.0,5.0,1991.0,9.0,2000.0,10.0,1.0,15.0,173.0,91.0
62.0,24.0,1170.0,2.0,1972.0,,,6.0,2.0,,172.0,87.0
25.0,24.0,,,,,,0.0,11.0,,171.0,60.0
63.0,,2422.0,3.0,1972.0,,,7.0,8.0,,167.0,77.0
22.0,24.0,,,,,,1.0,8.0,,174.0,69.0
39.0,0.0,2260.0,8.0,1999.0,,,4.0,14.0,,166.0,62.0
37.0,8.0,5784.0,7.0,2005.0,,,0.0,9.0,20.0,179.0,91.0
34.0,,1522.0,8.0,2002.0,,,0.0,11.0,,187.0,95.0
75.0,0.0,1049.0,6.0,1954.0,12.0,2005.0,7.0,15.0,,167.0,69.0
60.0,0.0,263.0,6.0,1976.0,11.0,2007.0,2.0,14.0,6.0,172.0,77.0
63.0,0.0,1383.0,7.0,1968.0,,,4.0,10.0,,170.0,79.0
70.0,24.0,1061.0,1.0,1968.0,2.0,1992.0,,7.0,,171.0,62.0
31.0,,2788.0,12.0,2005.0,,,0.0,9.0,,182.0,87.0
47.0,10.0,1820.0,4.0,1992.0,,,6.0,2.0,25.0,157.0,62.0
78.0,24.0,1443.0,10.0,1955.0,3.0,2002.0,2.0,3.0,,158.0,70.0
24.0,0.0,1384.0,,,,,0.0,11.0,,153.0,72.0
44.0,0.0,1616.0,8.0,2003.0,,,4.0,14.0,4.0,179.0,80.0
72.0,24.0,971.0,11.0,1964.0,9.0,1989.0,9.0,4.0,,176.0,78.0
36.0,0.0,3269.0,,,,,1.0,12.0,,180.0,110.0
17.0,,,,,,,0.0,12.0,,190.0,81.0
23.0,7.0,1140.0,,,,,4.0,4.0,10.0,172.0,69.0
48.0,24.0,918.0,,,,,9.0,1.0,,166.0,60.0
35.0,0.0,1968.0,,,,,0.0,8.0,,172.0,82.0
50.0,,2443.0,12.0,1981.0,,,2.0,3.0,,156.0,63.0
57.0,24.0,331.0,8.0,1975.0,,,0.0,3.0,,174.0,93.0
50.0,24.0,,4.0,1983.0,,,6.0,6.0,10.0,163.0,58.0
43.0,,,7.0,1991.0,,,2.0,6.0,,187.0,105.0
36.0,24.0,1286.0,10.0,1998.0,,,0.0,6.0,30.0,169.0,61.0
48.0,0.0,1114.0,1.0,1984.0,,,3.0,22.0,,166.0,55.0
26.0,18.0,1433.0,,,,,5.0,8.0,,163.0,73.0
36.0,0.0,,,,,,6.0,2.0,,172.0,105.0
41.0,0.0,1190.0,8.0,1991.0,,,4.0,9.0,,163.0,54.0
52.0,0.0,835.0,6.0,1984.0,,,5.0,5.0,,172.0,87.0
26.0,,982.0,,,,,0.0,8.0,,153.0,58.0
65.0,24.0,1393.0,7.0,1968.0,,,6.0,3.0,30.0,168.0,83.0
43.0,0.0,,1.0,1993.0,,,4.0,7.0,25.0,169.0,83.0
26.0,0.0,,,,,,0.0,13.0,20.0,169.0,77.0
52.0,0.0,4065.0,,,,,1.0,7.0,,189.0,107.0
35.0,0.0,393.0,4.0,2003.0,,,4.0,4.0,8.0,175.0,56.0
57.0,21.0,,6.0,1994.0,,,5.0,1.0,,165.0,79.0
54.0,0.0,1320.0,,,,,3.0,12.0,,165.0,71.0
36.0,0.0,1510.0,4.0,2004.0,,,7.0,3.0,,173.0,64.0
66.0,24.0,1806.0,2.0,1961.0,,,7.0,8.0,20.0,157.0,63.0
34.0,,2068.0,,,,,0.0,8.0,,173.0,82.0
20.0,0.0,,,,,,0.0,4.0,20.0,175.0,54.0
61.0,24.0,,12.0,1972.0,,,8.0,9.0,20.0,162.0,78.0
87.0,24.0,1575.0,6.0,1945.0,10.0,2002.0,9.0,4.0,,159.0,52.0
66.0,,2390.0,4.0,1965.0,,,13.0,12.0,,163.0,91.0
36.0,0.0,,9.0,1995.0,,,0.0,13.0,,164.0,61.0
84.0,,2109.0,,,,,16.0,2.0,,171.0,55.0
58.0,24.0,1529.0,6.0,1987.0,,,3.0,3.0,,165.0,74.0
