sex,age,agegr,placesize,region,edu,eduspec,socprof,unempdur,income,marital,mmarr,ymarr,msepdiv,ysepdiv,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,nociga,alcabuse,alcsol,workab,wkabdur,wkabint,wkabintdur,emcc,englang,height,weight,bmi
MALE,76.0,65+,RURAL AREAS,Warminsko-mazurskie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,0,1009.0,DE FACTO SEPARATED,4.0,1956.0,6.0,1992.0,MIXED,13.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,-2.0,YES,20,NO,YES,NO,-7.0,NO,,,NONE,172.0,86.0,20.843815222733927
FEMALE,35.0,25-34,"URBAN BELOW 20,000",Warminsko-mazurskie,SECONDARY,healthcare,EMPLOYED IN PRIVATE SECTOR,13,269.0,MARRIED,6.0,1994.0,,,PLEASED,1.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,7.0,YES,10,NO,NO,NO,-6.0,NO,,,PASSIVE,167.0,69.0,15.25493023463698
FEMALE,50.0,45-59,RURAL AREAS,Mazowieckie,SECONDARY,technical science,FARMER,0,729.0,MARRIED,2.0,1978.0,,,MIXED,7.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,6.0,YES,10,NO,NO,NO,-6.0,NO,,,NONE,166.0,60.0,25.387735344439477
MALE,45.0,45-59,RURAL AREAS,Podkarpackie,SECONDARY,no specialisation,EMPLOYED IN PRIVATE SECTOR,-8,566.0,MARRIED,8.0,1984.0,,,PLEASED,2.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO,YES,6.0,NO,-8,NO,NO,NO,-6.0,NO,,,NONE,189.0,84.0,32.39538646926028
FEMALE,42.0,35-44,RURAL AREAS,Mazowieckie,VOCATIONAL/GRAMMAR,services for the population and transport services,EMPLOYED IN PRIVATE SECTOR,-8,,MARRIED,5.0,1999.0,,,MOSTLY SATISFIED,1.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,7.0,NO,-8,NO,NO,NO,-7.0,NO,,,NONE,171.0,63.0,29.417869024419915
MALE,62.0,60-64,"URBAN 100,000-200,000",Podkarpackie,PRIMARY/NO EDUCATION,no specialisation,,24,111.0,DE FACTO SEPARATED,4.0,1973.0,9.0,1962.0,MIXED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,-1.0,YES,15,NO,NO,NO,-8.0,NO,,,NONE,172.0,90.0,33.14532613089989
MALE,60.0,45-59,"URBAN 100,000-200,000",Wielkopolskie,PRIMARY/NO EDUCATION,no specialisation,OTHER ECONOMICALLY INACTIVE,24,1423.0,MARRIED,5.0,1977.0,,,PLEASED,3.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,11.0,NO,-8,NO,NO,NO,-8.0,NO,,,NONE,165.0,75.0,16.434722857006108
MALE,54.0,45-59,RURAL AREAS,Mazowieckie,PRIMARY/NO EDUCATION,no specialisation,FARMER,-8,947.0,MARRIED,2.0,1986.0,,,MOSTLY SATISFIED,10.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,3.0,YES,40,NO,NO,NO,-5.0,NO,,,NONE,183.0,93.0,353.8794472179428
FEMALE,38.0,35-44,"URBAN 100,000-200,000",Mazowieckie,VOCATIONAL/GRAMMAR,services for the population and transport services,EMPLOYED IN PRIVATE SECTOR,0,,WIDOWED,4.0,1999.0,1.0,1993.0,MOSTLY DISSATISFIED,8.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,4.0,NO,-8,NO,NO,NO,-8.0,NO,,,NONE,167.0,57.0,33.9944530657378
MALE,63.0,60-64,RURAL AREAS,Malopolskie,SECONDARY,"agriculture, forestry, fishing",RETIRED,0,957.0,WIDOWED,1.0,1975.0,4.0,1992.0,MOSTLY SATISFIED,11.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,4.0,NO,-8,NO,NO,NO,-7.0,NO,,,NONE,171.0,70.0,22.099538736481602
