"sex","placesize","region","edu","socprof","marital","ls","trust","trustfam","trustneigh","sport","smoke","alcabuse","alcsol","workab","wkabdur","wkabint","wkabintdur","emcc","englang","eduspec"
"MALE","RURAL AREAS","Lubelskie","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED","PLEASED","MOST PEOPLE CAN BE TRUSTED","YES","YES","NO","NO","NO","NO","YES",24,"NO",NA,NA,"NONE","services for the population and transport services"
"FEMALE","RURAL AREAS","Mazowieckie","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED","PLEASED","MOST PEOPLE CAN BE TRUSTED","YES","YES","NO","NO","NO","NO","NO",NA,"NO",NA,NA,"PASSIVE","no specialisation"
"FEMALE","RURAL AREAS","Swietokrzyskie","SECONDARY","PUPIL OR STUDENT","SINGLE","MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO","NO","NO","NO","NO",NA,"YES, TO EU COUNTRY","LESS THAN 1 YEAR","GERMANY","PASSIVE","no specialisation"
"FEMALE","URBAN 100,000-200,000","Swietokrzyskie","SECONDARY","EMPLOYED IN PRIVATE SECTOR","DIVORCED","UNHAPPY","ONE CAN`T BE TOO CAREFUL","YES","NO","YES","NO","NO","NO","NO",NA,"NO",NA,NA,"NONE","services for the population and transport services"
"FEMALE","RURAL AREAS","Malopolskie","SECONDARY","EMPLOYED IN PUBLIC SECTOR","SINGLE","MOSTLY SATISFIED","MOST PEOPLE CAN BE TRUSTED","NO OPINION","NO OPINION","YES","NO","NO","NO","YES",18,"NO",NA,NA,"ACTIVE","production and processing"
"FEMALE","RURAL AREAS","Mazowieckie","SECONDARY","EMPLOYED IN PUBLIC SECTOR","WIDOWED","MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL","YES","YES","YES","NO","NO","NO","NO",NA,"NO",NA,NA,"NONE","economy and administration"
"MALE","URBAN 20,000-100,000","Swietokrzyskie","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","SINGLE","MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL","YES","NO","NO","YES","NO","NO","NO",NA,"NO",NA,NA,"ACTIVE","economy and administration"
"MALE","RURAL AREAS","Malopolskie","SECONDARY","PUPIL OR STUDENT","SINGLE","MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL","YES","YES","NO","NO","NO","NO","NO",NA,"NO",NA,NA,"NONE","no specialisation"
"MALE","RURAL AREAS","Dolnoslaskie","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","SINGLE","PLEASED","ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES","YES","NO","NO","NO",NA,"NO",NA,NA,"NONE","no specialisation"
"FEMALE","RURAL AREAS","Zachodnio-pomorskie","SECONDARY","EMPLOYED IN PUBLIC SECTOR","MARRIED","PLEASED","MOST PEOPLE CAN BE TRUSTED","YES","NO","YES","NO","NO","NO","NO",NA,"NO",NA,NA,"NONE","no specialisation"
"FEMALE","URBAN BELOW 20,000","Lubuskie","POST-SECONDARY OR HIGHER","RETIRED","DIVORCED","MOSTLY SATISFIED","ONE CAN`T BE TOO CAREFUL","YES","YES","YES","NO","NO","NO","NO",NA,"NO",NA,NA,"NONE","pedagogics"
