"age","unempdur","income","mmarr","ymarr","msepdiv","ysepdiv","depress","nofriend","nociga","height","weight"
46,0,NA,10,1983,NA,NA,0,2,NA,174,82
46,24,NA,6,1994,NA,NA,1,5,NA,165,70
26,NA,1400,1,2009,11,2007,0,10,NA,170,75
40,NA,NA,1,1992,NA,NA,0,20,NA,168,78
82,0,1400,3,1954,9,1990,9,3,NA,163,70
69,NA,1200,10,1964,7,2000,11,10,NA,170,60
52,0,1500,10,1976,9,1997,0,4,NA,162,72
61,NA,690,4,1970,NA,NA,3,10,10,163,80
52,0,1700,7,1989,NA,NA,4,4,NA,180,98
50,0,1200,5,1982,NA,NA,8,20,20,178,70
69,NA,2000,8,1968,8,2009,4,0,NA,164,55
50,NA,2000,12,1984,7,1993,5,10,NA,169,87
24,12,NA,NA,NA,NA,NA,4,5,NA,160,55
30,0,3000,NA,NA,NA,NA,0,6,NA,175,61
77,24,2700,5,1951,NA,NA,2,10,NA,160,90
70,24,850,4,1962,NA,NA,11,0,NA,174,98
42,NA,NA,9,1994,2,2000,2,32,NA,160,59
57,NA,1200,5,1973,NA,NA,5,10,NA,165,69
25,0,NA,NA,NA,NA,NA,0,15,NA,180,75
39,0,2000,10,2001,NA,NA,3,10,NA,178,82
18,NA,139,7,2008,NA,NA,6,3,NA,175,70
45,0,NA,1,1985,1,2002,0,4,NA,176,75
40,0,3160,7,1998,NA,NA,4,2,NA,158,72
51,NA,NA,2,1985,NA,NA,2,2,NA,160,60
20,NA,NA,NA,NA,NA,NA,5,6,NA,160,70
37,NA,1800,8,1995,10,2001,1,0,NA,176,82
27,18,1300,NA,NA,NA,NA,0,2,12,175,82
36,0,15000,8,2003,NA,NA,3,10,NA,170,65
46,0,800,1,1984,NA,NA,7,8,15,165,110
25,0,NA,NA,NA,NA,NA,0,15,10,175,72
52,0,1950,NA,NA,NA,NA,2,2,NA,176,103
54,0,NA,4,1978,NA,NA,5,10,10,164,75
27,0,3100,9,2005,NA,NA,4,10,NA,154,55
25,0,1400,NA,NA,NA,NA,1,29,NA,180,86
37,12,1000,12,2000,NA,NA,10,2,20,116,56
53,0,1000,10,1983,6,2005,4,10,NA,165,100
76,24,1600,3,1959,NA,NA,8,6,NA,158,58
35,NA,1500,7,2002,NA,NA,0,5,NA,176,90
79,0,968,2,1954,9,1997,7,15,NA,154,56
55,12,NA,7,1977,NA,NA,0,3,NA,160,58
17,0,NA,NA,NA,NA,NA,0,12,NA,164,58
34,NA,3000,NA,NA,NA,NA,0,10,NA,185,84
55,24,NA,1,2007,NA,NA,1,10,NA,159,70
60,0,1900,8,1972,NA,NA,0,3,20,176,103
45,0,3000,6,1995,NA,NA,0,10,NA,156,56
26,5,1000,9,2010,NA,NA,1,12,NA,169,50
40,NA,450,7,1992,NA,NA,2,4,NA,164,50
41,0,NA,9,2002,NA,NA,0,3,NA,165,70
24,0,1050,NA,NA,NA,NA,2,3,NA,171,58
26,0,2500,NA,NA,NA,NA,0,30,NA,183,88
18,0,NA,11,2010,NA,NA,6,20,NA,179,71
23,12,NA,NA,NA,NA,NA,0,6,NA,190,80
47,0,6000,6,1989,NA,NA,4,3,NA,170,80
37,24,NA,3,2008,NA,NA,2,1,NA,165,62
17,0,NA,NA,NA,NA,NA,4,6,NA,172,73
46,0,2000,7,1997,NA,NA,0,6,NA,180,95
27,18,2800,5,2007,NA,NA,1,6,15,165,63
38,NA,3000,12,2008,NA,NA,1,20,NA,176,70
45,NA,1600,4,1996,12,2002,0,2,20,163,70
21,0,1000,NA,NA,NA,NA,0,9,5,147,75
56,24,NA,4,1984,NA,NA,3,10,20,173,65
42,0,1200,4,1995,NA,NA,9,3,10,170,62
58,0,850,8,1978,NA,NA,6,3,25,165,56
34,0,2000,1,1999,NA,NA,11,7,NA,167,87
29,5,2000,NA,NA,NA,NA,3,10,NA,158,52
52,0,4700,NA,NA,NA,NA,2,5,NA,153,60
55,NA,1500,NA,NA,NA,NA,9,2,2,168,68
57,0,850,NA,NA,NA,NA,5,8,NA,160,80
44,0,3000,12,1990,NA,NA,3,4,NA,173,80
83,0,1600,NA,1956,NA,1995,9,15,NA,157,70
73,0,800,10,1962,NA,NA,9,4,20,170,82
60,NA,2000,6,1975,NA,NA,9,10,NA,165,90
33,0,900,4,2002,NA,NA,0,9,NA,164,57
20,NA,NA,NA,NA,NA,NA,0,4,NA,162,60
70,24,NA,3,1960,NA,NA,5,12,NA,155,80
