"sex","age","agegr","placesize","region","edu","eduspec","socprof","unempdur","income","marital","mmarr","ymarr","msepdiv","ysepdiv","ls","depress","trust","trustfam","trustneigh","sport","nofriend","smoke","nociga","alcabuse","alcsol","workab","wkabdur","wkabint","wkabintdur","emcc","englang","height","weight","bmi"
"FEMALE",52,"45-59","URBAN 100,000-200,000","Slaskie","SECONDARY","social sciences","OTHER ECONOMICALLY INACTIVE",24,-8,"MARRIED",1,1983,NA,NA,"MOSTLY SATISFIED",4,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION","YES",10,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"NONE",155,62,26.1426884803508
"FEMALE",81,"65+","URBAN 20,000-100,000","Pomorskie","SECONDARY","economy and administration","RETIRED",0,3000,"MARRIED",8,1958,NA,NA,"PLEASED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",20,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"NONE",158,80,32.0461464508893
"FEMALE",60,"60-64","RURAL AREAS","Lodzkie","VOCATIONAL/GRAMMAR","services for the population and transport services","RETIRED",24,2000,"WIDOWED",10,1970,12,2002,"MOSTLY SATISFIED",10,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",1,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"NONE",164,84,31.2314098750744
"FEMALE",63,"60-64","URBAN 20,000-100,000","Mazowieckie","POST-SECONDARY OR HIGHER","biological sciences","RETIRED",24,1500,"MARRIED",7,1970,NA,NA,"PLEASED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"NONE",160,69,26.6193433895297
"MALE",62,"60-64","RURAL AREAS","Malopolskie","VOCATIONAL/GRAMMAR","production and processing","LONG-TERM SICK/DISABLED",-8,900,"MARRIED",3,1969,NA,NA,"MIXED",NA,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",20,"YES",10,"NO","NO","NO",-8,"NO",NA,NA,"NONE",183,80,23.3747260774288
"FEMALE",48,"45-59","URBAN 500,000 AND OVER","Wielkopolskie","SECONDARY","agriculture, forestry, fishing","EMPLOYED IN PRIVATE SECTOR",0,1200,"SINGLE",NA,NA,NA,NA,"PLEASED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",8,"YES",15,"NO","YES","NO",-8,"NO",NA,NA,"NONE",162,58,22.3756799506192
"MALE",35,"35-44","URBAN 100,000-200,000","Lubuskie","POST-SECONDARY OR HIGHER","mathematics and statistics","EMPLOYED IN PUBLIC SECTOR",19,6000,"MARRIED",2,2005,NA,NA,"PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",4,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"NONE",176,77,25.5036157024793
"MALE",55,"45-59","RURAL AREAS","Podkarpackie","VOCATIONAL/GRAMMAR","technical science","EMPLOYED IN PUBLIC SECTOR",0,1500,"MARRIED",4,1984,NA,NA,"PLEASED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"NONE",170,85,29.0687732977668
"FEMALE",41,"35-44","URBAN 200,000-500,000","Warminsko-mazurskie","SECONDARY","public health","EMPLOYED IN PUBLIC SECTOR",-8,1500,"MARRIED",10,2001,NA,NA,"MIXED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",10,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"NONE",170,68,23.5294117647059
"MALE",53,"45-59","RURAL AREAS","Slaskie","VOCATIONAL/GRAMMAR","technical science","EMPLOYED IN PRIVATE SECTOR",0,2600,"MARRIED",4,1980,NA,NA,"MOSTLY SATISFIED",0,"IT`S DIFFICULT TO TELL","YES","YES","YES",5,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"NONE",170,85,29.4117647058824
"MALE",62,"60-64","URBAN 100,000-200,000","Dolnoslaskie","VOCATIONAL/GRAMMAR","technical science","RETIRED",24,1900,"WIDOWED",NA,NA,NA,NA,"DELIGHTED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",2,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"NONE",176,80,25.8264462809917
"FEMALE",63,"60-64","URBAN 500,000 AND OVER","Wielkopolskie","POST-SECONDARY OR HIGHER","technical science","RETIRED",0,1000,"MARRIED",12,1971,NA,NA,"MOSTLY SATISFIED",9,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",6,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"NONE",170,82,28.3737024221453
"FEMALE",25,"25-34","URBAN 500,000 AND OVER","Malopolskie","POST-SECONDARY OR HIGHER","healthcare","EMPLOYED IN PUBLIC SECTOR",-8,-8,"SINGLE",NA,NA,NA,NA,"PLEASED",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO","YES",10,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"ACTIVE",164,53,19.4674012855831
"FEMALE",61,"60-64","RURAL AREAS","Lubelskie","SECONDARY","agriculture, forestry, fishing","RETIRED",24,700,"WIDOWED",12,1972,6,1981,"MIXED",NA,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",1,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"NONE",154,57,24.0344071512903
"MALE",35,"35-44","RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","no specialisation","UNEMPLOYED",24,NA,"SINGLE",NA,NA,NA,NA,"MIXED",1,"IT`S DIFFICULT TO TELL","NO OPINION","YES","YES",2,"YES",20,"NO","NO","NO",-8,"NO",NA,NA,"NONE",174,80,26.7538644470868
"MALE",30,"25-34","RURAL AREAS","Kujawsko-pomorskie","VOCATIONAL/GRAMMAR","services for the population and transport services","EMPLOYED IN PRIVATE SECTOR",-8,-8,"MARRIED",4,2008,NA,NA,"PLEASED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",6,"YES",20,"NO","NO","NO",-8,"NO",NA,NA,"NONE",180,70,21.6049382716049
"FEMALE",47,"45-59","URBAN 100,000-200,000","Slaskie","VOCATIONAL/GRAMMAR","technical science","EMPLOYED IN PRIVATE SECTOR",0,1400,"MARRIED",8,1984,NA,NA,"MOSTLY SATISFIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"NONE",156,60,24.65483234714
"FEMALE",61,"60-64","URBAN 100,000-200,000","Lubelskie","POST-SECONDARY OR HIGHER","physical sciences","RETIRED",0,1800,"MARRIED",11,1975,NA,NA,"DELIGHTED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"PASSIVE",173,74,24.441802087462
"FEMALE",27,"25-34","RURAL AREAS","Podkarpackie","POST-SECONDARY OR HIGHER","economy and administration","OTHER ECONOMICALLY INACTIVE",0,NA,"SINGLE",NA,NA,NA,NA,"PLEASED",2,"IT`S DIFFICULT TO TELL","YES","YES","YES",2,"NO",-8,"YES","YES","NO",-8,"NO",NA,NA,"PASSIVE",168,50,17.7154195011338
"MALE",28,"25-34","URBAN 500,000 AND OVER","Malopolskie","VOCATIONAL/GRAMMAR","architecture and construction","EMPLOYED IN PRIVATE SECTOR",-8,-8,"SINGLE",NA,NA,NA,NA,"MIXED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",20,"YES",10,"NO","NO","NO",-8,"NO",NA,NA,"NONE",190,85,23.5457063711911
"FEMALE",61,"60-64","URBAN 100,000-200,000","Kujawsko-pomorskie","SECONDARY","no specialisation","LONG-TERM SICK/DISABLED",24,900,"WIDOWED",2,1986,1,2010,"MOSTLY DISSATISFIED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",4,"YES",5,"NO","NO","NO",-8,"NO",NA,NA,"NONE",164,48,17.8465199286139
"FEMALE",49,"45-59","RURAL AREAS","Malopolskie","SECONDARY","services for the population and transport services","RETIRED",-8,870,"WIDOWED",10,1985,9,2010,"MOSTLY SATISFIED",15,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"NONE",170,85,29.4117647058824
"MALE",64,"60-64","URBAN 100,000-200,000","Podkarpackie","PRIMARY/NO EDUCATION","no specialisation","LONG-TERM SICK/DISABLED",0,1220,"MARRIED",8,1975,NA,NA,"MOSTLY SATISFIED",10,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",-8,"NO","NO","NO",-8,"NO",NA,NA,"NONE",165,86,31.9750148721
