type,data,epochs,copies,j,duration
ctgan,sd2011,25,1,1,18.251986026763916
ctgan,sd2011,50,1,1,30.608818769454956
ctgan,sd2011,75,1,1,46.79104208946228
ctgan,sd2011,100,1,1,60.530426025390625
ctgan,sd2011,300,1,1,176.32727789878845
ctgan,sd2011,600,5,1,351.6139907836914
ctgan,sd2011,600,5,2,345.98952412605286
ctgan,sd2011,600,5,3,353.89022517204285
ctgan,sd2011,600,5,4,340.2402009963989
ctgan,sd2011,600,5,5,345.8110420703888
ctgan,sd2011,900,1,1,520.4936230182648
ctgan,sd2011,900,5,1,526.2135820388794
ctgan,sd2011,900,5,2,541.5021932125092
ctgan,sd2011,900,5,3,578.8120210170746
ctgan,sd2011,900,5,4,560.5467031002045
ctgan,sd2011,900,5,5,537.1791160106659
