type,data,epochs,copies,j,duration
ctgan,sd2011_clean,25,1,1,17.244296073913574
ctgan,sd2011_clean,50,1,1,31.727429151535034
ctgan,sd2011_clean,75,1,1,46.84762191772461
ctgan,sd2011_clean,100,1,1,61.767719984054565
ctgan,sd2011_clean,300,1,1,182.86439895629883
ctgan,sd2011_clean,600,1,1,348.91867089271545
ctgan,sd2011_clean,600,5,1,345.88699102401733
ctgan,sd2011_clean,600,5,2,349.84785294532776
ctgan,sd2011_clean,600,5,3,347.1130278110504
ctgan,sd2011_clean,600,5,4,340.4072959423065
ctgan,sd2011_clean,600,5,5,343.8155589103699
ctgan,sd2011_clean,900,1,1,604.6403820514679
ctgan,sd2011_clean,900,5,1,840.7279479503632
ctgan,sd2011_clean,900,5,2,775.2392740249634
ctgan,sd2011_clean,900,5,3,652.8375949859619
ctgan,sd2011_clean,900,5,4,613.5368888378143
ctgan,sd2011_clean,900,5,5,597.8169519901276
