type,data,epochs,copies,j,duration
ctgan,sd2011_clean_small,25,1,1,16.97220206260681
ctgan,sd2011_clean_small,50,1,1,33.922945976257324
ctgan,sd2011_clean_small,75,1,1,49.12561583518982
ctgan,sd2011_clean_small,100,1,1,59.97403001785278
ctgan,sd2011_clean_small,300,1,1,180.62484908103943
ctgan,sd2011_clean_small,600,1,1,315.7646610736847
ctgan,sd2011_clean_small,600,5,1,313.0049557685852
ctgan,sd2011_clean_small,600,5,2,315.08050990104675
ctgan,sd2011_clean_small,600,5,3,316.4715518951416
ctgan,sd2011_clean_small,600,5,4,315.08508706092834
ctgan,sd2011_clean_small,600,5,5,314.5653860569
ctgan,sd2011_clean_small,900,1,1,458.56296491622925
ctgan,sd2011_clean_small,900,5,1,459.046834230423
ctgan,sd2011_clean_small,900,5,2,476.03379487991333
ctgan,sd2011_clean_small,900,5,3,559.0626208782196
ctgan,sd2011_clean_small,900,5,4,591.5788197517395
ctgan,sd2011_clean_small,900,5,5,503.348219871521
