type,data,epochs,copies,j,duration
ctgan,sd2011_clean_small_categorical,900,1,1,466.84848523139954
ctgan,sd2011_clean_small_categorical,900,5,1,455.5804817676544
ctgan,sd2011_clean_small_categorical,900,5,2,459.79232597351074
ctgan,sd2011_clean_small_categorical,900,5,3,470.874972820282
ctgan,sd2011_clean_small_categorical,900,5,4,473.76521706581116
ctgan,sd2011_clean_small_categorical,900,5,5,464.4322118759155
ctgan,sd2011_clean_small_categorical,25,1,1,19.081783056259155
ctgan,sd2011_clean_small_categorical,50,1,1,33.85671877861023
ctgan,sd2011_clean_small_categorical,75,1,1,63.2632257938385
ctgan,sd2011_clean_small_categorical,100,1,1,67.26283478736877
ctgan,sd2011_clean_small_categorical,300,1,1,164.9421558380127
ctgan,sd2011_clean_small_categorical,600,1,1,326.8148968219757
ctgan,sd2011_clean_small_categorical,600,5,1,360.1670458316803
ctgan,sd2011_clean_small_categorical,600,5,2,404.59249997138977
ctgan,sd2011_clean_small_categorical,600,5,3,322.81541991233826
ctgan,sd2011_clean_small_categorical,600,5,4,325.4784302711487
ctgan,sd2011_clean_small_categorical,600,5,5,341.2538528442383
