type,data,parents,epsilon,copies,j,duration
datasynthesizer,sd2011_clean_small_categorical,1,0,1,1,102.74319887161255
datasynthesizer,sd2011_clean_small_categorical,2,0,1,1,310.3305540084839
datasynthesizer,sd2011_clean_small_categorical,1,0,5,1,99.49521207809448
datasynthesizer,sd2011_clean_small_categorical,1,0,5,2,99.2894401550293
datasynthesizer,sd2011_clean_small_categorical,1,0,5,3,96.67434906959534
datasynthesizer,sd2011_clean_small_categorical,1,0,5,4,103.90324091911316
datasynthesizer,sd2011_clean_small_categorical,1,0,5,5,100.06471800804138
datasynthesizer,sd2011_clean_small_categorical,2,0,5,1,330.71810603141785
datasynthesizer,sd2011_clean_small_categorical,2,0,5,2,337.8966119289398
datasynthesizer,sd2011_clean_small_categorical,2,0,5,3,361.2276690006256
datasynthesizer,sd2011_clean_small_categorical,2,0,5,4,345.24459409713745
datasynthesizer,sd2011_clean_small_categorical,2,0,5,5,402.7495701313019
