type,data,parents,epsilon,copies,j,duration
datasynthesizer,sd2011_duration_wo_missing,0,0.0,1,1,0.009034872055053711
datasynthesizer,sd2011_duration_wo_missing,0,0.1,1,1,0.00911092758178711
datasynthesizer,sd2011_duration_wo_missing,0,1.0,1,1,0.008957862854003906
datasynthesizer,sd2011_duration_wo_missing,0,0.0,5,1,0.009012222290039062
datasynthesizer,sd2011_duration_wo_missing,0,0.0,5,2,0.009333133697509766
datasynthesizer,sd2011_duration_wo_missing,0,0.0,5,3,0.011537790298461914
datasynthesizer,sd2011_duration_wo_missing,0,0.0,5,4,0.009737014770507812
datasynthesizer,sd2011_duration_wo_missing,0,0.0,5,5,0.010344982147216797
datasynthesizer,sd2011_duration_wo_missing,0,0.1,5,1,0.009948015213012695
datasynthesizer,sd2011_duration_wo_missing,0,0.1,5,2,0.009679794311523438
datasynthesizer,sd2011_duration_wo_missing,0,0.1,5,3,0.009330987930297852
datasynthesizer,sd2011_duration_wo_missing,0,0.1,5,4,0.010151863098144531
datasynthesizer,sd2011_duration_wo_missing,0,0.1,5,5,0.009835004806518555
datasynthesizer,sd2011_duration_wo_missing,0,1.0,5,1,0.010477066040039062
datasynthesizer,sd2011_duration_wo_missing,0,1.0,5,2,0.009962081909179688
datasynthesizer,sd2011_duration_wo_missing,0,1.0,5,3,0.0100250244140625
datasynthesizer,sd2011_duration_wo_missing,0,1.0,5,4,0.010057926177978516
datasynthesizer,sd2011_duration_wo_missing,0,1.0,5,5,0.009947061538696289
