"type","columns","total_columns","max_factors","duration"
"synthpop",2,32,10,0.0349999999998545
"synthpop",3,32,10,0.0799999999999272
"synthpop",4,32,10,0.132000000000062
"synthpop",5,32,10,0.204000000000178
"synthpop",6,32,10,0.269999999999982
"synthpop",7,32,10,0.364000000000033
"synthpop",8,32,10,0.466000000000122
"synthpop",9,32,10,0.586000000000013
"synthpop",10,32,10,0.697000000000116
"synthpop",11,32,10,0.798000000000002
"synthpop",12,32,10,0.929999999999836
"synthpop",13,32,10,1.08199999999988
"synthpop",14,32,10,1.23400000000015
"synthpop",15,32,10,1.48500000000013
"synthpop",16,32,10,1.47199999999998
"synthpop",17,32,10,1.62599999999998
"synthpop",18,32,10,1.78699999999981
"synthpop",19,32,10,1.95799999999986
"synthpop",20,32,10,2.17499999999995
"synthpop",21,32,10,2.49000000000001
"synthpop",22,32,10,2.93199999999979
"synthpop",23,32,10,3.15099999999984
"synthpop",24,32,10,3.18399999999997
"synthpop",25,32,10,3.30500000000006
"synthpop",26,32,10,3.91499999999996
"synthpop",27,32,10,4.02499999999986
"synthpop",28,32,10,4.21199999999999
"synthpop",29,32,10,4.31500000000005
"synthpop",30,32,10,4.6400000000001
"synthpop",31,32,10,5.1869999999999
"synthpop",32,32,10,5.46799999999985
