epochs,loss_type,value,data,copes,j
0,Generator Loss,1.2984936237335205,adult,1,1
1,Generator Loss,0.9240162372589111,adult,1,1
2,Generator Loss,0.7160152196884155,adult,1,1
3,Generator Loss,0.4414719343185425,adult,1,1
4,Generator Loss,-0.19690287113189697,adult,1,1
5,Generator Loss,-0.1579776406288147,adult,1,1
6,Generator Loss,-0.8006064891815186,adult,1,1
7,Generator Loss,-1.0783214569091797,adult,1,1
8,Generator Loss,-0.9311571717262268,adult,1,1
9,Generator Loss,-1.098397135734558,adult,1,1
10,Generator Loss,-1.0977612733840942,adult,1,1
11,Generator Loss,-1.2747347354888916,adult,1,1
12,Generator Loss,-1.2824641466140747,adult,1,1
13,Generator Loss,-1.357287883758545,adult,1,1
14,Generator Loss,-1.3121427297592163,adult,1,1
15,Generator Loss,-1.0967081785202026,adult,1,1
16,Generator Loss,-1.3297488689422607,adult,1,1
17,Generator Loss,-0.8943020701408386,adult,1,1
18,Generator Loss,-0.5835215449333191,adult,1,1
19,Generator Loss,-1.0025510787963867,adult,1,1
20,Generator Loss,-0.9873150587081909,adult,1,1
21,Generator Loss,-0.8366824984550476,adult,1,1
22,Generator Loss,-0.917008101940155,adult,1,1
23,Generator Loss,-0.859691321849823,adult,1,1
24,Generator Loss,-0.5555278062820435,adult,1,1
0,Discriminator Loss,-0.09749746322631836,adult,1,1
1,Discriminator Loss,0.10367071628570557,adult,1,1
2,Discriminator Loss,-0.25461912155151367,adult,1,1
3,Discriminator Loss,0.010466933250427246,adult,1,1
4,Discriminator Loss,0.04607200622558594,adult,1,1
5,Discriminator Loss,0.0963822603225708,adult,1,1
6,Discriminator Loss,0.029562711715698242,adult,1,1
7,Discriminator Loss,0.09866833686828613,adult,1,1
8,Discriminator Loss,-0.10766744613647461,adult,1,1
9,Discriminator Loss,0.12275707721710205,adult,1,1
10,Discriminator Loss,-0.178619384765625,adult,1,1
11,Discriminator Loss,-0.11041128635406494,adult,1,1
12,Discriminator Loss,0.03957796096801758,adult,1,1
13,Discriminator Loss,-0.11851692199707031,adult,1,1
14,Discriminator Loss,-0.07419371604919434,adult,1,1
15,Discriminator Loss,-0.16662418842315674,adult,1,1
16,Discriminator Loss,-0.248526930809021,adult,1,1
17,Discriminator Loss,-0.14768612384796143,adult,1,1
18,Discriminator Loss,-0.24870163202285767,adult,1,1
19,Discriminator Loss,-0.09479290246963501,adult,1,1
20,Discriminator Loss,-0.23206353187561035,adult,1,1
21,Discriminator Loss,-0.03037041425704956,adult,1,1
22,Discriminator Loss,-0.09954798221588135,adult,1,1
23,Discriminator Loss,-0.13901054859161377,adult,1,1
24,Discriminator Loss,0.0032119154930114746,adult,1,1
0,Generator Loss,1.9472649097442627,adult,1,1
1,Generator Loss,1.0103731155395508,adult,1,1
2,Generator Loss,0.8476633429527283,adult,1,1
3,Generator Loss,0.6214638352394104,adult,1,1
4,Generator Loss,0.13293993473052979,adult,1,1
5,Generator Loss,-0.1994023323059082,adult,1,1
6,Generator Loss,-0.874457597732544,adult,1,1
7,Generator Loss,-0.738635778427124,adult,1,1
8,Generator Loss,-0.9436458349227905,adult,1,1
9,Generator Loss,-1.338557481765747,adult,1,1
10,Generator Loss,-1.223654866218567,adult,1,1
11,Generator Loss,-1.501787543296814,adult,1,1
12,Generator Loss,-1.302587866783142,adult,1,1
13,Generator Loss,-1.1768115758895874,adult,1,1
