epochs,loss_type,value,data,copes,j
0,Generator Loss,0.06223107874393463,grid,1,1
1,Generator Loss,-0.011700417846441269,grid,1,1
2,Generator Loss,-0.1463804990053177,grid,1,1
3,Generator Loss,-0.06149038299918175,grid,1,1
4,Generator Loss,-0.18468475341796875,grid,1,1
5,Generator Loss,-0.27189457416534424,grid,1,1
6,Generator Loss,-0.38362815976142883,grid,1,1
7,Generator Loss,-0.43461892008781433,grid,1,1
8,Generator Loss,-0.42981377243995667,grid,1,1
9,Generator Loss,-0.6010510921478271,grid,1,1
10,Generator Loss,-0.45681631565093994,grid,1,1
11,Generator Loss,-0.6378615498542786,grid,1,1
12,Generator Loss,-0.5314647555351257,grid,1,1
13,Generator Loss,-0.719027042388916,grid,1,1
14,Generator Loss,-0.7820605635643005,grid,1,1
15,Generator Loss,-0.819805383682251,grid,1,1
16,Generator Loss,-0.8363521099090576,grid,1,1
17,Generator Loss,-0.8029828071594238,grid,1,1
18,Generator Loss,-0.9523985981941223,grid,1,1
19,Generator Loss,-0.9837228655815125,grid,1,1
20,Generator Loss,-1.0086561441421509,grid,1,1
21,Generator Loss,-0.9537069797515869,grid,1,1
22,Generator Loss,-1.0810602903366089,grid,1,1
23,Generator Loss,-1.0196605920791626,grid,1,1
24,Generator Loss,-1.1275800466537476,grid,1,1
25,Generator Loss,-1.0806357860565186,grid,1,1
26,Generator Loss,-1.193200707435608,grid,1,1
27,Generator Loss,-1.1163794994354248,grid,1,1
28,Generator Loss,-1.184129238128662,grid,1,1
29,Generator Loss,-1.2167389392852783,grid,1,1
30,Generator Loss,-1.136887550354004,grid,1,1
31,Generator Loss,-1.2467378377914429,grid,1,1
32,Generator Loss,-1.2860963344573975,grid,1,1
33,Generator Loss,-1.441567063331604,grid,1,1
34,Generator Loss,-1.3376054763793945,grid,1,1
35,Generator Loss,-1.4385156631469727,grid,1,1
36,Generator Loss,-1.1891382932662964,grid,1,1
37,Generator Loss,-1.4146599769592285,grid,1,1
