epochs,loss_type,value,data,copes,j
0,Generator Loss,-0.29592081904411316,grid,1,1
1,Generator Loss,-0.11187440156936646,grid,1,1
2,Generator Loss,-0.2658480405807495,grid,1,1
3,Generator Loss,-0.3024183213710785,grid,1,1
4,Generator Loss,-0.42002010345458984,grid,1,1
5,Generator Loss,-0.345046728849411,grid,1,1
6,Generator Loss,-0.49725258350372314,grid,1,1
7,Generator Loss,-0.6204634308815002,grid,1,1
8,Generator Loss,-0.6550402641296387,grid,1,1
9,Generator Loss,-0.5684559345245361,grid,1,1
10,Generator Loss,-0.7365030646324158,grid,1,1
11,Generator Loss,-0.7136870622634888,grid,1,1
12,Generator Loss,-0.8819062113761902,grid,1,1
13,Generator Loss,-0.7322216629981995,grid,1,1
14,Generator Loss,-0.8603944182395935,grid,1,1
15,Generator Loss,-0.8161790370941162,grid,1,1
16,Generator Loss,-0.9178010821342468,grid,1,1
17,Generator Loss,-0.9898791313171387,grid,1,1
18,Generator Loss,-0.9744894504547119,grid,1,1
19,Generator Loss,-1.0598093271255493,grid,1,1
20,Generator Loss,-1.0292296409606934,grid,1,1
21,Generator Loss,-1.11147141456604,grid,1,1
22,Generator Loss,-1.078309178352356,grid,1,1
23,Generator Loss,-1.0913031101226807,grid,1,1
24,Generator Loss,-1.1455984115600586,grid,1,1
0,Discriminator Loss,0.02773505449295044,grid,1,1
1,Discriminator Loss,-0.1379631757736206,grid,1,1
2,Discriminator Loss,0.13491831719875336,grid,1,1
3,Discriminator Loss,-0.015187233686447144,grid,1,1
4,Discriminator Loss,0.06947654485702515,grid,1,1
5,Discriminator Loss,-0.12327158451080322,grid,1,1
6,Discriminator Loss,-0.018421053886413574,grid,1,1
7,Discriminator Loss,-0.06673884391784668,grid,1,1
8,Discriminator Loss,-0.019950449466705322,grid,1,1
9,Discriminator Loss,0.08175051212310791,grid,1,1
10,Discriminator Loss,-0.04933673143386841,grid,1,1
11,Discriminator Loss,-0.05500715970993042,grid,1,1
12,Discriminator Loss,0.017359495162963867,grid,1,1
13,Discriminator Loss,-0.12643682956695557,grid,1,1
14,Discriminator Loss,0.003919064998626709,grid,1,1
15,Discriminator Loss,0.01764744520187378,grid,1,1
16,Discriminator Loss,-0.05905336141586304,grid,1,1
17,Discriminator Loss,0.010994374752044678,grid,1,1
18,Discriminator Loss,-0.14725756645202637,grid,1,1
19,Discriminator Loss,-0.02473139762878418,grid,1,1
20,Discriminator Loss,-0.06885004043579102,grid,1,1
21,Discriminator Loss,0.02179265022277832,grid,1,1
22,Discriminator Loss,-0.052040696144104004,grid,1,1
23,Discriminator Loss,-0.0527113676071167,grid,1,1
24,Discriminator Loss,-0.017031550407409668,grid,1,1
0,Generator Loss,0.09124956279993057,grid,1,1
1,Generator Loss,0.2789713144302368,grid,1,1
2,Generator Loss,0.21792297065258026,grid,1,1
3,Generator Loss,-0.058032140135765076,grid,1,1
4,Generator Loss,-0.04597149416804314,grid,1,1
5,Generator Loss,-0.20464883744716644,grid,1,1
6,Generator Loss,-0.2968296408653259,grid,1,1
7,Generator Loss,-0.22772672772407532,grid,1,1
8,Generator Loss,-0.419005811214447,grid,1,1
9,Generator Loss,-0.5969269871711731,grid,1,1
10,Generator Loss,-0.47145089507102966,grid,1,1
11,Generator Loss,-0.6072572469711304,grid,1,1
12,Generator Loss,-0.5832563638687134,grid,1,1
13,Generator Loss,-0.5594807267189026,grid,1,1
14,Generator Loss,-0.6614091396331787,grid,1,1
15,Generator Loss,-0.808645486831665,grid,1,1
16,Generator Loss,-0.6947889924049377,grid,1,1
17,Generator Loss,-0.7772502303123474,grid,1,1
18,Generator Loss,-0.9436156749725342,grid,1,1
19,Generator Loss,-0.734699010848999,grid,1,1
20,Generator Loss,-0.9162852764129639,grid,1,1
21,Generator Loss,-1.018635869026184,grid,1,1
22,Generator Loss,-1.0484373569488525,grid,1,1
23,Generator Loss,-1.0603089332580566,grid,1,1
24,Generator Loss,-1.0435737371444702,grid,1,1
25,Generator Loss,-1.0114494562149048,grid,1,1
26,Generator Loss,-1.0480830669403076,grid,1,1
27,Generator Loss,-1.1045721769332886,grid,1,1
28,Generator Loss,-1.128577470779419,grid,1,1
29,Generator Loss,-1.1490994691848755,grid,1,1
30,Generator Loss,-1.1892014741897583,grid,1,1
31,Generator Loss,-1.145948886871338,grid,1,1
32,Generator Loss,-1.1502405405044556,grid,1,1
33,Generator Loss,-1.1820683479309082,grid,1,1
34,Generator Loss,-1.3123747110366821,grid,1,1
35,Generator Loss,-1.268947720527649,grid,1,1
36,Generator Loss,-1.3658000230789185,grid,1,1
37,Generator Loss,-1.2144477367401123,grid,1,1
38,Generator Loss,-1.2179094552993774,grid,1,1
39,Generator Loss,-1.3035786151885986,grid,1,1
40,Generator Loss,-1.301438570022583,grid,1,1
41,Generator Loss,-1.2885349988937378,grid,1,1
42,Generator Loss,-1.2922782897949219,grid,1,1
43,Generator Loss,-1.401952862739563,grid,1,1
44,Generator Loss,-1.2418489456176758,grid,1,1
45,Generator Loss,-1.3297889232635498,grid,1,1
46,Generator Loss,-1.4128303527832031,grid,1,1
47,Generator Loss,-1.4131661653518677,grid,1,1
48,Generator Loss,-1.3832910060882568,grid,1,1
49,Generator Loss,-1.4241816997528076,grid,1,1
0,Discriminator Loss,0.12441748380661011,grid,1,1
1,Discriminator Loss,-0.17572392523288727,grid,1,1
2,Discriminator Loss,-0.19406446814537048,grid,1,1
3,Discriminator Loss,-0.03835000470280647,grid,1,1
4,Discriminator Loss,-0.017068490386009216,grid,1,1
5,Discriminator Loss,0.0490565299987793,grid,1,1
6,Discriminator Loss,-0.05797669291496277,grid,1,1
7,Discriminator Loss,-0.012703955173492432,grid,1,1
8,Discriminator Loss,-0.0419943630695343,grid,1,1
9,Discriminator Loss,0.072165846824646,grid,1,1
