epochs,loss_type,value,data,copes,j
0,Generator Loss,-0.10972660779953003,gridr,1,1
1,Generator Loss,-0.01194353774189949,gridr,1,1
2,Generator Loss,-0.36929062008857727,gridr,1,1
3,Generator Loss,-0.33613166213035583,gridr,1,1
4,Generator Loss,-0.5383343696594238,gridr,1,1
5,Generator Loss,-0.5208197236061096,gridr,1,1
6,Generator Loss,-0.5631044507026672,gridr,1,1
7,Generator Loss,-0.5927940607070923,gridr,1,1
8,Generator Loss,-0.6345147490501404,gridr,1,1
9,Generator Loss,-0.9492786526679993,gridr,1,1
10,Generator Loss,-0.8092741370201111,gridr,1,1
11,Generator Loss,-0.787051260471344,gridr,1,1
12,Generator Loss,-0.751558780670166,gridr,1,1
13,Generator Loss,-0.8681800961494446,gridr,1,1
14,Generator Loss,-0.7937017679214478,gridr,1,1
15,Generator Loss,-0.8459758162498474,gridr,1,1
16,Generator Loss,-0.9310318231582642,gridr,1,1
17,Generator Loss,-0.9399792551994324,gridr,1,1
18,Generator Loss,-0.9530844688415527,gridr,1,1
19,Generator Loss,-1.0856810808181763,gridr,1,1
20,Generator Loss,-1.0456173419952393,gridr,1,1
21,Generator Loss,-1.075628638267517,gridr,1,1
22,Generator Loss,-1.1731737852096558,gridr,1,1
23,Generator Loss,-1.0243219137191772,gridr,1,1
24,Generator Loss,-1.1573448181152344,gridr,1,1
25,Generator Loss,-1.1017773151397705,gridr,1,1
26,Generator Loss,-1.148455023765564,gridr,1,1
27,Generator Loss,-1.1983768939971924,gridr,1,1
28,Generator Loss,-1.166153907775879,gridr,1,1
29,Generator Loss,-1.1670888662338257,gridr,1,1
30,Generator Loss,-1.1561565399169922,gridr,1,1
31,Generator Loss,-1.1381617784500122,gridr,1,1
32,Generator Loss,-1.2398178577423096,gridr,1,1
33,Generator Loss,-1.301358938217163,gridr,1,1
34,Generator Loss,-1.2439744472503662,gridr,1,1
35,Generator Loss,-1.1985750198364258,gridr,1,1
36,Generator Loss,-1.3243175745010376,gridr,1,1
37,Generator Loss,-1.2517175674438477,gridr,1,1
38,Generator Loss,-1.1565117835998535,gridr,1,1
39,Generator Loss,-1.1994330883026123,gridr,1,1
40,Generator Loss,-1.1452323198318481,gridr,1,1
41,Generator Loss,-1.1858527660369873,gridr,1,1
42,Generator Loss,-1.098002314567566,gridr,1,1
43,Generator Loss,-1.0481359958648682,gridr,1,1
44,Generator Loss,-1.0754035711288452,gridr,1,1
45,Generator Loss,-1.0298681259155273,gridr,1,1
46,Generator Loss,-0.9412297606468201,gridr,1,1
47,Generator Loss,-0.9358258843421936,gridr,1,1
48,Generator Loss,-0.8485447764396667,gridr,1,1
49,Generator Loss,-0.8278121948242188,gridr,1,1
0,Discriminator Loss,-0.08163460344076157,gridr,1,1
1,Discriminator Loss,-0.2952342629432678,gridr,1,1
2,Discriminator Loss,0.038013577461242676,gridr,1,1
3,Discriminator Loss,-0.17382577061653137,gridr,1,1
4,Discriminator Loss,0.08983463048934937,gridr,1,1
5,Discriminator Loss,-0.023255109786987305,gridr,1,1
6,Discriminator Loss,-0.028073906898498535,gridr,1,1
7,Discriminator Loss,0.1661859154701233,gridr,1,1
8,Discriminator Loss,-0.20850610733032227,gridr,1,1
9,Discriminator Loss,0.04995906352996826,gridr,1,1
10,Discriminator Loss,0.005271494388580322,gridr,1,1
11,Discriminator Loss,0.06650686264038086,gridr,1,1
12,Discriminator Loss,-0.12300300598144531,gridr,1,1
13,Discriminator Loss,-0.012447774410247803,gridr,1,1
14,Discriminator Loss,-0.04885631799697876,gridr,1,1
15,Discriminator Loss,-0.024670064449310303,gridr,1,1
16,Discriminator Loss,-0.0050026774406433105,gridr,1,1
17,Discriminator Loss,-0.0715707540512085,gridr,1,1
18,Discriminator Loss,-0.0023347139358520508,gridr,1,1
19,Discriminator Loss,-0.03312182426452637,gridr,1,1
20,Discriminator Loss,-0.038239896297454834,gridr,1,1
21,Discriminator Loss,0.02863013744354248,gridr,1,1
22,Discriminator Loss,-0.13496434688568115,gridr,1,1
23,Discriminator Loss,-0.15910661220550537,gridr,1,1
24,Discriminator Loss,-0.06297576427459717,gridr,1,1
25,Discriminator Loss,-0.02679741382598877,gridr,1,1
26,Discriminator Loss,-0.09144484996795654,gridr,1,1
27,Discriminator Loss,-0.08762848377227783,gridr,1,1
28,Discriminator Loss,-0.10239088535308838,gridr,1,1
29,Discriminator Loss,-0.02441394329071045,gridr,1,1
30,Discriminator Loss,-0.069144606590271,gridr,1,1
31,Discriminator Loss,-0.08118486404418945,gridr,1,1
32,Discriminator Loss,-0.16922342777252197,gridr,1,1
33,Discriminator Loss,-0.07095038890838623,gridr,1,1
34,Discriminator Loss,-0.16338586807250977,gridr,1,1
35,Discriminator Loss,-0.10742998123168945,gridr,1,1
36,Discriminator Loss,-0.05323672294616699,gridr,1,1
37,Discriminator Loss,0.050050973892211914,gridr,1,1
38,Discriminator Loss,-0.11414444446563721,gridr,1,1
39,Discriminator Loss,-0.14798343181610107,gridr,1,1
40,Discriminator Loss,-0.1264653205871582,gridr,1,1
41,Discriminator Loss,-0.1969442367553711,gridr,1,1
42,Discriminator Loss,-0.08251440525054932,gridr,1,1
43,Discriminator Loss,-0.12241852283477783,gridr,1,1
44,Discriminator Loss,-0.13204753398895264,gridr,1,1
45,Discriminator Loss,-0.12572050094604492,gridr,1,1
46,Discriminator Loss,-0.24784964323043823,gridr,1,1
47,Discriminator Loss,-0.24226629734039307,gridr,1,1
48,Discriminator Loss,-0.15199893712997437,gridr,1,1
49,Discriminator Loss,-0.14391016960144043,gridr,1,1
0,Generator Loss,-0.2915846109390259,gridr,5,1
1,Generator Loss,-0.10303357988595963,gridr,5,1
2,Generator Loss,-0.17361944913864136,gridr,5,1
3,Generator Loss,-0.44477352499961853,gridr,5,1
4,Generator Loss,-0.4661172032356262,gridr,5,1
5,Generator Loss,-0.4453427791595459,gridr,5,1
6,Generator Loss,-0.5685623288154602,gridr,5,1
7,Generator Loss,-0.7470466494560242,gridr,5,1
8,Generator Loss,-0.7096031308174133,gridr,5,1
9,Generator Loss,-0.7540934681892395,gridr,5,1
10,Generator Loss,-0.7336515784263611,gridr,5,1
11,Generator Loss,-0.6802512407302856,gridr,5,1
12,Generator Loss,-0.8036708831787109,gridr,5,1
13,Generator Loss,-0.9459581971168518,gridr,5,1
14,Generator Loss,-0.7011317610740662,gridr,5,1
15,Generator Loss,-0.8399467468261719,gridr,5,1
16,Generator Loss,-0.9788112640380859,gridr,5,1
17,Generator Loss,-0.8754305243492126,gridr,5,1
18,Generator Loss,-0.9837325811386108,gridr,5,1
19,Generator Loss,-0.9640435576438904,gridr,5,1
20,Generator Loss,-0.9259170293807983,gridr,5,1
21,Generator Loss,-0.9523868560791016,gridr,5,1
22,Generator Loss,-1.1610381603240967,gridr,5,1
23,Generator Loss,-1.0237646102905273,gridr,5,1
24,Generator Loss,-1.065728783607483,gridr,5,1
25,Generator Loss,-1.1878488063812256,gridr,5,1
26,Generator Loss,-1.061316728591919,gridr,5,1
27,Generator Loss,-1.1618667840957642,gridr,5,1
28,Generator Loss,-1.243353009223938,gridr,5,1
29,Generator Loss,-1.1457149982452393,gridr,5,1
30,Generator Loss,-1.1010512113571167,gridr,5,1
31,Generator Loss,-1.0067744255065918,gridr,5,1
32,Generator Loss,-1.1445493698120117,gridr,5,1
33,Generator Loss,-1.2221288681030273,gridr,5,1
34,Generator Loss,-1.186652421951294,gridr,5,1
35,Generator Loss,-1.2359496355056763,gridr,5,1
36,Generator Loss,-1.1521797180175781,gridr,5,1
37,Generator Loss,-1.1979330778121948,gridr,5,1
38,Generator Loss,-1.059371829032898,gridr,5,1
39,Generator Loss,-1.068749189376831,gridr,5,1
40,Generator Loss,-1.0261982679367065,gridr,5,1
41,Generator Loss,-1.0591020584106445,gridr,5,1
42,Generator Loss,-1.0121995210647583,gridr,5,1
43,Generator Loss,-1.0331751108169556,gridr,5,1
44,Generator Loss,-1.0243768692016602,gridr,5,1
45,Generator Loss,-0.9765445590019226,gridr,5,1
46,Generator Loss,-0.8816958665847778,gridr,5,1
47,Generator Loss,-0.9142698049545288,gridr,5,1
48,Generator Loss,-0.8733492493629456,gridr,5,1
49,Generator Loss,-0.9282727241516113,gridr,5,1
0,Discriminator Loss,0.16306722164154053,gridr,5,1
1,Discriminator Loss,-0.1142122745513916,gridr,5,1
2,Discriminator Loss,0.022361546754837036,gridr,5,1
3,Discriminator Loss,0.09625333547592163,gridr,5,1
4,Discriminator Loss,-0.03952336311340332,gridr,5,1
5,Discriminator Loss,0.05572184920310974,gridr,5,1
6,Discriminator Loss,-0.08490437269210815,gridr,5,1
7,Discriminator Loss,0.07308828830718994,gridr,5,1
8,Discriminator Loss,-0.07174605131149292,gridr,5,1
9,Discriminator Loss,-0.05259585380554199,gridr,5,1
10,Discriminator Loss,-0.04165881872177124,gridr,5,1
11,Discriminator Loss,-0.11022746562957764,gridr,5,1
12,Discriminator Loss,0.026619255542755127,gridr,5,1
13,Discriminator Loss,0.028583884239196777,gridr,5,1
14,Discriminator Loss,-0.12008631229400635,gridr,5,1
15,Discriminator Loss,-0.07305073738098145,gridr,5,1
16,Discriminator Loss,-0.013225078582763672,gridr,5,1
17,Discriminator Loss,-0.1284772753715515,gridr,5,1
18,Discriminator Loss,-0.011449635028839111,gridr,5,1
19,Discriminator Loss,-0.04506218433380127,gridr,5,1
20,Discriminator Loss,-0.08098006248474121,gridr,5,1
21,Discriminator Loss,-0.0675513744354248,gridr,5,1
22,Discriminator Loss,-0.030321836471557617,gridr,5,1
23,Discriminator Loss,-0.12059825658798218,gridr,5,1
24,Discriminator Loss,-0.07802236080169678,gridr,5,1
25,Discriminator Loss,-0.01656937599182129,gridr,5,1
26,Discriminator Loss,-0.095428466796875,gridr,5,1
27,Discriminator Loss,-0.11267733573913574,gridr,5,1
28,Discriminator Loss,-0.04229700565338135,gridr,5,1
29,Discriminator Loss,-0.13968336582183838,gridr,5,1
30,Discriminator Loss,-0.04535317420959473,gridr,5,1
31,Discriminator Loss,-0.10232865810394287,gridr,5,1
32,Discriminator Loss,-0.150634765625,gridr,5,1
33,Discriminator Loss,0.009061574935913086,gridr,5,1
34,Discriminator Loss,-0.018693923950195312,gridr,5,1
35,Discriminator Loss,-0.06336402893066406,gridr,5,1
36,Discriminator Loss,-0.11470353603363037,gridr,5,1
37,Discriminator Loss,-0.08064424991607666,gridr,5,1
38,Discriminator Loss,-0.13615858554840088,gridr,5,1
39,Discriminator Loss,-0.137526273727417,gridr,5,1
40,Discriminator Loss,-0.16237354278564453,gridr,5,1
41,Discriminator Loss,-0.12229931354522705,gridr,5,1
42,Discriminator Loss,-0.16898512840270996,gridr,5,1
43,Discriminator Loss,-0.10362350940704346,gridr,5,1
44,Discriminator Loss,-0.09430563449859619,gridr,5,1
45,Discriminator Loss,-0.19201207160949707,gridr,5,1
46,Discriminator Loss,-0.25371694564819336,gridr,5,1
47,Discriminator Loss,-0.21694040298461914,gridr,5,1
48,Discriminator Loss,-0.06215566396713257,gridr,5,1
49,Discriminator Loss,-0.06005221605300903,gridr,5,1
0,Generator Loss,-0.2349015772342682,gridr,5,2
1,Generator Loss,-0.06530926376581192,gridr,5,2
2,Generator Loss,-0.33656078577041626,gridr,5,2
3,Generator Loss,-0.16845330595970154,gridr,5,2
4,Generator Loss,-0.3964448571205139,gridr,5,2
5,Generator Loss,-0.459781289100647,gridr,5,2
6,Generator Loss,-0.41238853335380554,gridr,5,2
7,Generator Loss,-0.6039131879806519,gridr,5,2
8,Generator Loss,-0.5659497380256653,gridr,5,2
9,Generator Loss,-0.5942268967628479,gridr,5,2
10,Generator Loss,-0.6675286293029785,gridr,5,2
11,Generator Loss,-0.694881796836853,gridr,5,2
12,Generator Loss,-0.6263416409492493,gridr,5,2
13,Generator Loss,-0.8683075904846191,gridr,5,2
14,Generator Loss,-0.7453691959381104,gridr,5,2
15,Generator Loss,-0.813418447971344,gridr,5,2
16,Generator Loss,-0.8976799249649048,gridr,5,2
17,Generator Loss,-0.7722622752189636,gridr,5,2
18,Generator Loss,-0.9252933263778687,gridr,5,2
19,Generator Loss,-1.0013155937194824,gridr,5,2
20,Generator Loss,-1.0469708442687988,gridr,5,2
21,Generator Loss,-1.0727101564407349,gridr,5,2
22,Generator Loss,-1.0251737833023071,gridr,5,2
23,Generator Loss,-1.09918212890625,gridr,5,2
24,Generator Loss,-1.0318231582641602,gridr,5,2
25,Generator Loss,-1.133606195449829,gridr,5,2
26,Generator Loss,-1.0267119407653809,gridr,5,2
27,Generator Loss,-1.106165885925293,gridr,5,2
28,Generator Loss,-1.1144142150878906,gridr,5,2
29,Generator Loss,-1.2455588579177856,gridr,5,2
30,Generator Loss,-1.0586504936218262,gridr,5,2
31,Generator Loss,-1.1907519102096558,gridr,5,2
32,Generator Loss,-1.3029522895812988,gridr,5,2
33,Generator Loss,-1.0696120262145996,gridr,5,2
34,Generator Loss,-1.186984896659851,gridr,5,2
35,Generator Loss,-1.0699058771133423,gridr,5,2
36,Generator Loss,-1.0971555709838867,gridr,5,2
37,Generator Loss,-1.0789332389831543,gridr,5,2
38,Generator Loss,-1.0512733459472656,gridr,5,2
39,Generator Loss,-0.8548919558525085,gridr,5,2
40,Generator Loss,-0.9203753471374512,gridr,5,2
41,Generator Loss,-0.8970969915390015,gridr,5,2
42,Generator Loss,-0.8533421158790588,gridr,5,2
43,Generator Loss,-0.822902500629425,gridr,5,2
44,Generator Loss,-0.8252708911895752,gridr,5,2
45,Generator Loss,-0.6831229329109192,gridr,5,2
46,Generator Loss,-0.6650580763816833,gridr,5,2
47,Generator Loss,-0.6061898469924927,gridr,5,2
48,Generator Loss,-0.6069227457046509,gridr,5,2
49,Generator Loss,-0.7439444065093994,gridr,5,2
0,Discriminator Loss,0.15623986721038818,gridr,5,2
1,Discriminator Loss,-0.19126512110233307,gridr,5,2
2,Discriminator Loss,0.1217336505651474,gridr,5,2
3,Discriminator Loss,-0.10883191227912903,gridr,5,2
4,Discriminator Loss,0.05074390769004822,gridr,5,2
5,Discriminator Loss,0.027236908674240112,gridr,5,2
6,Discriminator Loss,-0.1917419135570526,gridr,5,2
7,Discriminator Loss,0.023082613945007324,gridr,5,2
8,Discriminator Loss,-0.08570092916488647,gridr,5,2
9,Discriminator Loss,-0.013160407543182373,gridr,5,2
10,Discriminator Loss,-0.10866087675094604,gridr,5,2
11,Discriminator Loss,-0.07532966136932373,gridr,5,2
12,Discriminator Loss,-0.12963396310806274,gridr,5,2
13,Discriminator Loss,0.002902984619140625,gridr,5,2
