epochs,loss_type,value,data,copes,j
0,Generator Loss,1.8298485279083252,sd2011_clean_small_categorical,5,1
1,Generator Loss,1.7476341724395752,sd2011_clean_small_categorical,5,1
2,Generator Loss,0.7829521894454956,sd2011_clean_small_categorical,5,1
3,Generator Loss,0.43725526332855225,sd2011_clean_small_categorical,5,1
4,Generator Loss,0.480782151222229,sd2011_clean_small_categorical,5,1
5,Generator Loss,0.36557793617248535,sd2011_clean_small_categorical,5,1
6,Generator Loss,0.30783677101135254,sd2011_clean_small_categorical,5,1
7,Generator Loss,-0.027837395668029785,sd2011_clean_small_categorical,5,1
8,Generator Loss,-0.3490349054336548,sd2011_clean_small_categorical,5,1
9,Generator Loss,-0.32958054542541504,sd2011_clean_small_categorical,5,1
10,Generator Loss,0.1513378620147705,sd2011_clean_small_categorical,5,1
11,Generator Loss,0.20769262313842773,sd2011_clean_small_categorical,5,1
12,Generator Loss,0.20172584056854248,sd2011_clean_small_categorical,5,1
13,Generator Loss,-0.15994560718536377,sd2011_clean_small_categorical,5,1
14,Generator Loss,-0.35954010486602783,sd2011_clean_small_categorical,5,1
15,Generator Loss,-0.366213321685791,sd2011_clean_small_categorical,5,1
16,Generator Loss,-0.3486391305923462,sd2011_clean_small_categorical,5,1
17,Generator Loss,-0.9416978359222412,sd2011_clean_small_categorical,5,1
18,Generator Loss,-0.9200770854949951,sd2011_clean_small_categorical,5,1
19,Generator Loss,-0.9162054061889648,sd2011_clean_small_categorical,5,1
20,Generator Loss,-1.1130963563919067,sd2011_clean_small_categorical,5,1
21,Generator Loss,-1.075826644897461,sd2011_clean_small_categorical,5,1
22,Generator Loss,-0.8391668796539307,sd2011_clean_small_categorical,5,1
23,Generator Loss,-0.39622461795806885,sd2011_clean_small_categorical,5,1
24,Generator Loss,-0.36668503284454346,sd2011_clean_small_categorical,5,1
25,Generator Loss,-0.7562406063079834,sd2011_clean_small_categorical,5,1
26,Generator Loss,-0.839018702507019,sd2011_clean_small_categorical,5,1
27,Generator Loss,-1.0420541763305664,sd2011_clean_small_categorical,5,1
28,Generator Loss,-1.085418701171875,sd2011_clean_small_categorical,5,1
29,Generator Loss,-0.7869248390197754,sd2011_clean_small_categorical,5,1
30,Generator Loss,-1.1014691591262817,sd2011_clean_small_categorical,5,1
31,Generator Loss,-0.9826295375823975,sd2011_clean_small_categorical,5,1
32,Generator Loss,-1.067728042602539,sd2011_clean_small_categorical,5,1
33,Generator Loss,-0.6913324594497681,sd2011_clean_small_categorical,5,1
34,Generator Loss,-1.0615872144699097,sd2011_clean_small_categorical,5,1
35,Generator Loss,-0.925475537776947,sd2011_clean_small_categorical,5,1
36,Generator Loss,-1.1874747276306152,sd2011_clean_small_categorical,5,1
