epochs,loss_type,value,data,copes,j
0,Generator Loss,2.2447922229766846,sd2011_clean_small,5,1
1,Generator Loss,2.112616777420044,sd2011_clean_small,5,1
2,Generator Loss,1.479689121246338,sd2011_clean_small,5,1
3,Generator Loss,1.2600698471069336,sd2011_clean_small,5,1
4,Generator Loss,1.048723578453064,sd2011_clean_small,5,1
5,Generator Loss,0.9377734661102295,sd2011_clean_small,5,1
6,Generator Loss,0.7753760814666748,sd2011_clean_small,5,1
7,Generator Loss,0.9867242574691772,sd2011_clean_small,5,1
8,Generator Loss,0.7655470371246338,sd2011_clean_small,5,1
9,Generator Loss,0.7752424478530884,sd2011_clean_small,5,1
10,Generator Loss,0.5916092395782471,sd2011_clean_small,5,1
11,Generator Loss,0.4659082889556885,sd2011_clean_small,5,1
12,Generator Loss,0.2560926675796509,sd2011_clean_small,5,1
13,Generator Loss,0.2983912229537964,sd2011_clean_small,5,1
14,Generator Loss,0.05505704879760742,sd2011_clean_small,5,1
15,Generator Loss,-0.5493444204330444,sd2011_clean_small,5,1
16,Generator Loss,-0.5308969020843506,sd2011_clean_small,5,1
17,Generator Loss,-0.5822540521621704,sd2011_clean_small,5,1
18,Generator Loss,-0.5041497945785522,sd2011_clean_small,5,1
19,Generator Loss,-0.6613963842391968,sd2011_clean_small,5,1
20,Generator Loss,-0.2867518663406372,sd2011_clean_small,5,1
21,Generator Loss,-0.887604832649231,sd2011_clean_small,5,1
22,Generator Loss,-0.7099698781967163,sd2011_clean_small,5,1
23,Generator Loss,-0.6671916246414185,sd2011_clean_small,5,1
24,Generator Loss,-1.9345507621765137,sd2011_clean_small,5,1
25,Generator Loss,-1.582893967628479,sd2011_clean_small,5,1
26,Generator Loss,-1.3582053184509277,sd2011_clean_small,5,1
27,Generator Loss,-1.8876322507858276,sd2011_clean_small,5,1
28,Generator Loss,-0.9614294767379761,sd2011_clean_small,5,1
29,Generator Loss,-1.3157522678375244,sd2011_clean_small,5,1
30,Generator Loss,-1.416517972946167,sd2011_clean_small,5,1
31,Generator Loss,-1.2919387817382812,sd2011_clean_small,5,1
32,Generator Loss,-1.302207112312317,sd2011_clean_small,5,1
33,Generator Loss,-1.7708014249801636,sd2011_clean_small,5,1
34,Generator Loss,-1.8372458219528198,sd2011_clean_small,5,1
35,Generator Loss,-1.7847626209259033,sd2011_clean_small,5,1
36,Generator Loss,-1.839182734489441,sd2011_clean_small,5,1
37,Generator Loss,-1.935086727142334,sd2011_clean_small,5,1
38,Generator Loss,-1.7723655700683594,sd2011_clean_small,5,1
39,Generator Loss,-1.7856359481811523,sd2011_clean_small,5,1
40,Generator Loss,-1.4374415874481201,sd2011_clean_small,5,1
41,Generator Loss,-1.6470518112182617,sd2011_clean_small,5,1
42,Generator Loss,-1.7520644664764404,sd2011_clean_small,5,1
43,Generator Loss,-2.0565695762634277,sd2011_clean_small,5,1
44,Generator Loss,-2.054617404937744,sd2011_clean_small,5,1
45,Generator Loss,-2.2180235385894775,sd2011_clean_small,5,1
46,Generator Loss,-2.2071526050567627,sd2011_clean_small,5,1
47,Generator Loss,-2.141894817352295,sd2011_clean_small,5,1
48,Generator Loss,-1.8423385620117188,sd2011_clean_small,5,1
49,Generator Loss,-2.301835060119629,sd2011_clean_small,5,1
50,Generator Loss,-2.0499017238616943,sd2011_clean_small,5,1
51,Generator Loss,-2.227748155593872,sd2011_clean_small,5,1
52,Generator Loss,-2.3913824558258057,sd2011_clean_small,5,1
53,Generator Loss,-2.5465526580810547,sd2011_clean_small,5,1
