epochs,loss_type,value,data,copes,j
0,Generator Loss,-0.07279195636510849,sd2011_clean_small_numeric,5,1
1,Generator Loss,-0.3759535849094391,sd2011_clean_small_numeric,5,1
2,Generator Loss,-0.8711177110671997,sd2011_clean_small_numeric,5,1
3,Generator Loss,-1.3231173753738403,sd2011_clean_small_numeric,5,1
4,Generator Loss,-1.347023367881775,sd2011_clean_small_numeric,5,1
5,Generator Loss,-1.1096495389938354,sd2011_clean_small_numeric,5,1
6,Generator Loss,-0.8200482726097107,sd2011_clean_small_numeric,5,1
7,Generator Loss,-1.1474145650863647,sd2011_clean_small_numeric,5,1
8,Generator Loss,-1.2368748188018799,sd2011_clean_small_numeric,5,1
9,Generator Loss,-1.047033429145813,sd2011_clean_small_numeric,5,1
10,Generator Loss,-1.2303937673568726,sd2011_clean_small_numeric,5,1
11,Generator Loss,-1.0344367027282715,sd2011_clean_small_numeric,5,1
12,Generator Loss,-1.0480358600616455,sd2011_clean_small_numeric,5,1
13,Generator Loss,-1.1708277463912964,sd2011_clean_small_numeric,5,1
14,Generator Loss,-1.0133318901062012,sd2011_clean_small_numeric,5,1
15,Generator Loss,-1.1713252067565918,sd2011_clean_small_numeric,5,1
16,Generator Loss,-0.9902475476264954,sd2011_clean_small_numeric,5,1
17,Generator Loss,-1.0630252361297607,sd2011_clean_small_numeric,5,1
18,Generator Loss,-1.4958207607269287,sd2011_clean_small_numeric,5,1
19,Generator Loss,-1.3830357789993286,sd2011_clean_small_numeric,5,1
20,Generator Loss,-1.7398220300674438,sd2011_clean_small_numeric,5,1
21,Generator Loss,-1.5959516763687134,sd2011_clean_small_numeric,5,1
22,Generator Loss,-1.9649735689163208,sd2011_clean_small_numeric,5,1
23,Generator Loss,-1.8429539203643799,sd2011_clean_small_numeric,5,1
24,Generator Loss,-2.1073415279388428,sd2011_clean_small_numeric,5,1
25,Generator Loss,-1.7683994770050049,sd2011_clean_small_numeric,5,1
26,Generator Loss,-1.7743476629257202,sd2011_clean_small_numeric,5,1
27,Generator Loss,-1.8126410245895386,sd2011_clean_small_numeric,5,1
28,Generator Loss,-1.528201937675476,sd2011_clean_small_numeric,5,1
29,Generator Loss,-1.6075817346572876,sd2011_clean_small_numeric,5,1
30,Generator Loss,-1.6408854722976685,sd2011_clean_small_numeric,5,1
31,Generator Loss,-1.5919309854507446,sd2011_clean_small_numeric,5,1
32,Generator Loss,-1.8933944702148438,sd2011_clean_small_numeric,5,1
33,Generator Loss,-2.089005708694458,sd2011_clean_small_numeric,5,1
34,Generator Loss,-2.018439292907715,sd2011_clean_small_numeric,5,1
35,Generator Loss,-2.1272599697113037,sd2011_clean_small_numeric,5,1
36,Generator Loss,-1.876224160194397,sd2011_clean_small_numeric,5,1
37,Generator Loss,-1.994627833366394,sd2011_clean_small_numeric,5,1
38,Generator Loss,-1.9664748907089233,sd2011_clean_small_numeric,5,1
39,Generator Loss,-1.9524550437927246,sd2011_clean_small_numeric,5,1
40,Generator Loss,-2.0645604133605957,sd2011_clean_small_numeric,5,1
41,Generator Loss,-2.233276605606079,sd2011_clean_small_numeric,5,1
42,Generator Loss,-2.1849966049194336,sd2011_clean_small_numeric,5,1
