epochs,loss_type,value,data,copes,j
0,Generator Loss,1.6573028564453125,sd2011_duration_wo_missing,5,1
1,Generator Loss,1.3877615928649902,sd2011_duration_wo_missing,5,1
2,Generator Loss,1.3708008527755737,sd2011_duration_wo_missing,5,1
3,Generator Loss,1.3118566274642944,sd2011_duration_wo_missing,5,1
4,Generator Loss,1.2951080799102783,sd2011_duration_wo_missing,5,1
5,Generator Loss,1.094522476196289,sd2011_duration_wo_missing,5,1
6,Generator Loss,1.0360946655273438,sd2011_duration_wo_missing,5,1
7,Generator Loss,1.0017781257629395,sd2011_duration_wo_missing,5,1
8,Generator Loss,1.0040799379348755,sd2011_duration_wo_missing,5,1
9,Generator Loss,1.057059645652771,sd2011_duration_wo_missing,5,1
10,Generator Loss,0.874652624130249,sd2011_duration_wo_missing,5,1
11,Generator Loss,0.8952326774597168,sd2011_duration_wo_missing,5,1
12,Generator Loss,0.868536114692688,sd2011_duration_wo_missing,5,1
13,Generator Loss,0.8687115907669067,sd2011_duration_wo_missing,5,1
14,Generator Loss,0.7340371608734131,sd2011_duration_wo_missing,5,1
15,Generator Loss,0.624199628829956,sd2011_duration_wo_missing,5,1
16,Generator Loss,0.6529123187065125,sd2011_duration_wo_missing,5,1
17,Generator Loss,0.7323084473609924,sd2011_duration_wo_missing,5,1
18,Generator Loss,0.5607117414474487,sd2011_duration_wo_missing,5,1
19,Generator Loss,0.635019838809967,sd2011_duration_wo_missing,5,1
20,Generator Loss,0.46611618995666504,sd2011_duration_wo_missing,5,1
21,Generator Loss,0.5943117141723633,sd2011_duration_wo_missing,5,1
22,Generator Loss,0.41868680715560913,sd2011_duration_wo_missing,5,1
23,Generator Loss,0.24645239114761353,sd2011_duration_wo_missing,5,1
24,Generator Loss,0.40666019916534424,sd2011_duration_wo_missing,5,1
0,Discriminator Loss,-0.04895267263054848,sd2011_duration_wo_missing,5,1
1,Discriminator Loss,-0.04441353678703308,sd2011_duration_wo_missing,5,1
2,Discriminator Loss,-0.08438841998577118,sd2011_duration_wo_missing,5,1
3,Discriminator Loss,-0.12000593543052673,sd2011_duration_wo_missing,5,1
4,Discriminator Loss,-0.018160313367843628,sd2011_duration_wo_missing,5,1
5,Discriminator Loss,-0.1460420787334442,sd2011_duration_wo_missing,5,1
6,Discriminator Loss,-0.08467870950698853,sd2011_duration_wo_missing,5,1
7,Discriminator Loss,0.01068645715713501,sd2011_duration_wo_missing,5,1
8,Discriminator Loss,-0.03799590468406677,sd2011_duration_wo_missing,5,1
9,Discriminator Loss,0.11756202578544617,sd2011_duration_wo_missing,5,1
10,Discriminator Loss,0.0114327073097229,sd2011_duration_wo_missing,5,1
11,Discriminator Loss,-0.08217164874076843,sd2011_duration_wo_missing,5,1
12,Discriminator Loss,-0.052911996841430664,sd2011_duration_wo_missing,5,1
13,Discriminator Loss,0.061055988073349,sd2011_duration_wo_missing,5,1
14,Discriminator Loss,0.055295348167419434,sd2011_duration_wo_missing,5,1
15,Discriminator Loss,-0.004234999418258667,sd2011_duration_wo_missing,5,1
16,Discriminator Loss,0.03757917881011963,sd2011_duration_wo_missing,5,1
17,Discriminator Loss,-0.039729028940200806,sd2011_duration_wo_missing,5,1
18,Discriminator Loss,0.0014906227588653564,sd2011_duration_wo_missing,5,1
19,Discriminator Loss,0.05819404125213623,sd2011_duration_wo_missing,5,1
20,Discriminator Loss,0.06111699342727661,sd2011_duration_wo_missing,5,1
21,Discriminator Loss,-0.06445923447608948,sd2011_duration_wo_missing,5,1
22,Discriminator Loss,-0.03466141223907471,sd2011_duration_wo_missing,5,1
23,Discriminator Loss,-0.012777328491210938,sd2011_duration_wo_missing,5,1
24,Discriminator Loss,-0.02722609043121338,sd2011_duration_wo_missing,5,1
0,Generator Loss,1.6609658002853394,sd2011_duration_wo_missing,5,2
1,Generator Loss,1.5118414163589478,sd2011_duration_wo_missing,5,2
2,Generator Loss,1.2921184301376343,sd2011_duration_wo_missing,5,2
3,Generator Loss,1.3469774723052979,sd2011_duration_wo_missing,5,2
4,Generator Loss,1.3784087896347046,sd2011_duration_wo_missing,5,2
5,Generator Loss,1.2061424255371094,sd2011_duration_wo_missing,5,2
6,Generator Loss,1.2432680130004883,sd2011_duration_wo_missing,5,2
7,Generator Loss,1.129582166671753,sd2011_duration_wo_missing,5,2
8,Generator Loss,1.1287178993225098,sd2011_duration_wo_missing,5,2
9,Generator Loss,1.0710140466690063,sd2011_duration_wo_missing,5,2
10,Generator Loss,1.0849932432174683,sd2011_duration_wo_missing,5,2
11,Generator Loss,0.8503515124320984,sd2011_duration_wo_missing,5,2
