epochs,loss_type,value,data,copes,j
0,Generator Loss,2.0174577236175537,sd2011,1,1
1,Generator Loss,1.9417942762374878,sd2011,1,1
2,Generator Loss,0.9182538986206055,sd2011,1,1
3,Generator Loss,0.8713585138320923,sd2011,1,1
4,Generator Loss,0.754077672958374,sd2011,1,1
5,Generator Loss,0.6606838703155518,sd2011,1,1
6,Generator Loss,0.6207867860794067,sd2011,1,1
7,Generator Loss,0.39145636558532715,sd2011,1,1
8,Generator Loss,0.5054556131362915,sd2011,1,1
9,Generator Loss,0.7188347578048706,sd2011,1,1
10,Generator Loss,0.6435426473617554,sd2011,1,1
11,Generator Loss,0.6632386445999146,sd2011,1,1
12,Generator Loss,0.6256946325302124,sd2011,1,1
13,Generator Loss,0.0940941572189331,sd2011,1,1
14,Generator Loss,-0.3317915201187134,sd2011,1,1
15,Generator Loss,-0.3750065565109253,sd2011,1,1
16,Generator Loss,-0.661785364151001,sd2011,1,1
17,Generator Loss,-0.2094365358352661,sd2011,1,1
18,Generator Loss,0.23372149467468262,sd2011,1,1
19,Generator Loss,0.07551717758178711,sd2011,1,1
20,Generator Loss,0.07868850231170654,sd2011,1,1
21,Generator Loss,0.18703532218933105,sd2011,1,1
22,Generator Loss,-0.37450098991394043,sd2011,1,1
23,Generator Loss,-0.30137157440185547,sd2011,1,1
24,Generator Loss,-0.11331212520599365,sd2011,1,1
25,Generator Loss,-0.3918490409851074,sd2011,1,1
26,Generator Loss,-0.3742715120315552,sd2011,1,1
27,Generator Loss,-0.6886028051376343,sd2011,1,1
28,Generator Loss,-0.3432995080947876,sd2011,1,1
29,Generator Loss,-0.36300158500671387,sd2011,1,1
30,Generator Loss,-0.363444447517395,sd2011,1,1
31,Generator Loss,-0.3330799341201782,sd2011,1,1
32,Generator Loss,-0.21887075901031494,sd2011,1,1
33,Generator Loss,-0.3539698123931885,sd2011,1,1
34,Generator Loss,-0.2707662582397461,sd2011,1,1
35,Generator Loss,-0.6002002954483032,sd2011,1,1
36,Generator Loss,-0.7685472965240479,sd2011,1,1
37,Generator Loss,-0.7978633642196655,sd2011,1,1
38,Generator Loss,-1.148643970489502,sd2011,1,1
39,Generator Loss,-1.1245944499969482,sd2011,1,1
40,Generator Loss,-1.0182082653045654,sd2011,1,1
41,Generator Loss,-1.3494856357574463,sd2011,1,1
42,Generator Loss,-1.394088625907898,sd2011,1,1
43,Generator Loss,-1.7588520050048828,sd2011,1,1
44,Generator Loss,-1.7828059196472168,sd2011,1,1
45,Generator Loss,-1.6446311473846436,sd2011,1,1
46,Generator Loss,-2.0446906089782715,sd2011,1,1
47,Generator Loss,-1.7403249740600586,sd2011,1,1
48,Generator Loss,-1.8441742658615112,sd2011,1,1
49,Generator Loss,-1.808630347251892,sd2011,1,1
50,Generator Loss,-1.7923108339309692,sd2011,1,1
51,Generator Loss,-2.085439443588257,sd2011,1,1
52,Generator Loss,-2.4786858558654785,sd2011,1,1
53,Generator Loss,-2.407940626144409,sd2011,1,1
54,Generator Loss,-2.323668956756592,sd2011,1,1
55,Generator Loss,-2.0556254386901855,sd2011,1,1
56,Generator Loss,-2.189243793487549,sd2011,1,1
