epochs,loss_type,value,data,copes,j
0,Generator Loss,2.950037717819214,sd2011_ordered,1,1
1,Generator Loss,2.8902008533477783,sd2011_ordered,1,1
2,Generator Loss,2.8205573558807373,sd2011_ordered,1,1
3,Generator Loss,2.7074031829833984,sd2011_ordered,1,1
4,Generator Loss,2.6710405349731445,sd2011_ordered,1,1
5,Generator Loss,2.5507254600524902,sd2011_ordered,1,1
6,Generator Loss,2.343655586242676,sd2011_ordered,1,1
7,Generator Loss,2.297516345977783,sd2011_ordered,1,1
8,Generator Loss,2.219837188720703,sd2011_ordered,1,1
9,Generator Loss,2.1916162967681885,sd2011_ordered,1,1
10,Generator Loss,2.2258973121643066,sd2011_ordered,1,1
11,Generator Loss,2.1665456295013428,sd2011_ordered,1,1
12,Generator Loss,2.12795352935791,sd2011_ordered,1,1
13,Generator Loss,2.1104846000671387,sd2011_ordered,1,1
14,Generator Loss,2.0664286613464355,sd2011_ordered,1,1
15,Generator Loss,1.9622243642807007,sd2011_ordered,1,1
16,Generator Loss,1.9210336208343506,sd2011_ordered,1,1
17,Generator Loss,1.8885140419006348,sd2011_ordered,1,1
18,Generator Loss,1.83066987991333,sd2011_ordered,1,1
19,Generator Loss,1.7985658645629883,sd2011_ordered,1,1
20,Generator Loss,1.720771312713623,sd2011_ordered,1,1
21,Generator Loss,1.6840050220489502,sd2011_ordered,1,1
22,Generator Loss,1.5382496118545532,sd2011_ordered,1,1
23,Generator Loss,1.4256601333618164,sd2011_ordered,1,1
24,Generator Loss,1.4982292652130127,sd2011_ordered,1,1
0,Discriminator Loss,-0.0345924012362957,sd2011_ordered,1,1
1,Discriminator Loss,-0.16769714653491974,sd2011_ordered,1,1
2,Discriminator Loss,-0.21967697143554688,sd2011_ordered,1,1
3,Discriminator Loss,-0.29360151290893555,sd2011_ordered,1,1
4,Discriminator Loss,-0.300011545419693,sd2011_ordered,1,1
5,Discriminator Loss,-0.14702144265174866,sd2011_ordered,1,1
6,Discriminator Loss,-0.03862541913986206,sd2011_ordered,1,1
7,Discriminator Loss,0.10186660289764404,sd2011_ordered,1,1
8,Discriminator Loss,0.11889886856079102,sd2011_ordered,1,1
9,Discriminator Loss,0.09569025039672852,sd2011_ordered,1,1
10,Discriminator Loss,-0.0017747282981872559,sd2011_ordered,1,1
11,Discriminator Loss,0.009763360023498535,sd2011_ordered,1,1
12,Discriminator Loss,-0.13089698553085327,sd2011_ordered,1,1
13,Discriminator Loss,-0.06369471549987793,sd2011_ordered,1,1
14,Discriminator Loss,0.054940998554229736,sd2011_ordered,1,1
15,Discriminator Loss,0.07736080884933472,sd2011_ordered,1,1
16,Discriminator Loss,-0.023766636848449707,sd2011_ordered,1,1
17,Discriminator Loss,-0.0317196249961853,sd2011_ordered,1,1
18,Discriminator Loss,-0.047674477100372314,sd2011_ordered,1,1
19,Discriminator Loss,0.015314757823944092,sd2011_ordered,1,1
20,Discriminator Loss,-0.012734055519104004,sd2011_ordered,1,1
21,Discriminator Loss,-0.058667778968811035,sd2011_ordered,1,1
