epochs,loss_type,value,data,copes,j
0,Generator Loss,1.180909276008606,sd2011_small,1,1
1,Generator Loss,1.0563015937805176,sd2011_small,1,1
2,Generator Loss,0.9846876263618469,sd2011_small,1,1
3,Generator Loss,0.926211953163147,sd2011_small,1,1
4,Generator Loss,0.9123637080192566,sd2011_small,1,1
5,Generator Loss,0.7598087787628174,sd2011_small,1,1
6,Generator Loss,0.644487202167511,sd2011_small,1,1
7,Generator Loss,0.7371769547462463,sd2011_small,1,1
8,Generator Loss,0.6533432602882385,sd2011_small,1,1
9,Generator Loss,0.4781237840652466,sd2011_small,1,1
10,Generator Loss,0.43569624423980713,sd2011_small,1,1
11,Generator Loss,0.3140513598918915,sd2011_small,1,1
12,Generator Loss,0.3941256105899811,sd2011_small,1,1
13,Generator Loss,0.13345497846603394,sd2011_small,1,1
14,Generator Loss,0.0810360312461853,sd2011_small,1,1
15,Generator Loss,0.22078432142734528,sd2011_small,1,1
16,Generator Loss,-0.009547531604766846,sd2011_small,1,1
17,Generator Loss,-0.05256447196006775,sd2011_small,1,1
18,Generator Loss,-0.16788408160209656,sd2011_small,1,1
19,Generator Loss,-0.14716830849647522,sd2011_small,1,1
20,Generator Loss,-0.2889890968799591,sd2011_small,1,1
21,Generator Loss,-0.3819541335105896,sd2011_small,1,1
22,Generator Loss,-0.30670857429504395,sd2011_small,1,1
23,Generator Loss,-0.2926132082939148,sd2011_small,1,1
24,Generator Loss,-0.3630368709564209,sd2011_small,1,1
0,Discriminator Loss,-0.0063981302082538605,sd2011_small,1,1
1,Discriminator Loss,0.03572072088718414,sd2011_small,1,1
2,Discriminator Loss,-0.02358534187078476,sd2011_small,1,1
3,Discriminator Loss,-0.05128667503595352,sd2011_small,1,1
4,Discriminator Loss,-0.05519682168960571,sd2011_small,1,1
5,Discriminator Loss,0.0339798778295517,sd2011_small,1,1
6,Discriminator Loss,0.10218362510204315,sd2011_small,1,1
7,Discriminator Loss,-0.043531253933906555,sd2011_small,1,1
8,Discriminator Loss,-0.09757249057292938,sd2011_small,1,1
9,Discriminator Loss,-0.053347647190093994,sd2011_small,1,1
10,Discriminator Loss,0.0568460077047348,sd2011_small,1,1
11,Discriminator Loss,0.04736664891242981,sd2011_small,1,1
12,Discriminator Loss,0.11590062081813812,sd2011_small,1,1
13,Discriminator Loss,0.06289753317832947,sd2011_small,1,1
14,Discriminator Loss,0.07318437099456787,sd2011_small,1,1
15,Discriminator Loss,-0.03462299704551697,sd2011_small,1,1
16,Discriminator Loss,-0.03367587924003601,sd2011_small,1,1
