"X1","X2","val","copies","epochs","data"
"01.sex","02.age",137.548567769955,5,100,"sd2011"
"01.sex","03.agegr",71.0127136739686,5,100,"sd2011"
"01.sex","04.placesize",49.0520393992318,5,100,"sd2011"
"01.sex","05.region",19.5366399805602,5,100,"sd2011"
"01.sex","06.edu",84.8497891871767,5,100,"sd2011"
"01.sex","07.eduspec",30.6254457768634,5,100,"sd2011"
"01.sex","08.socprof",40.8664797483307,5,100,"sd2011"
"01.sex","09.unempdur",273.104290916581,5,100,"sd2011"
"01.sex","10.income",147.645030495535,5,100,"sd2011"
"01.sex","11.marital",57.7084992639588,5,100,"sd2011"
"01.sex","12.mmarr",187.173362033046,5,100,"sd2011"
"01.sex","13.ymarr",232.946073283525,5,100,"sd2011"
"01.sex","14.msepdiv",112.895526720355,5,100,"sd2011"
"01.sex","15.ysepdiv",170.074003133628,5,100,"sd2011"
"01.sex","16.ls",50.5691128579419,5,100,"sd2011"
"01.sex","17.depress",89.273627159314,5,100,"sd2011"
"01.sex","18.trust",87.7206977126633,5,100,"sd2011"
"01.sex","19.trustfam",41.8534720728885,5,100,"sd2011"
"01.sex","20.trustneigh",104.767675969332,5,100,"sd2011"
"01.sex","21.sport",108.537555095814,5,100,"sd2011"
"01.sex","22.nofriend",156.052385762711,5,100,"sd2011"
"01.sex","23.smoke",124.004020267455,5,100,"sd2011"
"01.sex","24.nociga",119.25582437312,5,100,"sd2011"
"01.sex","25.alcabuse",94.2692332676724,5,100,"sd2011"
"01.sex","26.alcsol",79.6676862157807,5,100,"sd2011"
"01.sex","27.workab",105.656097794571,5,100,"sd2011"
"01.sex","28.wkabdur",160.293186199311,5,100,"sd2011"
"01.sex","29.wkabint",114.318682588142,5,100,"sd2011"
"01.sex","30.wkabintdur",37.5580827475245,5,100,"sd2011"
"01.sex","31.emcc",22.703863192627,5,100,"sd2011"
"01.sex","32.englang",45.760500887062,5,100,"sd2011"
"01.sex","33.height",340.480207167003,5,100,"sd2011"
"01.sex","34.weight",181.659071881796,5,100,"sd2011"
"01.sex","35.bmi",162.894842660682,5,100,"sd2011"
"02.age","03.agegr",346.012310389835,5,100,"sd2011"
"02.age","04.placesize",51.2263949120263,5,100,"sd2011"
"02.age","05.region",19.7354427159063,5,100,"sd2011"
"02.age","06.edu",106.721744234725,5,100,"sd2011"
"02.age","07.eduspec",21.3180253221719,5,100,"sd2011"
"02.age","08.socprof",126.070117821333,5,100,"sd2011"
"02.age","09.unempdur",154.239853144759,5,100,"sd2011"
"02.age","10.income",118.421003939425,5,100,"sd2011"
"02.age","11.marital",121.1589942343,5,100,"sd2011"
"02.age","12.mmarr",182.209603081944,5,100,"sd2011"
"02.age","13.ymarr",301.955870463541,5,100,"sd2011"
"02.age","14.msepdiv",106.05159832377,5,100,"sd2011"
"02.age","15.ysepdiv",143.789826194515,5,100,"sd2011"
"02.age","16.ls",47.15047714407,5,100,"sd2011"
"02.age","17.depress",149.851796967064,5,100,"sd2011"
"02.age","18.trust",78.9439498862649,5,100,"sd2011"
"02.age","19.trustfam",63.8485939764264,5,100,"sd2011"
"02.age","20.trustneigh",90.9599941729008,5,100,"sd2011"
"02.age","21.sport",141.893207658004,5,100,"sd2011"
"02.age","22.nofriend",95.3160387445457,5,100,"sd2011"
"02.age","23.smoke",116.36553705001,5,100,"sd2011"
"02.age","24.nociga",146.221308751831,5,100,"sd2011"
"02.age","25.alcabuse",89.4385558912228,5,100,"sd2011"
"02.age","26.alcsol",84.0435002127948,5,100,"sd2011"
"02.age","27.workab",168.157573220639,5,100,"sd2011"
"02.age","28.wkabdur",266.671562641155,5,100,"sd2011"
"02.age","29.wkabint",95.7059856762558,5,100,"sd2011"
"02.age","30.wkabintdur",53.9636486051847,5,100,"sd2011"
"02.age","31.emcc",22.3423661746527,5,100,"sd2011"
"02.age","32.englang",161.682761498057,5,100,"sd2011"
"02.age","33.height",81.6369871700693,5,100,"sd2011"
"02.age","34.weight",62.9178363999188,5,100,"sd2011"
"02.age","35.bmi",116.524746834767,5,100,"sd2011"
"03.agegr","04.placesize",29.5761137560393,5,100,"sd2011"
"03.agegr","05.region",12.6775382862878,5,100,"sd2011"
"03.agegr","06.edu",63.0699016982236,5,100,"sd2011"
"03.agegr","07.eduspec",15.7668455917626,5,100,"sd2011"
"03.agegr","08.socprof",95.1514212228557,5,100,"sd2011"
"03.agegr","09.unempdur",98.5969711859449,5,100,"sd2011"
"03.agegr","10.income",77.475467228271,5,100,"sd2011"
"03.agegr","11.marital",82.115483686635,5,100,"sd2011"
"03.agegr","12.mmarr",123.55643055582,5,100,"sd2011"
"03.agegr","13.ymarr",202.99903419676,5,100,"sd2011"
"03.agegr","14.msepdiv",65.44384686177,5,100,"sd2011"
"03.agegr","15.ysepdiv",79.5551317387897,5,100,"sd2011"
"03.agegr","16.ls",29.3649818182824,5,100,"sd2011"
"03.agegr","17.depress",88.9943409337565,5,100,"sd2011"
"03.agegr","18.trust",45.8509616098633,5,100,"sd2011"
"03.agegr","19.trustfam",35.8409765761056,5,100,"sd2011"
"03.agegr","20.trustneigh",52.566894338999,5,100,"sd2011"
"03.agegr","21.sport",85.1223995299011,5,100,"sd2011"
"03.agegr","22.nofriend",57.5740898032855,5,100,"sd2011"
"03.agegr","23.smoke",71.2222712677639,5,100,"sd2011"
"03.agegr","24.nociga",80.7623269845687,5,100,"sd2011"
"03.agegr","25.alcabuse",49.5293694589276,5,100,"sd2011"
"03.agegr","26.alcsol",45.6544532537644,5,100,"sd2011"
"03.agegr","27.workab",101.693648090051,5,100,"sd2011"
"03.agegr","28.wkabdur",123.240609933053,5,100,"sd2011"
"03.agegr","29.wkabint",59.6257762262301,5,100,"sd2011"
"03.agegr","30.wkabintdur",32.295325496833,5,100,"sd2011"
"03.agegr","31.emcc",17.0340530939555,5,100,"sd2011"
"03.agegr","32.englang",105.681596330448,5,100,"sd2011"
"03.agegr","33.height",52.4018505722618,5,100,"sd2011"
"03.agegr","34.weight",38.1358157301958,5,100,"sd2011"
"03.agegr","35.bmi",71.9995660979025,5,100,"sd2011"
"04.placesize","05.region",28.0878002167252,5,100,"sd2011"
"04.placesize","06.edu",46.5412576698241,5,100,"sd2011"
"04.placesize","07.eduspec",9.46308992918806,5,100,"sd2011"
"04.placesize","08.socprof",20.4350566784777,5,100,"sd2011"
"04.placesize","09.unempdur",92.4957256558325,5,100,"sd2011"
"04.placesize","10.income",55.5883816095212,5,100,"sd2011"
"04.placesize","11.marital",18.5912157313063,5,100,"sd2011"
"04.placesize","12.mmarr",63.8706305216589,5,100,"sd2011"
"04.placesize","13.ymarr",78.4765116929701,5,100,"sd2011"
"04.placesize","14.msepdiv",37.5108185585702,5,100,"sd2011"
"04.placesize","15.ysepdiv",52.0848044727135,5,100,"sd2011"
"04.placesize","16.ls",21.5475617961719,5,100,"sd2011"
"04.placesize","17.depress",34.1810845001312,5,100,"sd2011"
"04.placesize","18.trust",35.41048743525,5,100,"sd2011"
"04.placesize","19.trustfam",23.6796898262004,5,100,"sd2011"
"04.placesize","20.trustneigh",41.249659631089,5,100,"sd2011"
"04.placesize","21.sport",46.0867253971401,5,100,"sd2011"
"04.placesize","22.nofriend",54.5055051961618,5,100,"sd2011"
"04.placesize","23.smoke",43.1345529855649,5,100,"sd2011"
"04.placesize","24.nociga",39.6592387459579,5,100,"sd2011"
"04.placesize","25.alcabuse",30.3457495236638,5,100,"sd2011"
"04.placesize","26.alcsol",30.1731781112308,5,100,"sd2011"
"04.placesize","27.workab",41.3270952984246,5,100,"sd2011"
"04.placesize","28.wkabdur",71.7436808278566,5,100,"sd2011"
"04.placesize","29.wkabint",42.895675433647,5,100,"sd2011"
"04.placesize","30.wkabintdur",18.3844624827981,5,100,"sd2011"
"04.placesize","31.emcc",12.3018546158151,5,100,"sd2011"
"04.placesize","32.englang",30.5596657309074,5,100,"sd2011"
"04.placesize","33.height",39.669462722578,5,100,"sd2011"
"04.placesize","34.weight",26.174707766696,5,100,"sd2011"
"04.placesize","35.bmi",50.5945281015616,5,100,"sd2011"
"05.region","06.edu",13.9382960870077,5,100,"sd2011"
"05.region","07.eduspec",4.59718264895837,5,100,"sd2011"
"05.region","08.socprof",7.88501380415497,5,100,"sd2011"
"05.region","09.unempdur",52.5554307424153,5,100,"sd2011"
"05.region","10.income",20.52617700417,5,100,"sd2011"
"05.region","11.marital",8.71318024607904,5,100,"sd2011"
"05.region","12.mmarr",24.8977002440422,5,100,"sd2011"
"05.region","13.ymarr",30.045341224923,5,100,"sd2011"
"05.region","14.msepdiv",14.9298077688868,5,100,"sd2011"
"05.region","15.ysepdiv",20.6637249832448,5,100,"sd2011"
"05.region","16.ls",9.76224282324587,5,100,"sd2011"
"05.region","17.depress",14.577313253912,5,100,"sd2011"
"05.region","18.trust",15.3269277751407,5,100,"sd2011"
"05.region","19.trustfam",10.0029516763287,5,100,"sd2011"
"05.region","20.trustneigh",17.1692246393026,5,100,"sd2011"
"05.region","21.sport",18.5440209876893,5,100,"sd2011"
"05.region","22.nofriend",22.6816514991441,5,100,"sd2011"
"05.region","23.smoke",20.9767179069219,5,100,"sd2011"
"05.region","24.nociga",17.3862763015096,5,100,"sd2011"
"05.region","25.alcabuse",13.597953639704,5,100,"sd2011"
"05.region","26.alcsol",13.5077097743244,5,100,"sd2011"
"05.region","27.workab",22.573552352036,5,100,"sd2011"
"05.region","28.wkabdur",27.2184139604141,5,100,"sd2011"
"05.region","29.wkabint",17.6388900056589,5,100,"sd2011"
"05.region","30.wkabintdur",8.56053898757236,5,100,"sd2011"
"05.region","31.emcc",6.55742969931848,5,100,"sd2011"
"05.region","32.englang",11.4659516326322,5,100,"sd2011"
"05.region","33.height",17.2854071238585,5,100,"sd2011"
"05.region","34.weight",11.6056162186612,5,100,"sd2011"
"05.region","35.bmi",20.7034520772986,5,100,"sd2011"
"06.edu","07.eduspec",41.5477059741689,5,100,"sd2011"
"06.edu","08.socprof",43.3319900820469,5,100,"sd2011"
"06.edu","09.unempdur",123.776735116506,5,100,"sd2011"
"06.edu","10.income",79.2232491454219,5,100,"sd2011"
"06.edu","11.marital",34.9473522610014,5,100,"sd2011"
"06.edu","12.mmarr",85.2896194080962,5,100,"sd2011"
"06.edu","13.ymarr",112.533328638549,5,100,"sd2011"
"06.edu","14.msepdiv",60.3772401432494,5,100,"sd2011"
"06.edu","15.ysepdiv",78.9973195836586,5,100,"sd2011"
"06.edu","16.ls",34.7883213808632,5,100,"sd2011"
"06.edu","17.depress",63.5998218890459,5,100,"sd2011"
"06.edu","18.trust",52.1126834834531,5,100,"sd2011"
"06.edu","19.trustfam",39.9477238537949,5,100,"sd2011"
"06.edu","20.trustneigh",58.6224244213939,5,100,"sd2011"
"06.edu","21.sport",85.5683290764414,5,100,"sd2011"
"06.edu","22.nofriend",72.1825142785294,5,100,"sd2011"
"06.edu","23.smoke",68.2687938106412,5,100,"sd2011"
