"term","estimate","std.error","type","model","dv","sdg"
"(Intercept)",-0.720836713186942,0.206552676443619,"observed","glm","smoke","ctgan"
"sexMALE",0.637143989393018,0.0687295141515106,"observed","glm","smoke","ctgan"
"age",-0.00331270844770555,0.00208362189922308,"observed","glm","smoke","ctgan"
"eduPRIMARY/NO EDUCATION",0.63240802124022,0.120422298811369,"observed","glm","smoke","ctgan"
"eduSECONDARY",0.277831493762243,0.107938760422549,"observed","glm","smoke","ctgan"
"eduVOCATIONAL/GRAMMAR",0.740303621276707,0.103287954151303,"observed","glm","smoke","ctgan"
"bmi",-0.0370120283436802,0.00810927726556272,"observed","glm","smoke","ctgan"
"(Intercept)",-1.684925075833,0.196811322542508,"synthetic","glm","smoke","ctgan"
"sexMALE",-0.270360180536819,0.0693199137220625,"synthetic","glm","smoke","ctgan"
"age",-0.00505914286819632,0.00178541845034089,"synthetic","glm","smoke","ctgan"
"eduPRIMARY/NO EDUCATION",1.0864984808329,0.138436865923687,"synthetic","glm","smoke","ctgan"
"eduSECONDARY",1.03827832393416,0.124021538592714,"synthetic","glm","smoke","ctgan"
"eduVOCATIONAL/GRAMMAR",1.05861045368303,0.128301874039652,"synthetic","glm","smoke","ctgan"
"bmi",0.0101547948924087,0.00635592266064687,"synthetic","glm","smoke","ctgan"
"(Intercept)",7.24954906133545,0.0561041424319681,"observed","lm","LN income","ctgan"
"sexMALE",0.269210746232614,0.0185625480127904,"observed","lm","LN income","ctgan"
"age",0.00256772790040752,0.000597489061448854,"observed","lm","LN income","ctgan"
"eduPRIMARY/NO EDUCATION",-0.817318406916093,0.0304742961942108,"observed","lm","LN income","ctgan"
"eduSECONDARY",-0.396329981285642,0.0259859597066099,"observed","lm","LN income","ctgan"
"eduVOCATIONAL/GRAMMAR",-0.642437998956692,0.0265854663350357,"observed","lm","LN income","ctgan"
"bmi",0.00703921543163064,0.00206814804715465,"observed","lm","LN income","ctgan"
"(Intercept)",7.43459310284743,0.0447882809422136,"synthetic","lm","LN income","ctgan"
"sexMALE",0.0419095471182199,0.0171312191347713,"synthetic","lm","LN income","ctgan"
"age",-0.00230444708816766,0.000448573644744624,"synthetic","lm","LN income","ctgan"
"eduPRIMARY/NO EDUCATION",-0.415506096142577,0.0286838131063159,"synthetic","lm","LN income","ctgan"
"eduSECONDARY",-0.210861714569112,0.0242334427714104,"synthetic","lm","LN income","ctgan"
"eduVOCATIONAL/GRAMMAR",-0.285694522567916,0.0256685922859273,"synthetic","lm","LN income","ctgan"
"bmi",0.00424631508042446,0.00156318185899559,"synthetic","lm","LN income","ctgan"
