"data","copies","privacy","parents","pmse"
"sd2011",1,"0","0",0.247809637594574
"sd2011",1,"0","1",0.247809637594574
"sd2011",1,"0","2",0.213638292173021
"sd2011",1,"0","3",0.207799334304494
"sd2011_clean",1,"0","0",0.24890241468769
"sd2011_clean",1,"0","1",0.24890241468769
"sd2011_clean",1,"0","2",0.130714279790363
"sd2011_clean",1,"0","3",0.133160031556524
"sd2011_clean_small",1,"0","0",0.24890241468769
"sd2011_clean_small",1,"0","1",0.24890241468769
"sd2011_clean_small",1,"0","2",0.0809923843491164
"sd2011_clean_small",1,"0","3",0.0621995745215004
